Food and Beverage Industry,Beverage Sales,bottles
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Soft Drinks,Juices,Kombucha
54175.499870577725,50202.90009473189,6719.881675551401
62590.62103961883,59999.26660787409,13538.6062117525
70689.14967916528,78015.361828995,5197.6737232293035
81372.5365230234,90068.40614284974,10875.898009068653
96607.81487142306,92275.0157238509,7188.296803537744
90319.74431901357,96682.7524164168,7923.849311006219
91499.81174971833,98538.18676492253,10449.709741389059
89580.6522233054,92326.4099694255,15456.88317845339
87949.55408880858,85940.5069561061,14929.79064726005
75596.48395295198,58214.29365666322,0.0
68358.19592965516,53220.068733936445,7003.583160587976
54179.58710653129,39553.97664122845,5554.083663654156
42222.17945626332,28718.15210963549,17701.08371399606
29172.2423380719,15925.4078122487,15255.697426192008
17495.27305039301,9487.515187966921,12727.154269276447
8260.803234314963,0.0,11901.429768584458
2976.3860997825254,9238.17713115181,20795.162437308125
0.0,16792.80049027631,27434.701057306782
8821.993096040533,22458.80514800866,36509.80447057692
10525.44183869134,32830.28570385583,47717.478264630765
21397.96619921012,51117.46299348302,54334.85907738357
28090.97014072002,49448.393624177595,67812.37580103842
42776.2320847825,70933.7346117259,80072.70673038904
51754.109987355354,92843.94443225845,86584.0218060856
63473.21137068782,94335.3133709771,100000.0
70035.65037729612,96513.56127015645,94457.7327823052
83112.2018398151,94109.26132363676,93068.65788437209
94077.38781879515,96050.58869325537,83363.79401466584
97314.02880559195,84043.78807218635,65160.54610515341
100000.0,73339.92795173812,59181.32748476501
94083.4233276996,54327.27058334051,42564.46209499379
80168.5843188532,45367.12533178357,38517.05250313207
72950.0544100425,37266.209244229445,23334.611893883957
61517.5704931731,24510.677188172634,28266.65316975064
55359.00972672425,8426.949410410089,20658.39517713154
40147.63256087805,10561.795909743587,11777.768506982164
29618.568131870878,3446.042459241272,10957.047284958275
22117.741106144636,14170.597196845949,7164.91639841405
13423.136922846148,18615.050552837452,14239.809655807483
2055.539048969057,31425.763606329034,5284.325928208553
1024.7649323895907,44796.23589350314,22514.762082130095
2511.486160080458,54242.8224280283,16361.485981929969
13487.4711847569,65361.08047986363,9433.44198495988
15477.807003602844,79350.69950136042,8907.136297350982
31930.92882868473,88815.85053684883,8876.798624341785
37731.68199797886,91361.22927101901,8580.09749680532
51057.85328808603,96554.7898919391,4648.1507766399745
69920.63810360155,100000.0,18206.44513850399
78469.91232973707,79243.65493017861,8705.84989124293
83588.61217088762,73119.1810180131,11129.502722572131
