Science and Engineering,Research Funding,USD
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
Space Exploration,Quantum Computing,Renewable Energy,Medical Research,Biotechnology,Nanotechnology,Artificial Intelligence
84299830.29227783,12352823.072534807,11394722.317326201,48452188.63778197,12267573.269661712,83623543.22044797,99554404.61446401
63966092.69932435,14415690.033397159,0.0,85339763.64325756,2834848.187453263,87979441.78559703,82832113.57775429
67803876.31018563,3199559.537116941,2744820.9087378867,93491057.84404546,15405728.359487813,92069999.21996218,83915402.10901698
57020081.32401062,16147492.609637115,9482626.927400101,83057226.75487298,12843343.255963907,83255766.58177736,100000000.0
64119571.95201328,12687549.585379321,14110913.122369125,52853991.91449447,13962130.148605084,90606869.65004182,88843461.11183941
56263197.32625321,7816458.818685532,11283898.95034907,14997616.58266085,15302511.638890825,100000000.0,94292792.04345404
47231303.25493832,7806245.009192645,4231518.2986035235,0.0,11671910.304657197,89200043.90426803,93314811.90908875
58633249.26170161,10228483.16941924,5576902.422691588,12947939.29102649,4061081.980740694,81524011.52643432,87533424.73337252
58505169.28552312,5162611.493969129,14094972.29737663,38296511.367703125,12595763.629496474,71635681.83397704,78959256.32887952
45092664.9654349,11773374.046783622,2452470.7084458913,71724807.66809148,12763084.72508062,53678446.0201431,75024079.6733958
44882209.25124596,8883323.637026489,15138928.706439847,97175655.58837837,0.0,51587607.745257124,72485970.25113603
54384290.062827535,4320950.348304841,5092837.241042396,89368527.67621389,4127909.834144407,43216487.276494734,73161973.58597352
57024254.40805976,11479216.965570685,3959902.155448052,58290089.84613554,799285.3039810789,43713212.50391502,84674127.3519434
55054778.49759555,7126161.667500203,10813579.420369564,33667041.26483395,11467515.430382077,29942190.78631915,68135267.34779774
49765981.8655165,18596481.729497258,7896502.404348031,7691645.843082892,11073867.608750567,32787479.180188056,64460892.97067481
51705139.328693986,11862488.056297163,7326195.630301396,1859228.0876029998,15065687.970007235,42058492.07523757,69066595.79718892
70381362.76178263,21595318.24051051,18590729.702817533,19488655.417207487,16432012.790613914,39060953.05330746,57317956.585618414
79034368.25199813,27320765.395106718,25216978.739031255,62988158.36268029,23367667.726246193,42829640.118535586,57493587.63061022
93579465.2048071,35619956.69317296,28645796.456796907,95130591.25100732,35415724.09082166,30845769.16360529,41936464.32482535
96486922.74049005,44732801.93429028,38441618.49895398,95675366.58804488,43264846.62055753,14275151.329628807,52579004.43905513
100000000.0,50612415.42123401,54480823.26746326,70400290.86586778,55775989.59401184,24689513.127271287,40200987.404175416
61350860.95690021,69538763.52883783,68365671.97528332,44961309.36864464,75627905.37386395,21270431.71026556,32845799.582264274
29669790.193741035,87707073.68398559,80515474.14308439,11711934.592829818,83515062.72323352,14367101.842255237,17833214.743666008
15770625.45556349,89152063.37940083,84345522.98906544,4268874.841903687,91928060.24047835,0.0,20363748.872459456
0.0,100000000.0,100000000.0,23674629.810263954,98764073.73361525,9452354.51151048,12778886.562993933
8530087.758362401,88407555.05814211,95343441.7927646,51759455.25377017,100000000.0,16551133.475333879,18115435.445110988
24006518.02200579,93657390.3869744,92312013.98694748,76953683.42188117,93439301.51080903,2309443.738481977,26834638.296374753
45302324.126028605,89781596.02857743,78140038.14101277,98257010.72561382,79313896.137322,11098176.535321282,0.0
33440943.506768923,67402775.70717187,63824552.84376979,87853992.71646763,69708186.71740888,19712050.48918643,2680257.790388668
45141845.84869662,56136333.54668365,57260412.87082558,50030343.1231506,58387785.565560855,26868330.063670192,23901357.024018068
58174549.143771395,43832768.97151321,46909252.77271644,13508743.434732726,43888316.15917999,31751653.692828514,22595919.77395429
51313959.125857934,34479286.85669307,28902454.100217205,7144206.876309865,38382471.46338764,40723627.502896845,33994394.084825486
48634148.76787155,18532860.721552975,26240668.822806906,18374509.48743042,36692683.06102908,41177505.73845525,36913869.95407338
49606800.08177922,22828375.60064907,9733715.79259204,38839120.330043584,25828361.908996534,38467944.892194636,49847194.64163868
55018999.4776809,15169144.188191669,6200195.117413135,71643715.03347617,19337461.53678649,47115209.8652381,53973217.66959835
50570991.25421959,11030297.844673837,18324380.078708187,87013469.04985936,8526658.902603446,32734941.935557272,61076069.54159538
46559554.48416937,12755123.838319805,11397593.979013273,88149995.10576327,12292596.533606412,31604044.947622888,47407624.36324298
