Healthcare and Health,Healthcare Spending,USD/person
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Random fluctuation
Mental Health,Preventive Care,Emergency Services,Chronic Disease Management,Elective Procedures,Surgical Treatments,Pediatric Care
6732.305549317031,629.1619565842266,936.4776096834129,369.5123639915226,5119.2000791015735,821.6207547246785,0.0
7490.562833949152,692.966348812413,1245.1166089086676,1090.4790337768895,6726.2425185256525,253.9175634879059,820.7310192117214
6605.665787573205,1231.551978778081,298.4567833788985,359.8307032677615,7375.770922653983,234.7919017897674,1078.4337013259992
4744.191846052341,1473.5762438328172,497.540725316466,391.73758353698867,8871.924489939809,1119.031323623596,1486.3370715762799
3293.6028414211337,939.2280733789803,537.6170864899639,1222.1021771148787,10000.0,901.7461904318433,1925.1853374632374
2167.555090399031,998.1612005810392,196.48519201372207,1074.2755780217183,9013.53897025926,1162.030328012759,1171.6227890033338
2636.6618078677584,1167.387468302088,295.7439884565426,368.1857314204886,9052.54793107302,948.1684476410327,1331.6908595076723
2352.3377769594945,1059.3960141110751,1251.4643543713007,715.6519464332225,7011.097828018163,696.5430825224705,2693.230997063668
3058.4610032037813,1018.262426438777,186.41277729077152,833.6227275761573,5091.596053047548,798.5134410109997,4475.967776101342
2307.5346047228686,0.0,213.1095358544614,591.5621103559653,2962.4375567981447,731.0821157587753,4412.409996510703
1665.724066487012,818.0075815013829,308.15201693104774,628.6870091923536,2735.013401991854,1015.8447488220286,5131.894349696493
1982.4619227857568,902.2258583411426,1168.8298732108208,1663.8508850609815,760.3134752652027,0.0,4131.776596683546
3294.1217817785277,455.8733613534468,718.162403659025,1454.2669267277083,414.5879171858335,1368.4297490732022,4066.7678529878426
3304.2807378659204,1091.2250598325463,1537.5897580955668,557.5179857716987,650.8359395500031,903.0583144529154,3661.5908886314905
4626.125336686358,842.7763189117688,1534.5569678694014,1489.0275174513288,261.93552838723656,1434.3114003554708,2089.600187186003
5463.967497532754,1318.8374944593256,602.3368859489808,1295.0243617771625,2208.140899682946,1459.5022217085748,2749.405438878922
4996.086775662426,1142.0809632726352,1209.0771571765624,2179.2847684940634,3293.9261129650254,2040.0656453037827,1750.5544206078475
5782.035329942641,3141.240972238147,2709.7232739116107,2607.3573046764736,5538.631239842875,2227.8870000730617,2468.413195953869
7083.890307285906,4342.034468953453,3359.536067773679,2761.626937604648,7007.128383725376,3005.949984733101,2649.399842584828
7763.933987433649,5698.3492040916035,4351.69707799587,4395.074531660724,8161.477928010677,3957.251478303849,2972.202261801318
7246.667443240872,6321.818072453395,6106.306412178103,5444.065302681771,9754.666878629472,5357.459945787307,3242.5300637249493
7846.805006904118,6240.283709203504,7559.4045570860035,6909.803108484704,9477.040880027762,8199.003513387108,3198.464423383619
7862.382568786743,9165.666571327702,8453.887919293122,7986.594124144677,8529.806682010694,8374.381455109366,4067.3106809229375
8209.221678122505,10000.0,9896.407906567005,8682.365940368298,8104.984096468251,9649.468074050343,3571.8695395523823
8640.438923671609,9844.594110516515,10000.0,10000.0,7079.844960123018,9803.126195495537,3648.6002068115945
9165.661048281432,9361.754221584373,9718.647935980596,9587.21827566309,3978.388658810107,10000.0,4117.837041227872
10000.0,8819.846705301332,9166.241542755244,8628.154837728305,3758.693557661184,9297.905375007123,3776.030921012466
9367.002370383514,8254.89101288407,8297.70708372099,8217.865345026377,2230.945771794436,8456.976803167818,5056.816079561072
8778.235938142327,7150.051726390243,7363.189085105084,7338.120399631653,715.525145447736,7529.683090252944,6511.020066081817
9647.78068239819,6065.499209097717,5843.5255629151025,5540.882762862887,343.17797701472335,5089.938974464055,4307.121811068944
8124.674833680099,5246.212008270852,5344.553751956508,3874.2470509552886,0.0,3289.489867485044,5837.289323149414
8003.559406292804,3342.1263055203017,2934.713758089398,3157.484883952549,308.84822738894707,3178.746116904385,6461.036335855278
7052.521942327508,1997.7768530089993,3036.404032098888,2826.83514522791,1876.6961528095028,1932.2697576052342,7294.703997509725
6418.874779589591,1665.1386819692552,2401.937965233157,1958.3192873742682,4073.037572394076,1852.7636922171137,7915.27543572352
6892.3919067945635,1496.6685441743068,2631.523907466731,1123.145168924456,6343.791326179452,1130.3082344375568,8942.60910922325
5942.1247211972495,1333.0776105936789,445.42781077728677,971.3906630227061,6597.608685459735,1354.9360526279022,8415.32104334069
5977.319667843149,1790.3293384814679,1550.8889284785382,1040.343941523964,8939.691465956847,453.1506530972439,8585.7535353118
5353.898644047452,918.4759383482964,1456.3189627049885,1151.3568109216087,9829.175629143727,248.41924392309588,9425.195546843557
5495.6617986315405,669.7640230994876,1159.5308310516416,1032.3532856489117,9383.083600187096,501.51459240843707,9611.72379843934
5098.50159533658,1273.9550384392899,598.4331997980281,527.9974137196923,9539.816148788721,667.7392656509313,10000.0
4243.65421190532,519.7370571759143,825.7503840469001,959.9919965570991,7431.33379399117,744.8250113587887,9186.884569118432
3704.7797951489447,823.6705244777032,1707.0484850704252,1141.2753474787169,5698.5345449512615,907.170119851773,8656.422213626038
2753.0025285451625,441.61161589640426,1641.515427007152,797.2106708482415,4139.877378054777,1438.1246935497188,8887.82809686164
