Business and Finance,Return on Investment (ROI),%
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution
Commodities,Stock Market,Bonds,Real Estate,Venture Capital
-7.2768028392553035,-1.219898535575977,-7.539387878080804,6.8078207171515075,-5.864346687804845
-9.475969946087499,5.341828865213753,-6.94692525380779,0.12811477268363092,-5.74071091762002
-7.486184001554023,7.611386758749251,-8.524734926882443,5.121324170906469,-5.7900009123819745
-9.134274539790809,9.497760531350384,-6.265345391891094,-1.4224336605326986,-5.537764329003091
-4.561036911102474,8.585666172443336,-8.041684462723026,-3.367845089962299,-5.020841857329129
-8.077808012844795,17.731673501364533,-7.923103350877277,-10.0,-7.602014307794827
-7.421906671374268,9.265848607937837,-7.683343621273909,-3.9513616713912203,-1.1289656745067038
-7.635339075873989,8.92620075239683,-6.192850167689994,-4.327345772829273,-8.159826433531686
-4.868327647982804,14.959224170154258,-4.1286193767920665,5.391225222367078,-6.402568920692897
-8.571904013548936,20.454158076239736,-8.851817089169534,2.9999868318428273,-10.0
-8.41623909357758,20.70122766631085,-6.943002295360062,0.04202618124486435,-7.5893454439012125
-5.499899905196211,24.338840551922047,-5.248655604450658,-6.720912181281948,-3.6606815627564204
-6.644792289622255,27.477208634347534,-7.5693763189501215,-7.158796057851944,-3.276709059869317
-4.9074714750030415,29.430661471461768,-7.871560359719609,-2.3219643053460723,-4.768249614717009
-5.919314722024495,30.0,-6.005068371422619,-2.4226703102641833,-3.2528825030196975
-3.061498297739627,26.917797456922564,-5.069261847315494,-3.6197871274730655,-0.6857937017026945
-1.848151418379695,22.61584975549117,-3.6927708221230606,-2.2613511042980754,-3.385382042530881
0.8389103038489907,11.115852312882673,-0.6227853139958377,-5.5363310417184515,0.8921031973707834
1.1625256650286602,11.810809667734038,5.3274437970437045,-1.4501040220162835,2.966200424859398
6.240970536761495,20.353594035560953,7.233636824227013,3.810169872792624,8.814031674128213
11.53583827773025,16.23585850436126,11.578006916080447,6.650783827348256,10.433146145191063
15.951576964327824,16.01145854311625,17.94340301276351,9.73650109858406,18.902312794662212
21.71510497315601,11.436960328893768,25.445957880774287,11.157334337695385,21.66704506264333
29.879650534440295,11.080071484268316,26.822004251068478,12.85135260613108,21.429866629504186
30.0,7.540787491279545,25.096782190590396,11.123549616965821,30.0
26.484295100482356,9.760528355477259,30.0,11.566840538083515,29.024292130690803
23.38439776128569,16.260821113069536,28.64536781011025,11.297556050057537,25.663745115991773
20.911938154050922,13.180401853797914,20.120519334861946,15.64565541582368,19.786967745348967
16.325317215926415,14.089585371155966,18.35031635026972,19.195105991597178,16.940552350908934
11.34263925001651,17.256510017149225,15.318782054950162,20.105509807003056,13.924538495282441
7.580321358056295,10.835155586285495,7.289419431483676,19.443734120720197,8.788919344440696
3.1863653990472702,3.3136855752315455,1.4539444520822506,22.225859373834297,3.5535176991323283
-1.1131887111723682,0.9171480182090406,3.17491913347342,28.434138829030267,-1.031107581729401
-4.981652457684346,1.7711545624866947,-3.7067894887700747,22.431371801493547,-0.35598642784065504
-7.3663733809737835,7.993401768135303,-3.2987400407554492,21.284513058827713,-1.5996143247748709
-2.55367815833763,11.770503532373269,-9.979666254472109,23.433903837814768,-8.55675594131865
-8.700308610330142,14.567542016160697,-6.799681488829221,24.356161377206625,-6.058791682332915
-7.721507133099243,6.967890794119359,-7.257039755611801,26.666203032411666,-6.765236308686632
-6.702189867066593,-0.6498648519794337,-5.362836235633342,30.0,-3.7082236306437473
-5.260884118652099,4.383241459112465,-6.9986953814149455,22.646563853770523,-9.030140816608368
-7.608796801361668,-0.8414508860531775,-6.211067768552697,23.526712427433047,-8.611100689907559
-5.101001691482131,4.811531207502547,-7.740436476676186,16.82195146904519,-7.311456496232157
-4.641318154684814,-5.330345490409086,-6.227105433358585,17.304300795120703,-7.2433194109865555
-7.304234142727966,-5.956284742338735,-6.7833818027667565,19.546169143587022,-3.533610873247527
-10.0,-4.588173609158832,-4.699687676938198,22.68267501308197,-3.863477764666861
-7.563524371588224,-4.659759719795971,-10.0,22.00389938518213,-4.02830046781256
-9.414039823899088,-5.306959904598339,-6.203211711461925,21.812499054819803,-3.71112913329255
-5.298348181614443,-5.62003749439921,-7.123574449482117,18.03624213456514,-6.607602616441129
-4.09810568821703,-10.0,-4.852435344024755,15.792538685716512,-3.511385686165971
-4.716199927667476,-9.659624902186751,-6.200138924037935,8.847647702483155,-4.4555970603658865
