Education and Academics,Academic Performance,score
Random fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation
Social Sciences,Humanities,Language Courses,Arts
70.32412693209139,47.637487656016134,55.491627244306926,100.0
75.5635878391676,62.51053655568358,84.76077604156444,98.05877997381684
50.73089858442583,91.05174498950382,79.23956807279295,90.40791855281044
26.159635401478127,94.399211730303,77.90527179391657,83.46508640484817
28.71143141321547,86.6531780459093,66.3180037792376,79.9035934669561
47.17738702642645,73.93447897301618,62.20354132500401,73.6543012861601
49.55124742428354,41.717682527466025,56.11751112201993,63.96616662622372
66.51183750058138,16.56108720947761,47.46226190471833,57.38450416287495
72.69199199210227,1.6708589987947404,45.98140359658333,65.2238068751606
52.637060855542,0.8211523393263263,78.6092843854219,62.04083996205346
58.49769686230519,21.641125102930356,84.64450019348256,54.32720297185089
26.51554669756389,31.552124511139564,78.26242163900815,46.54241813230611
27.66883196042953,56.98270566073774,100.0,46.026600052716994
22.242371845106483,84.52548009410089,67.68791975280642,41.532473422841576
0.0,100.0,61.57690308709095,47.48558626351199
21.98009163226483,93.7507764312925,68.64824374914245,57.28649619060155
23.48772999331064,82.33521841256149,66.29618965383011,61.4883274624463
23.72489945214424,61.11564866405047,54.3600508887202,63.550076330819195
25.771577550622755,33.909429590479775,35.210543333049166,63.585738211155885
35.799987210643074,15.772833064177341,45.13594441864265,53.85562840478002
40.252294880163824,0.0,37.18570460633641,46.08655814901979
31.22307580368397,5.131984735771404,31.03606366273825,47.59004400436065
55.083755403521,24.328097134248118,17.092758196110978,45.78115215981596
69.31462611092998,35.053020497232744,19.75113015030442,37.91066259591022
27.434864401866204,60.364342414380005,0.0,55.19548890993479
22.705974043268082,84.5415166312322,5.060515511346196,53.426059055628414
34.2781825068613,96.12522064939418,31.958417588143217,42.02575074092791
51.5421996358435,92.11186271269113,42.98148773738444,38.09276135314237
68.95488968760725,74.78841014650506,33.47886269085437,26.907421115079543
72.3660854063074,52.8174803209656,41.4754220902225,30.209858599057167
71.54141898294517,21.25410176827451,72.79657946981828,26.70253681956028
49.67797366763793,6.245271419871236,44.66521160357627,33.08300562614323
58.12984228970626,2.958901382782953,77.58017598810285,37.448966706681716
68.31803072336758,13.37609963022038,79.73866178189942,32.0991830778799
70.8795670453838,18.167676967781716,69.46921796796362,26.804550116994964
60.6107189594936,51.53756147106743,66.070979800237,32.312474884010214
40.4531345487074,70.2331525327636,69.25072465002683,32.36897934403364
53.300267948741634,97.70209879631533,55.63269063080013,28.49136074572692
69.74833752231974,99.33962760539299,63.384579237465225,24.40362924363849
52.777947873687644,80.98403009523642,54.45107190376712,32.35653365923098
59.50196176115634,72.78152339167092,58.847112637564095,23.881202420269076
48.63101092072794,50.45930528819529,50.650941990261686,15.634473068598034
59.832914719383304,18.00600850200308,41.65573063769557,12.126930254335983
82.57285161546858,14.502080756906945,16.752623877027705,10.86010728435571
83.28504741145069,2.883844837361056,37.23758150895455,2.5338123838509166
100.0,15.505624194575981,34.12934968668497,0.0
75.79972376237531,36.28818642321352,11.320939102238196,3.2818948780555175
67.85441601687778,51.95459115985738,15.491330528475139,4.3579908560715435
82.25801699076007,76.62302080286183,6.454037530621526,11.143717004646229
84.90625757274394,90.61340695140136,17.49430070028917,16.991906494516947
