Human Resources and Employee Management,Employee Satisfaction,%
Random fluctuation,Random fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution
Company Culture,Career Growth,Remote Work Options,Compensation,Job Security,Workplace Benefits
0.0,0.0,41.14288092737668,8.095977190035471,59.52573871225289,11.94212118786735
12.30955232573311,7.97519486805575,70.56192791667227,14.790246805478303,64.94458559007188,14.188555451967186
15.419122361408242,11.662572211470097,78.92939523827643,0.36375349288443287,72.30595371059928,13.243341278995532
30.55145974060471,13.546943092032782,83.73802220689835,9.543519094609678,57.68572889882765,10.0069369171559
34.125685510777856,18.04007320589863,100.0,0.0,78.59507852946706,0.0
45.79450626202085,17.369432731468702,75.6613915882542,7.663785913539528,100.0,9.398886584004051
44.568339797040245,14.685658625352202,53.80155988726162,19.924602939658136,89.77996926348251,3.7806142843497565
51.60874348243887,20.447331713086253,36.86086439841899,8.988283291047852,68.43272372372394,15.54735802161112
47.721771153011304,14.861624710611531,17.462768710862704,3.978972895550987,38.95098289025279,10.578567049195652
60.226901536229974,16.971729642106332,5.05745662264287,10.368466375257029,30.488730980232724,9.782302807867808
48.142900232350975,16.522147850400398,2.9792066784295352,7.348563310640323,16.483440083708462,18.19811432948024
38.92290627545586,28.05828537474096,3.329925443170008,6.489664879650606,47.46907218539097,9.6712809657533
56.961759900545516,41.04057461369978,27.57053173185354,12.713080918562031,47.233650410385565,20.67743627822383
64.52264702253586,59.778297011514304,44.829694414470175,12.508083227095323,48.20810235028933,16.9437151352451
81.36808880789553,65.01317053148559,68.06088431471093,13.60751979670364,68.03219984092819,6.755337035728531
80.48705093119243,61.72953698675524,76.93537126121383,11.500940741324037,66.20398464915365,17.155203744766922
91.15963448141741,63.04286582867056,94.40762182151897,16.162663883119997,67.53406827694151,20.873102042746854
95.80895078672552,73.0987409772263,91.47365871823759,25.43967557987548,60.891335349421084,27.33673108269208
92.10364608699719,71.73911264201888,77.66717191752697,41.5534340840008,46.67334960695918,36.40189377020414
78.11202018574338,69.39969702730049,72.94588609893971,46.18718918147623,25.891212507443996,45.193926606487146
91.05024538490956,77.80244692040512,46.14837484275745,51.6500456990471,30.210900238272774,55.25761225042943
98.59475894495249,74.75827709657248,16.112310483387297,62.995245302327305,13.09768746147442,73.25505925448331
100.0,84.8123391912605,8.50757155895716,80.49825270275365,42.35245511069999,86.6118660663976
93.2179423415388,85.94994910866708,8.894007836659982,89.50414793833463,48.231613511441765,95.64206046111875
96.62683352423501,76.01990437594507,19.565576430806285,95.39573503131616,62.31779968833459,92.80353281557868
87.44422510629116,81.64985857192862,31.617612956616114,100.0,51.66532886587765,100.0
90.5726745484512,85.30801291354261,48.231514559959194,88.3214654288979,59.497116763429105,92.65791450311546
84.5287905880947,87.44753279258245,71.63564689096845,79.09754951604488,58.90351375051708,90.72392329711391
97.39759495818716,86.48154628201661,83.71958227694623,67.84383737746724,54.66857386216349,80.97858861767625
97.73117236915022,75.62975547186859,87.55815212792781,62.203241767257175,64.23872397584205,62.54707700356713
98.23198531535063,91.86652328040206,85.09777817754382,42.22685902591104,61.18123453385871,47.0621869025999
95.39011719840755,78.97962096679768,76.17698515187897,34.947617867814564,75.90812416797051,28.317766517738303
95.81843478828618,80.02483608620088,66.57050170233242,18.01545292295709,74.63583500621115,24.614751430723658
93.51538180693166,90.35372215459113,34.44127047125151,14.2855134379403,42.302145675024214,24.844135273091553
89.29904242454708,92.81747375737734,22.93818069998452,19.986262854623202,61.595225736585434,17.806180951338174
79.64482960653355,87.63090210435301,8.850889095862788,20.84075019891343,82.3264926249904,18.511207935766656
73.4204629296585,78.32335400957992,2.1999472384768888,6.104656417866841,85.64632673562852,11.69465531493645
69.89890077960172,74.40696838655045,13.502416847503959,8.662513520346238,66.43006495041357,6.940114836645604
70.49311924488093,91.89101978115085,19.93650357839815,15.674347990236214,65.58082830036858,10.442240514192898
79.36903220525133,100.0,47.198486793572314,16.544440469941428,59.069037739994634,8.25310328903937
83.89642653697221,89.30399579381405,58.21517422207382,9.358796328290598,42.40144595853129,4.276649683704181
85.33455457885165,88.25280734656494,85.99462995971513,8.077714624527932,33.48370217075697,12.593541342986715
73.32797112936608,98.07405090417271,87.55843279705311,4.5870947571363025,26.772170733103724,15.340959827604749
72.66949874868001,88.10482828741156,91.35632617517736,10.65867707388692,32.05021488350577,17.973334959197366
69.96479616712054,83.03762440295735,80.95873328359961,0.5039606918790389,26.815722740701375,8.85916699535942
71.0023689592141,73.8477568222382,61.98254948745875,12.191439884015747,31.63136300644306,14.457739251048496
73.82867641931387,75.51755340722629,39.18349899745333,11.456915960205063,33.466135920879566,11.639157456611441
62.43636203595988,79.13666605496125,20.690111528153675,13.207638820406581,25.873080649168763,10.277926055127546
52.26273534846319,82.62165304730816,9.191783450150899,10.69809127395833,0.0,11.58553192337535
54.05853888704293,83.66398138678919,0.0,13.336482134912217,1.8269724721878242,10.035089391843961
