Healthcare and Health,Healthcare Spending,USD/person
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
Elective Procedures,Chronic Disease Management,Mental Health,Preventive Care,Surgical Treatments,Emergency Services
459.4906682100838,5215.451179094487,5909.920385061921,606.522784114708,4568.642179295349,5219.643046207636
980.8621464745215,7647.582508323523,6377.287462765079,560.4744380793318,5408.623760799986,7490.215898531506
665.2383023367671,9082.401590087036,8594.621178328296,902.0381683895056,5585.846022385663,8974.984227860848
864.1206620605673,9996.519704465338,9054.041429054465,1375.138206373024,6742.222588679804,7675.532513740313
1349.6737763348578,9842.155155510925,9676.2360432576,1387.6286828600403,6246.433647567596,0.0
516.9608926870819,7969.484877514728,8639.987894902324,1766.0899282184512,6498.546529043925,2869.3608819951673
1261.3882594700187,6118.048712475488,8603.852708371496,1124.4736937663063,7595.426515391117,3267.920403392634
1109.3002182930745,2898.2135748437963,5972.612744904913,1581.9148418694053,6888.2436148648085,2852.9558765571323
1727.0887473240837,1165.81241352344,5431.602145868623,0.0,6708.750333690985,6004.520660412076
1162.437487869616,477.801341972761,2369.9221914192094,1082.0769839235822,6946.755597105047,6277.8055404619345
1127.5177804770092,766.8392102118768,947.8817387848626,1365.8462193800044,7376.6491856982875,9406.666420956592
0.0,1663.2065870618542,308.63032816927654,1463.4030358811756,8977.500520285854,2375.687203239438
798.725510939224,3528.6125628769323,485.1854535571172,693.759362945283,8637.346221454934,2307.3895040387756
1489.753014958632,6152.16635737729,1048.9626627974824,1828.4577107047623,7660.725241835315,6232.463513545
1562.5815006924047,8354.893007591847,2367.2277780588065,1604.6607776014114,5614.932181463818,6282.293361033819
1451.9845576740483,9494.224034056651,4631.803800181651,2796.6102974114515,7256.2697604642435,3762.9931220201797
1906.7983107917921,10000.0,6036.355823096204,2405.982514612079,7460.567982482978,2051.4137433776095
3069.6708404233445,9559.576897918509,6739.95213114414,2627.3894576238827,8894.880345553045,2935.9522678278436
3292.728870962554,7026.446038908773,9148.75837842032,3635.035764530788,8143.7126150679505,6151.690742563826
3534.001043666503,4701.678793964868,10000.0,4708.321726373118,8559.729528233345,4098.7372372574155
6293.282020154439,2729.8144350831826,9468.03702067255,6053.067895885178,9161.21463716447,4126.889914131531
7231.0817556436905,480.7313206981844,8349.84291638143,7146.603637995304,10000.0,4990.983419069839
8444.535571060427,0.0,6612.956289587399,8827.108746726493,9633.31979894412,5687.231409207897
9533.319358862975,72.59316784854202,5329.648471514654,8753.096536083482,9001.427681948753,5758.70249492689
9606.729382662586,1744.9772768052783,3151.051195688539,9118.369470555599,6193.799495054536,3467.5907719688225
10000.0,4367.527141309599,1819.9586467868742,10000.0,6074.405850129759,3625.0296535358616
9295.534603611177,6531.822484768354,654.1150158187882,8799.745493226043,4689.8712694897395,7653.201229106269
8580.596736418735,9573.978138604942,0.0,8870.48677680732,5415.839387661779,5697.261413462834
7358.497728814725,9730.000993982316,1390.1665122918766,7159.757944597361,6063.694910651109,5409.907860060644
5818.641681896705,9619.348397095797,2048.272087134943,6493.837053738865,6558.0924087993435,5284.837770403381
4698.193150903648,8345.075298207386,3494.493847229224,4923.063857111774,6413.813492743005,3741.1425398436613
2746.056264394259,5565.758534150103,4862.27621537105,4251.19392272393,7559.990027832901,3507.5272814977266
1615.648176925567,3774.503980734908,6104.361504196557,2727.334908960434,8471.316345373096,7362.139231259161
2116.6376107818214,1857.008660942176,7202.918783163415,2019.5507487825582,8232.739598126307,8369.886096035178
1487.948624569807,70.5159795451529,9619.18000916735,1342.7910026373527,6981.428492275256,5094.910211771767
1708.1594934437574,702.9401526778148,9368.204662805592,507.51026750748144,6930.624318983047,6901.444621982598
1385.3201522840848,1418.504798027871,8345.115729038069,1650.459766198486,6926.624264450664,8040.676454546042
1021.9140006461358,3352.2131496973916,8246.153504242688,2099.3244351615776,7076.962590003683,6901.44925053563
1035.8251832053968,5271.822291967373,6005.731405761131,1535.4169769812843,7307.498566741468,7723.031145514609
859.0704201379964,8211.179938168872,4896.267821817657,609.9292797566513,8718.150491576314,6028.429607258675
1442.0869459057315,8698.838226357395,2927.335653635936,944.3868613081161,7359.565889958682,6318.100014951757
553.3439063329198,9874.23301875466,1671.4022309214656,1662.5308526593162,5873.978494788431,3181.3667037920345
88.3120240750387,8896.38767318318,1111.1671631511858,1366.1861501486092,3975.9640536813745,3952.2504628606293
853.9243398818504,7161.926243247038,330.5298391712073,1366.687678191681,90.56209934795483,5332.311379378226
952.6292103091406,5158.459314888686,1071.868954582841,1675.9067981628195,1065.2867092578763,6749.348145448918
1363.941768079974,2945.528484868217,2049.492135780752,1756.3972227406011,1382.3349519368162,10000.0
1798.5662554641804,1046.828508708864,3554.483624764947,762.9102566708707,1248.744194646784,5817.482372508107
2057.4517262189647,479.29832260711555,4949.609625299572,1368.6712637144078,0.0,4333.404413485797
472.1914234658735,640.2920418149579,6373.67737916832,988.5326574157303,2297.8959781922367,2989.6495357283593
1192.4765000798434,2442.2508486082625,8654.560717736942,372.1586361072715,2789.8215546342035,2752.392114669086
