Retail and E-commerce,Customer Satisfaction,%
Random fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution
Delivery Speed,Loyalty Programs,Personalization,Return Policies
67.37081261038094,100.0,13.046994080743657,12.08144252836379
69.58719700163934,99.93255265151623,0.0,16.399142225372575
86.94947173421171,83.83797574531013,0.0626834111590146,15.643895181676815
73.1567882051273,95.04693331850137,2.888603655781492,10.019326956859725
65.71360642345499,56.01676992110263,5.200848331332728,15.389550127585478
66.24549742397329,60.6314553835578,8.766015545517078,12.347093282740195
71.99476118281481,53.74626407057803,6.636386349757428,5.321440970872109
80.1752953466085,60.94611663984592,3.0838064731439876,14.474026966795606
62.64915664145811,36.81158416024766,7.688799012640024,10.932422437096461
69.68091344977813,32.63583745928737,0.7975875795151176,8.824092844508431
72.72536472746889,40.46376144074094,0.017448877951094063,9.4031226894033
89.0285246263663,29.06017326654084,12.421843253487664,9.219725754360558
97.96930123313751,1.7526620114435838,15.056993156132343,11.19272655414477
100.0,9.288198148547622,2.2427884844873915,3.883860776708883
84.73346007870455,27.706873275235584,11.510228828685648,21.126572179140016
85.93230478353927,28.18299319066807,15.588257353548254,15.255655721619284
55.197599034540445,40.59773648492656,25.20900675409465,21.914630909517765
54.25812373582184,27.181984194439057,31.15810389494338,21.27850377338419
33.51110170224612,25.00752074806558,33.1202172130344,31.520523325894413
19.578038152388334,37.43619284359199,48.78734338256863,42.42172246176912
9.581999341889649,30.66004980297982,51.17919917407542,52.94967881754269
30.653786900469814,19.51652012796135,68.72011721132807,66.30029739569886
13.101888168264361,32.275056990650604,80.05431295986143,81.15045815744145
0.0,0.0,89.64720390616658,88.78299796214002
10.03375683334574,37.84076280704811,96.22505099718708,94.2164160352152
34.35293996867489,46.11596331165136,100.0,100.0
54.931390841624115,63.67452880331772,95.67767677322801,86.86931691377123
48.53358474088936,65.31447428178292,76.99447125656658,83.62787785573093
42.01635487372735,44.62181400444708,61.58830740326656,67.84873033868686
54.49626528507231,26.98818661540748,51.80448465081488,52.71211492969686
47.68719099189238,70.07721723365758,38.869815980020064,48.760803582309556
31.558021180686453,74.35894268675641,38.041580917999305,35.833911989298926
28.49893639997162,84.49785985618584,11.296017390284177,29.478420766316233
21.599323172898092,56.50593718061674,18.83472285540957,15.780656988569882
33.136059453243114,50.457612234566504,12.990845811770452,15.561525931625852
29.294042469317162,53.11847546860119,8.298514862905044,14.001544365633576
43.109221961958156,13.212854072826133,7.848827847003739,13.25350893190974
50.791999726141746,34.25093928878713,6.870889959468572,10.644255690820726
72.4941826294041,33.17442960901881,4.415627417075265,9.991957781898977
67.00954300543745,63.193128985867666,9.619470990557677,14.415357339783938
64.2297428388804,41.860414323405024,5.251271673440527,10.024791213604724
58.99201674523735,69.50943004361763,11.888569411085491,0.0
55.424897832050256,82.91927945873292,2.0085302644250804,11.281962108544992
51.03069857516468,72.28324527937565,3.688081017925625,6.398741823522361
41.187105599181415,74.68507680921245,7.321630960614859,12.603056303678326
61.66978720812194,56.76532681754573,9.724833654953079,2.1025171250854147
59.94861355230682,55.330677954813744,3.8442683195182017,9.633286535036792
68.71066437417286,35.61399418095401,8.922456184179293,11.883757420170895
78.47299333910378,15.461258293719263,5.440687394920558,3.771809814821091
78.95916054223004,26.651589230139066,12.107412332040242,12.701806271746344
