Food and Beverage Industry, Sales Revenue in Food and Beverage Industry, million USD, vertical
Year,Confectionery,Snacks,Vegetables,Frozen,Bakery
2000,519.96,180.0,180.0,180.0,180.0
2001,180.0,180.0,316.06,180.0,180.0
2004,580.14,386.0,355.22,191.02,180.0
2005,180.0,653.23,215.23,399.61,242.13
2007,180.0,193.35,180.0,618.46,381.9
2008,643.29,980.77,218.99,370.99,180.0
2012,892.04,180.0,180.0,180.0,326.64
2015,180.0,635.7,180.0,180.0,455.87
2016,180.0,1000.0,180.0,180.0,838.6
2017,301.32,258.11,364.44,180.0,180.0
2018,658.69,180.0,180.0,180.0,652.81
2019,180.0,436.77,276.96,180.0,427.23
2020,180.0,180.0,307.32,180.0,201.16
