Healthcare and Health, Data on hospital visits within years in towns, visits, vertical
Year,Fairview,Redstone,Brookhaven,Riverton,Silverton,Springvale
2010,14615,9185,10894,11462,6151,9005
2011,14164,10240,8671,8397,17449,14975
2012,11654,8311,12258,16514,12004,9920
2013,11704,13515,5000,9528,13830,8666
2014,11608,9176,15097,15876,15352,15248
2015,7535,14890,14121,5716,22000,6564
2016,10518,13052,7049,12405,11991,10074
2017,17898,9055,12001,9241,14650,13229
2018,13284,14692,5806,14610,8021,7188
2019,11032,13312,11970,12683,6093,15983
2020,13565,5069,9286,12986,17491,8293
