Science and Engineering, Comparison of data on R&D investment in different fields among cities, billion USD, vertical
City,Biotech,Robotics,Photonics,Computing,AI
Ashford,45.99,10.12,38.54,10.0,10.0
Brookfield,10.0,25.6,17.71,10.0,48.25
Creston,87.09,31.18,12.62,10.0,10.0
Elmhurst,53.1,10.0,43.34,56.51,15.71
Fairmont,95.0,43.8,20.84,16.95,55.59
Glenhaven,10.0,10.0,16.56,10.0,10.0
Ironwood,50.0,54.65,22.87,10.0,17.9
Lakeview,31.09,21.17,29.93,95.0,10.0
Mapleton,58.24,10.0,44.32,10.0,11.17
Quarryville,13.42,50.89,61.02,45.52,95.0
Springfield,10.0,18.06,31.21,46.54,10.0
Westport,68.28,19.91,10.0,46.93,10.0
Yorkton,41.81,10.0,10.95,74.97,95.0
Zephyr,10.0,10.0,49.32,11.31,23.63
