Science and Engineering, Comparison of data on R&D investment in different fields among cities, billion USD, horizontal
City,Materials,Energy,Nanotech,Quantum,Aerospace
Brookfield,30.76,95.0,10.0,51.61,52.97
Creston,10.0,95.0,69.08,12.49,10.0
Dunvale,34.08,68.01,10.0,83.29,23.7
Fairmont,10.0,10.0,10.0,29.06,12.07
Glenhaven,63.99,20.66,68.98,37.94,95.0
Mapleton,12.23,10.0,47.19,10.0,10.0
Northgate,10.0,12.19,31.07,83.99,10.43
Pinehaven,40.51,12.71,59.19,10.0,10.0
Rosewood,19.7,10.0,95.0,14.76,30.13
Zephyr,28.57,31.58,10.0,10.0,18.22
