Education and Academics, Historical Student Enrollment Statistics for Schools, students, horizontal
Year,Meadowbrook High,Hillcrest High,Pinecrest Institute,Elmwood Prep,Riverdale High,Silverton High
2005,4745,658,1960,650,3784,4900
2006,1968,2351,650,4900,650,933
2008,1088,3171,2570,650,1951,683
2010,1380,1678,1341,650,1257,1046
2014,650,3400,650,3115,650,1202
2016,2360,2256,849,4104,714,672
2018,890,1252,971,1313,1171,1107
2019,3071,1770,2723,1578,1155,650
2021,2914,650,650,650,650,1547
2022,2550,1016,650,650,2490,650
2023,1396,650,650,1637,650,2592
2024,650,2852,1778,996,650,2074
2025,1894,787,769,3038,3765,812
