Education and Academics, Historical Student Enrollment Statistics for Schools, students, vertical
Year,Westport Academy,Elmwood Prep,Redwood Prep,Fairview School,Meadowbrook High,Springfield School,Pinecrest Institute
2005,4900,1279,1854,1130,4444,1709,1224
2006,1725,3646,1274,1290,1080,1544,1013
2007,1090,1083,2069,2830,1008,2006,1249
2009,1889,1532,1234,1277,2038,1532,1204
2011,1070,1253,4900,1088,1352,1494,1538
2013,1075,1799,1467,1339,2005,1235,1209
2014,1008,1183,2284,2283,1330,1326,1274
2015,1141,1481,1629,1483,4900,3233,1200
2018,2797,1382,1715,3728,1311,1125,1907
2019,1101,1372,1118,1679,1942,3564,4593
2020,2893,1080,2041,2121,1984,1162,2764
2025,2090,1450,1020,1301,1914,1370,4900
