Cultural Trends and Influences, Comparison of Artwork Creation Counts between different cities, number, vertical
City,Sculpture,Textile,Installation,DigitalArt,Metalwork
Pinehaven,366,121,131,458,197
Westport,431,45,458,480,480
Oakridge,94,282,391,284,435
Brookfield,315,53,308,45,277
Creston,185,195,239,74,45
Northgate,69,283,254,279,480
Fairmont,480,85,45,480,293
Rosewood,307,115,480,480,480
Lakeview,250,480,47,480,225
Ashford,143,249,350,100,480
Yorkton,220,286,430,139,480
Quarryville,394,94,306,216,480
Mapleton,262,234,220,435,480
Elmhurst,105,102,61,300,76
Zephyr,311,480,183,376,373
