Food and Beverage Industry, Sales Revenue in Food and Beverage Industry, million USD, vertical
Year,Fruits,Snacks,Bakery,Vegetables,Confectionery,Meat,Dairy
2002,494.77,276.66,231.65,195.82,180.0,180.0,271.99
2003,180.0,215.45,180.0,233.12,342.31,512.58,180.0
2004,358.11,670.09,343.62,318.46,180.0,254.23,180.0
2005,640.1,486.26,466.69,180.0,180.0,180.0,180.0
2007,180.0,1000.0,798.18,383.88,180.0,265.57,499.42
2008,477.07,1000.0,482.63,180.0,180.0,631.12,1000.0
2010,180.0,180.0,180.0,180.0,575.0,220.23,1000.0
2012,330.97,180.0,180.0,480.57,180.0,817.79,180.0
2013,633.53,180.0,180.0,217.49,636.45,687.17,281.86
2014,889.1,180.0,528.85,564.85,180.0,588.75,1000.0
2016,221.79,1000.0,180.0,180.0,355.41,180.0,180.0
2018,192.71,369.12,560.42,180.0,180.0,180.0,180.0
2019,180.0,299.88,180.0,180.0,1000.0,183.45,180.0
2020,180.0,180.0,317.27,377.29,1000.0,180.0,180.0
