Education and Academics,Data on employment rates in different schools,%,skewed,horizontal
Pinecrest Institute,Fairview School
79.47,75.7
93.93,84.33
91.32,104.29
97.05,76.25
75.19,76.92
102.8,86.38
94.52,77.59
85.62,75.43
77.87,90.37
88.31,84.04
74.18,81.93
86.1,83.1
77.14,77.75
86.35,75.27
92.89,78.36
90.43,78.54
87.9,97.55
93.37,73.32
81.32,86.7
87.57,77.11
87.33,78.85
79.94,77.97
112.51,75.76
79.54,77.62
96.96,74.99
83.59,75.69
79.16,95.72
78.68,74.36
75.35,88.41
85.35,74.26
98.16,73.37
87.89,80.33
82.89,81.76
90.06,84.55
76.33,74.93
93.6,79.72
82.13,77.89
82.82,86.17
118.7,74.08
84.61,73.02
80.21,73.81
102.85,74.71
88.33,91.97
89.74,89.64
83.57,73.39
81.28,91.61
110.83,79.95
80.03,89.87
79.4,90.61
80.75,77.55
79.07,73.58
89.67,77.3
78.16,89.33
86.03,87.25
91.48,80.23
93.85,72.63
86.71,75.78
80.06,76.06
91.53,82.72
81.34,88.66
78.78,78.85
77.81,82.09
86.67,80.24
77.56,88.9
79.1,74.36
91.43,78.7
83.43,73.12
91.53,83.81
77.83,74.23
93.68,84.58
81.59,78.75
90.79,82.29
83.26,80.44
79.67,87.9
80.98,78.74
86.02,72.67
78.45,86.31
91.26,82.03
87.33,84.59
84.47,77.11
77.51,74.16
95.91,75.55
78.03,79.02
76.11,79.2
93.36,79.87
91.4,83.16
88.65,84.7
78.11,77.41
79.12,73.81
82.5,72.45
83.5,76.06
76.96,80.44
77.1,79.18
91.18,79.67
84.29,72.63
91.91,73.12
85.67,76.35
80.69,78.15
84.91,76.33
79.04,73.36
96.29,74.64
98.92,72.98
91.22,77.6
80.77,74.61
89.29,79.21
83.33,80.19
74.51,72.57
79.73,83.26
90.39,79.94
82.48,74.7
88.14,83.13
90.0,80.48
76.78,81.8
103.67,76.42
76.98,78.02
99.39,77.58
82.18,84.02
81.15,78.81
81.11,75.78
94.99,77.35
