Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,t,horizontal
Bungalow,Luxury Villa,Tiny House
593,156,411
873,792,781
534,673,598
361,711,372
544,604,668
612,658,431
510,758,392
816,973,525
998,590,457
781,631,679
418,122,409
643,129,946
815,548,405
648,336,500
604,397,171
868,319,394
726,81,711
364,197,625
692,501,644
502,534,402
687,171,275
730,569,520
609,713,501
834,549,706
387,529,427
839,354,438
553,739,285
49,440,383
710,453,593
551,807,410
585,507,439
576,685,618
696,713,183
590,601,597
412,566,730
584,629,522
676,418,190
657,569,594
510,421,473
636,734,460
267,573,598
719,644,657
774,583,484
580,562,857
561,499,811
405,513,731
1442,1083,539
965,591,486
815,649,285
645,362,130
550,682,355
619,517,183
540,647,307
608,682,342
611,282,621
545,402,267
1119,528,436
607,333,437
606,550,107
604,282,567
496,600,514
596,466,698
151,520,551
531,272,266
458,378,758
535,741,663
737,421,410
712,486,653
546,341,469
637,433,708
467,504,686
572,632,634
644,648,664
284,353,362
641,393,618
1257,402,440
284,496,650
722,274,335
921,598,414
587,559,753
1190,352,606
881,521,255
779,509,322
702,642,344
541,417,831
406,806,312
788,502,246
544,474,302
765,346,686
391,417,654
570,576,245
115,402,390
240,436,751
507,556,731
459,654,603
623,573,571
441,365,110
511,709,428
588,432,465
511,420,582
547,529,832
574,1064,559
762,674,240
870,701,629
523,171,668
414,463,487
359,352,501
667,308,1020
697,505,933
739,511,233
627,799,529
518,838,847
483,481,828
612,600,728
424,142,439
623,689,359
