Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,t,vertical
Single Family,Triplex,Studio,Mobile Home,Cottage,Condo
251,519,547,713,681,137
150,502,364,263,876,697
636,424,628,413,738,636
473,511,162,638,580,464
233,257,279,383,701,927
168,515,130,469,621,505
638,190,648,677,136,417
515,469,762,819,501,181
559,687,734,696,214,704
690,384,733,607,510,388
217,679,765,716,643,519
428,484,637,566,638,604
288,510,723,424,586,419
511,461,934,575,542,621
543,373,700,26,321,381
661,500,649,889,570,720
288,312,633,682,545,692
553,434,289,310,602,553
733,722,133,704,781,626
457,603,444,741,458,619
517,536,534,655,396,286
534,508,606,310,664,771
457,651,515,605,619,430
451,617,1016,416,566,414
396,605,697,778,402,658
483,189,794,556,604,453
776,733,557,436,534,845
685,375,250,679,460,227
586,742,689,695,651,682
420,619,505,333,605,87
467,498,430,422,507,568
410,346,949,597,723,372
454,451,792,609,759,615
228,608,353,428,647,11
500,668,880,780,440,32
581,851,345,416,555,524
756,459,535,454,841,274
581,580,460,445,894,550
774,607,530,670,287,528
559,386,149,732,781,927
493,622,253,640,157,543
588,217,567,518,939,678
500,445,310,838,483,683
605,293,547,486,625,857
404,819,739,544,585,993
537,472,548,162,765,318
502,345,632,467,723,562
622,615,791,662,652,1002
542,676,214,609,491,19
665,465,499,415,857,657
623,694,160,577,844,593
497,540,418,575,630,257
201,621,746,672,870,1023
782,328,594,557,698,991
379,304,556,790,458,725
590,210,416,481,465,621
526,454,649,622,745,810
579,622,649,344,574,543
414,688,678,639,373,496
902,488,649,572,709,472
597,826,677,111,556,645
848,411,132,596,387,497
256,578,588,396,741,641
382,513,699,416,770,218
375,532,541,796,690,749
558,336,702,646,451,447
569,475,409,725,625,42
521,407,382,835,758,550
668,714,632,656,190,349
589,581,600,492,647,47
793,631,545,501,526,290
616,702,575,498,546,360
504,812,788,368,523,605
481,818,499,574,497,671
547,442,523,437,567,739
463,533,288,444,767,580
669,544,720,479,632,611
615,887,585,302,593,455
590,341,800,664,844,386
682,591,774,472,637,402
442,421,660,375,382,512
307,231,745,427,627,162
793,605,292,631,557,730
404,227,472,425,507,660
531,315,338,501,688,547
367,853,495,546,495,314
276,541,601,673,427,369
452,531,476,640,437,560
382,801,796,304,617,471
520,376,668,614,447,545
599,370,1040,519,550,311
640,752,668,416,537,830
478,712,285,654,473,924
675,504,393,320,488,394
393,604,525,657,579,664
698,591,801,668,606,70
401,600,881,410,534,452
280,500,472,584,695,415
577,385,681,636,380,840
627,446,50,459,479,371
309,902,671,211,371,594
451,544,362,455,1254,292
509,459,505,829,519,462
350,587,444,440,466,878
247,497,461,593,1481,537
396,782,558,703,901,545
458,769,106,643,880,492
430,691,811,713,564,423
383,571,566,450,1232,525
705,777,418,433,310,677
