Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t,vertical
Millet,Corn,Soybeans,Rice,Sorghum,Jute,Rubber
8097,6957,5561,7424,6907,6736,7704
7161,7040,6145,7573,6011,6433,7290
7521,5429,6035,8425,7048,6015,6576
7311,6669,6366,7978,6914,6072,7022
7849,5720,6311,8294,7703,6279,7639
7667,7464,5272,7836,5935,6177,7050
7522,6945,6147,7792,8365,6689,7474
7091,6341,5421,8261,6945,6562,7817
7307,6968,6176,8058,6019,6376,6639
6891,7024,6543,7675,7491,6066,6461
7962,6448,5918,7795,5838,6115,7445
7358,6914,6429,7575,6598,6499,6773
7635,6870,6003,7455,6838,6045,6673
7134,6806,6092,7916,6907,5988,7265
7319,6529,6170,7627,4966,6419,7375
7421,7160,6386,7968,7497,6592,7213
7787,6944,5973,7714,5612,5961,6602
7544,6553,6399,7886,6698,6439,7236
7597,6388,5984,7873,7680,6483,7128
6672,7036,6327,7899,6565,6730,7750
7665,6294,6286,7957,7456,6401,7100
8068,6414,5962,7673,7735,6286,7518
7181,6398,6044,7501,7347,6833,8293
7331,6772,6014,8290,7146,6437,6880
6871,7032,6008,8238,7875,5805,7102
7178,6822,6764,7160,6169,5941,6853
7491,6795,6525,7948,6906,6352,7081
7837,6464,6438,8072,7446,5899,6845
7298,6293,6373,7847,6736,5840,6337
7716,6785,4813,8005,6206,6129,7186
7541,6620,6086,7757,5406,6605,6938
8019,6762,6029,7898,6569,4853,7235
8193,6726,6150,7308,7219,6077,7929
7426,6807,5956,7945,7179,5867,6797
7036,6557,6099,7898,6190,6193,6963
7171,6423,6454,7894,6561,5601,6916
8409,7147,5770,8081,5596,6187,8402
7968,6656,5918,8245,5916,6476,7134
7154,6545,5381,7983,6502,6056,7097
8146,6653,5821,7179,6821,6164,4515
8434,6775,5517,7897,7071,5886,7651
7453,6837,6010,7623,6825,6189,7140
7451,7171,6226,8594,5954,6849,7888
7617,6791,6059,7929,7824,6209,7340
5865,7292,5960,8359,6950,6232,6995
7665,6619,6157,7367,6470,6080,7380
7061,7166,5976,7185,6820,5766,6655
7994,6726,5870,7826,7296,6656,7303
7635,7338,5683,7958,6359,6579,6467
7612,6886,6364,7535,6413,6289,7277
7970,6377,6389,7239,5102,5958,7146
7907,6945,6345,7279,6477,5518,7087
6704,6810,6091,8075,6670,5873,7094
7259,7168,6443,8057,6894,6039,7007
8732,7003,6397,7238,5923,6525,6972
7820,6913,6230,8081,7573,6234,7284
7593,6901,5692,7625,5856,6785,6967
8587,7282,6425,8191,7366,6498,7167
8357,7282,6087,7962,5616,6766,8097
7703,6770,5337,7481,6697,6125,7240
8722,6933,6298,7644,5535,6464,6687
8042,6480,6309,7766,7139,6655,7519
7800,6290,5818,7351,5380,6352,7454
7449,7281,6322,8215,7304,6414,7369
7628,6547,6077,8050,8122,6101,6991
8429,7429,5960,7488,6547,6176,6924
6428,7319,5974,7883,5978,5987,6987
7581,6301,6131,7799,7530,6092,7064
8176,7024,6328,7628,6674,6771,6989
8151,6955,6325,8040,6363,6724,6426
8113,6575,6166,7524,6809,5950,7394
7063,7116,6063,7980,7509,5673,7686
7588,7102,6565,7644,7437,6124,7357
5922,7025,6250,7705,6338,6492,7046
7962,6729,6244,7837,3789,6248,7537
7546,5746,6070,7960,6161,6071,6649
7618,6149,5825,7605,6116,6441,6543
7594,6748,5697,6604,6694,6685,7241
7453,6314,5939,8131,7404,5642,7542
7752,6730,6184,7488,6804,6292,7354
7890,6998,6206,8269,6998,6964,7267
7862,6531,5591,7156,7123,6555,7009
7398,6349,6312,7472,6470,6305,8224
7659,7059,5989,8003,6538,5908,7941
7740,6375,6571,7940,6860,6215,7475
7651,6663,4281,7428,5177,6208,7253
7215,6884,6727,7151,6434,6311,7912
7763,6420,6055,7416,7206,6378,6974
7293,6917,6156,7852,5313,6863,6849
7054,6949,5831,8078,6883,6334,7073
7421,6964,5532,7776,7031,6408,7505
7585,7198,6215,7669,6706,6550,6874
7872,6543,6249,7678,6534,6598,6382
7582,7484,5938,7427,7455,6069,7559
7849,6811,6162,8172,7894,6256,6005
7039,7293,5303,8438,6991,6399,6709
7395,6619,6734,7730,6732,6412,7478
6981,6202,4989,7828,5735,6474,6983
7445,7237,6278,7700,8091,6336,7223
6669,6802,6426,8580,6631,6572,8034
7448,6938,5446,8239,6224,6073,7000
7556,6425,5708,7769,7533,6219,7202
7291,7178,6192,7739,6112,6441,6878
8203,6581,6013,7213,6742,6763,6914
8278,6859,6160,7462,7171,6530,7651
7320,6889,6160,8300,5715,5852,7195
7635,7311,5730,6864,6205,5989,7022
7324,6412,6262,7725,7190,6231,6941
6279,6760,5274,8171,6458,6089,6805
7837,6258,6223,8431,6882,6391,7414
7581,6450,5842,6961,6595,6183,7044
7571,7025,5891,7902,6040,6563,7763
6518,7153,6123,7824,6953,6085,6703
7573,6555,6617,7973,6446,6573,7135
7112,6445,5960,7730,7611,6516,7029
7320,6842,6707,7570,6558,6176,6945
6300,5352,5996,7902,7382,5870,6559
7516,6386,6551,7850,6175,6366,7098
