Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,t,vertical
Ironwood,Oakridge,Brookfield,Ashford
1882,1192,1523,2370
1782,916,1538,2346
1818,1023,1556,2900
1817,1091,1429,2501
1735,1142,1499,2438
1812,845,1527,2187
1852,1088,1599,2588
1723,963,1459,2565
1811,1037,1585,2159
1845,1238,1530,2408
1779,1159,1392,2511
1808,1046,1549,2281
1904,1066,1576,2592
1875,957,1514,2435
1957,1034,1452,2629
1919,1108,1647,2120
1930,1102,1644,2901
1843,1123,1601,2232
2040,1279,1356,2517
1713,1081,1486,2458
1579,1101,1492,1965
1702,982,1509,2295
1747,1035,1561,2523
1928,1215,1497,2456
1878,1230,1478,2241
1658,1140,1509,2636
1922,1211,1571,2653
1798,1031,1571,2586
1890,1251,1542,2493
1862,1121,1459,2513
1930,1179,1359,2112
1879,1279,1450,2500
1804,1083,1501,2474
1815,868,1539,2307
1879,1124,1496,2579
1767,1116,1536,2305
1793,1020,1634,2561
1771,1250,1480,2465
1661,908,1590,2616
1720,1010,1537,2409
1804,1239,1546,2472
1884,1212,1494,2406
1964,970,1513,2238
1873,1188,1518,2185
1915,1216,1654,2496
1819,948,1520,2367
1819,1085,1224,2363
1831,1116,1594,2411
1771,1011,1598,2396
1821,1074,1657,2347
1796,1245,1477,2686
1905,1344,1533,2739
1822,1088,1558,2723
1868,1134,1597,2260
1818,1201,1565,2479
1888,1107,1633,2325
1720,1125,1543,2608
1811,1310,1499,2443
1865,976,1435,2633
1787,1296,1437,2633
1849,1024,1459,2384
1862,1103,1502,2614
1765,967,1567,2512
1929,977,1434,2468
1847,1209,1496,2523
1770,1222,1465,2492
1886,806,1656,2572
1823,1127,1484,2467
1932,1016,1567,2249
1832,1040,1436,2592
1889,996,1521,2419
1948,1357,1455,2616
1773,1111,1544,2326
1989,1101,1589,2488
1815,1021,1391,2663
1976,929,1465,2433
1843,1038,1474,2609
1834,1067,1563,2102
1844,1003,1547,1961
1763,1183,1456,2230
1965,1039,1574,2252
1701,1093,1589,2582
1664,1057,1509,2954
1804,1040,1540,2369
1882,1186,1386,2311
1885,1265,1497,2412
1850,1220,1473,2429
1781,971,1473,2435
1842,1296,1487,3008
1865,1182,1482,2498
1825,893,1539,2338
1805,1117,1496,2001
1768,1261,1469,2495
1701,1145,1531,2574
1926,1021,1522,2572
1779,972,1498,2478
1807,1057,1447,2576
1917,1035,1574,2430
1616,958,1505,2404
1823,1224,1467,2436
1853,899,1498,2257
1862,1210,1509,2343
1961,1071,1536,2398
1899,1089,1429,2652
1859,1228,1433,2258
1814,1067,1551,2405
1927,1144,1463,2520
1693,1060,1453,2212
1837,949,1483,2332
1788,1290,1524,2296
1884,931,1596,2390
1969,923,1403,2364
1752,1094,1574,2726
1882,1063,1462,2119
1674,1108,1575,2496
1721,1009,1576,2687
1741,1084,1581,2780
1746,1043,1483,2330
