Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,skewed,vertical
Castio,Vido,Vizzle,Clipio,Tubeo,Videx,Showio
11686,14667,8211,12690,9192,24931,20543
10843,13381,10992,9927,8613,26790,27540
14295,14021,12558,7470,7722,23770,20777
15836,12631,18709,13887,10082,20138,22155
8869,12700,12230,28432,8556,19288,20466
15132,17766,12374,13719,9373,25225,21488
12811,10909,16422,8906,10558,21003,26555
11395,11689,10931,12728,7824,20349,23173
16696,13593,12732,8545,8679,21948,21527
17229,14592,10709,11726,9091,21656,29542
16285,14427,19610,16548,8809,17707,24234
10311,16264,18549,13260,9031,23366,26266
21505,13112,14251,12769,8219,18893,21869
8816,14912,16388,12585,11204,20826,21967
20679,13986,20213,15183,10143,18435,19913
7027,17696,12499,9576,9230,20897,19967
13328,13446,14702,10339,8611,24138,32664
19196,10819,16794,12988,8619,19847,24535
14572,15259,12230,12254,10223,18720,24927
9540,11363,12250,9003,9045,21214,30074
16280,13317,10462,9834,7708,20422,21019
18200,16381,28622,12810,9148,23834,22904
9346,12118,13554,11330,12364,22540,31089
8955,14228,17154,10385,9926,19438,20070
16088,11253,13484,17782,8566,20456,20457
12145,12120,16179,16513,9660,20844,25504
14004,13026,25333,9577,10682,19554,20985
11801,12590,25022,13938,9097,19171,29603
12126,11314,9914,7937,8051,24657,20250
7558,16283,10586,12533,13022,22935,24160
11765,15274,13518,10402,11851,20814,23929
15621,12040,19373,10945,12763,25751,26059
12028,10987,19173,22538,7459,20613,29201
15117,13025,14636,17510,7745,21208,24532
20757,10937,21117,17480,7763,22515,25081
17252,11720,11513,13653,7686,19179,25466
18422,11523,8166,12642,8985,23270,23151
9971,13720,25327,11640,10415,20391,20172
13480,14840,10516,8271,8092,20575,20541
7263,12225,17040,13524,7393,21793,22542
11025,14443,26773,17277,7947,22163,33734
9268,16917,12065,9035,8708,20349,22948
17441,13153,15794,16224,8244,24861,21963
10147,11977,16972,18274,9176,20547,25767
15356,11953,13927,23676,12860,18795,20028
17939,12372,9746,11014,8539,23836,32423
13707,16089,11212,11284,13025,26658,21246
17819,17773,10332,7726,11461,21614,20662
26182,10647,14732,12434,8812,19745,23300
16308,15715,9348,8767,11405,22083,28990
12294,10883,30164,9563,9121,17037,22316
11410,17310,14653,10954,7696,21313,24509
18424,16530,9430,9389,7870,24481,22362
8278,14843,15941,15802,10008,18186,22333
13384,11687,11544,9188,9702,26791,24720
19252,12821,11501,14328,9186,20164,23202
20422,16410,13113,10776,10174,26038,23501
11286,15372,12505,11812,8883,26576,21704
11548,14010,10676,10249,7739,20067,20319
14749,12225,21209,11231,8127,23080,25852
8320,12044,18712,12842,8745,19642,24676
11459,11059,13164,12256,8414,20555,25232
8741,15636,23863,10801,8960,17941,21803
12975,14333,25658,9052,11292,25681,21161
17000,14527,18492,18489,8094,24345,21895
11574,11799,13414,7404,9846,20246,23465
8810,12025,10589,12339,8089,20179,24068
7810,15744,18856,18429,10260,18090,29338
19188,13588,19449,12721,7263,22204,21358
16691,13028,8751,10080,9418,17927,22652
20218,13604,8561,9308,8637,22493,20434
20225,11996,21579,8844,8972,20857,20519
12126,12121,8743,10815,8830,19759,22181
8283,12655,17735,12568,10688,22515,29972
10164,11612,12500,7914,8052,21808,25019
18413,12600,10960,10875,11183,18475,20603
11010,14497,9421,24859,9529,21658,24535
16191,15697,14399,8526,7665,22329,21974
14538,11961,9371,13034,7842,25424,24901
13950,15350,18591,12525,8067,24870,20531
20346,13649,11134,11538,9076,20663,23595
18906,12021,9697,10456,9257,19723,26344
17854,14025,8678,14285,10299,19297,21192
8477,10976,24017,11530,8327,19775,20524
8245,12861,10440,11117,8277,24954,21685
16537,11763,13140,12003,9071,19380,20396
11620,16139,24949,17617,9684,20353,20278
17236,15107,21169,9219,10362,20436,20325
25600,12113,23221,9615,8053,17578,21121
12951,14548,14320,12127,11680,21211,26457
16624,15254,14212,18373,10438,20278,26825
10458,10510,13327,11204,9415,22863,23970
10116,11766,11861,10311,9128,18345,27991
14758,11434,13446,7070,10371,17835,22473
15746,14914,7401,20954,9864,21540,22098
13167,12595,27072,9904,12083,22205,20739
19872,12212,10310,12788,10842,19342,26620
15319,13774,14324,10855,9128,20345,23703
8474,11868,24492,18545,11313,19166,20103
15973,12936,9221,15514,8556,19591,25022
8364,12265,31950,10390,8642,24626,23808
8195,15347,10227,9468,8404,20973,24857
7824,11264,8462,23260,9018,19797,22205
10029,13321,12804,21086,8256,20427,20291
8139,11499,13116,18046,7842,19057,28561
7365,14212,9459,20277,8144,22076,26952
19605,11088,18180,15718,8104,25823,22611
14794,11133,15780,14332,8647,22114,22702
22348,13504,18881,12387,7933,17482,21397
7793,12881,28309,9698,10492,24181,22597
8072,15320,10093,17160,12100,20401,22462
11504,13164,29120,9858,9001,19922,21114
14957,13008,11753,14799,9289,22072,21085
23212,12838,9070,8193,7991,18985,24977
16616,15531,22265,19427,9763,19444,23989
11810,13322,12294,9025,7866,22720,27919
14231,11005,9905,23754,7966,20735,26432
12798,11123,19385,13109,8421,18000,23172
