Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t,vertical
Tobacco,Rye,Cocoa,Barley,Sorghum
7659,5454,6563,5694,4162
8380,4685,7985,4623,5693
8035,3694,7335,4620,5355
7653,4216,7869,5056,4625
7438,3515,8288,4667,4888
7833,4844,8491,4876,6684
7581,4514,8048,5171,4032
7740,5619,8714,3978,5623
7472,3924,7533,4877,5622
7583,5306,7846,4767,5128
7951,5107,8627,4893,6248
7723,4486,7697,4909,5903
7766,6012,8729,4025,5801
7774,4729,8428,4380,5828
7025,4238,6704,4424,5457
6940,4091,7402,5266,6244
8588,4885,7266,4589,5326
8006,4118,7840,3847,6285
7533,4654,7930,5425,6627
7711,2955,8422,4386,4960
7609,4983,8235,5221,4833
7500,4202,8123,4986,5983
8032,2853,7790,4705,5122
7551,5264,7640,4880,6417
7570,5513,7596,4544,6789
7972,4190,7542,4550,4769
8000,4580,7627,4604,4891
7878,5009,8319,4415,5117
7090,4862,8397,4494,5296
7904,4383,8136,4797,4940
7823,4855,7665,5231,6317
7992,6215,8097,4348,4755
8209,4650,7949,4575,4434
7566,3925,7724,4540,5850
7967,3758,7270,5479,5125
7392,4678,8247,4496,5943
7696,4302,6419,4772,5732
8065,4855,6790,5234,5184
8388,4739,7932,4654,4621
7848,3885,8124,4215,5800
7678,3836,8014,4828,6021
8076,3647,6947,4971,5542
7684,4994,7855,4751,5141
7792,4514,7652,5435,5012
7648,4318,7520,5009,5156
7583,4052,7614,4584,5262
6973,3358,8207,4688,5989
7807,3711,8105,4942,3109
8373,3911,7897,4985,4302
7978,4732,8462,5046,5172
7684,4006,7522,4829,5275
8113,3686,7540,4254,5447
7995,4469,7587,4535,5347
7900,4668,7747,4664,5705
8002,4093,8630,5220,5963
7824,4543,7993,4459,6196
7799,5972,7979,5487,5608
7450,5196,8408,5004,4875
7990,5615,7646,4795,7007
7757,2652,7274,5353,4380
7860,4803,8690,5792,5456
7298,4987,8306,4641,4699
7907,5269,7463,4701,4886
7343,5315,7626,4458,5400
7441,4135,8533,5052,4654
8393,4561,7558,4944,5696
7313,4192,8132,4347,5266
8761,4267,7543,5739,4683
7701,5249,8195,4947,5722
8110,4950,7643,5172,5472
8192,4784,7564,5950,4457
7657,4400,8325,4602,5554
7862,3705,7043,4571,4412
7597,5695,7860,5411,6052
7962,5060,7883,4726,6368
8149,3915,7506,5092,3896
8065,4465,7726,4782,4587
7359,4224,8374,4184,4824
7606,4421,7737,4690,4890
7643,4388,7585,4968,4184
7576,5775,7670,4872,4551
8161,4645,8371,4633,5750
7459,5266,7934,4197,6277
8597,4617,7773,4911,4716
7313,5073,7454,4894,5570
8162,3856,8115,3898,4470
8504,3497,7583,4534,5572
7693,5169,7590,4973,6955
7302,6381,7118,4489,4527
7863,4899,7433,4576,5295
8076,4567,7846,4981,3943
7797,5600,8254,4524,5332
8127,3609,8447,5088,4493
8515,4020,8352,4070,4785
7972,5406,7313,5142,4848
7903,4328,7709,4745,2676
7545,5213,7711,5306,5542
8351,4740,8032,4221,5435
7642,5985,7131,4701,3925
7900,4558,7990,4864,5368
7774,4769,7698,5043,5142
7903,4941,8073,4489,5969
8583,5022,7452,4412,4867
8072,3928,7163,4137,5976
8467,4181,8263,5152,5895
7775,4160,6238,4660,4803
7409,4091,8480,4596,5522
7984,5502,8312,4510,5596
7478,4451,7817,4606,4683
7992,5958,8186,4554,5030
8241,4085,8111,4342,5244
7748,5237,7430,4461,5404
7736,4438,8021,4358,5223
7872,4689,8315,5072,6197
8356,4651,7793,5441,5125
7986,3509,8158,4101,4863
6697,5181,7672,4386,5554
