Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,vertical
Elmhurst,Lakeview
57064,34672
60333,48054
62490,43526
46691,41304
62019,40729
43373,47125
68468,30693
59713,58029
57254,52265
45437,53924
61096,52318
66503,37890
54685,39114
68493,43428
35289,61756
52104,58468
61807,35534
58213,40404
53944,57900
62157,45305
59161,48505
69877,47004
59720,45539
53818,32820
54258,47868
72820,41929
51506,52463
64468,45001
61569,51751
69838,61874
53264,46316
40643,38954
50784,40500
43455,51682
48157,23798
57991,52674
47815,37818
54423,32529
56671,59727
51358,51059
66396,51899
59240,51035
60983,47350
43169,47374
45679,50973
76015,38284
57491,46507
61242,50192
44945,29527
71443,55499
59720,55681
72506,32234
72597,46828
58043,45584
56628,43802
48129,62389
45192,44645
71321,41927
70057,44836
58373,36041
51942,55824
70178,34519
71834,38449
68941,34138
68171,31087
76316,39155
58096,52187
64425,42933
65690,44800
77780,50170
59147,39711
70056,60659
62703,58051
72214,47925
55460,36969
43035,53776
59986,42915
59799,56484
55229,43345
61609,46729
51144,47663
56772,58122
55918,56890
61157,46415
73399,44106
66364,38274
53380,45352
41266,34768
65565,47361
72193,51855
52269,36521
45393,32939
73824,63897
38774,38905
75900,41840
51698,42360
50172,58641
64618,49250
52930,50870
59351,34201
68129,47159
59510,48834
58274,38747
63252,50095
66510,60069
35143,40580
63070,57783
68709,34106
70361,36292
70818,45559
59360,53538
54647,39264
63857,36932
67631,44179
51809,38218
70532,51574
66748,58881
69236,36641
