Energy and Utilities,Data on daily energy consumption accross cities,MWh,normal,vertical
Rosewood,Dunvale
3494,2523
2473,3146
1600,2362
2329,2193
2779,3073
3008,3272
2198,2589
2115,2314
2686,1768
2585,2309
2289,2189
2696,1588
2648,2033
1830,2998
1363,2100
2543,1543
1466,2638
3442,2773
2088,2778
1775,2630
2626,2158
3220,1518
2067,2695
1896,3279
1189,3207
2794,1986
1867,3318
2463,2582
3068,2769
2073,2322
2547,2642
2259,2107
2444,2670
2139,850
1268,2686
3254,2387
2794,3258
1692,1558
2971,2732
1768,1941
2419,3438
2293,3094
3288,2419
1789,2602
1975,2192
2710,2403
2406,3444
3171,2092
1546,2526
3041,2898
1417,2723
2326,2773
2141,2743
2725,1906
2222,2865
2200,1804
2296,2282
2458,2890
2132,2033
2634,2137
3065,2142
1812,2270
2605,3250
3129,2488
2357,2593
3259,3383
3023,3647
2968,2717
2520,2653
2660,3262
1686,2425
2090,2630
3317,2709
2674,2380
1025,1389
1840,2388
2535,2732
2527,2619
1723,3428
2389,2973
1933,2086
2729,2057
1579,3411
2511,2598
2394,2463
3001,1681
2576,1873
1505,2415
2703,2361
2171,3183
1765,3227
2169,2960
2559,3744
2094,2563
1973,2166
3447,2213
3112,2882
2575,3546
1755,2020
1461,1834
3255,1203
3486,3196
2168,2559
1925,2533
2763,3372
2352,2054
2250,2798
3048,3176
2458,2274
3078,1456
1117,3062
2202,2797
1999,3522
3086,2407
3105,1155
2544,3044
1526,2257
2587,3076
