Business and Finance,Data on the monthly revenue of different companies,USD,normal,vertical
BrightWave,PrimeVue,PeakPoint,NovaEdge
54014,53678,63213,21654
61694,47195,46769,53263
45599,75312,60858,29917
54007,49669,20443,46049
82154,64504,72937,50913
58622,37833,61443,51520
49702,41926,64824,26123
40199,45076,55707,22250
38842,101323,57735,55090
73639,61390,49100,59877
66204,55160,73069,36388
39105,49830,45876,67888
58266,44817,36080,38038
90511,79568,54498,55288
38918,48612,52277,42751
39282,94204,65270,31990
68114,39439,85395,38040
45174,51563,55818,34387
44248,48438,40889,58754
63875,69875,64816,38176
57967,58255,72330,48020
45157,69073,70430,39112
46044,52076,75404,20863
34556,61274,67947,52394
61377,41952,31773,53615
77418,37639,45977,50937
36140,59801,47516,2581
29373,46455,59517,48481
53392,25681,55889,33788
63448,52262,60981,29443
62902,89717,91140,58925
45838,59522,70119,24998
34104,40358,73182,9870
42585,37597,44919,37100
48865,81164,78816,39124
60349,49642,50263,49497
51476,58520,72527,30726
74040,73187,67567,28131
45725,50844,54265,30296
41662,35273,76837,37791
47327,60072,53174,33291
63812,57534,54148,31152
41635,21899,56470,70145
74298,60724,67768,56241
72303,31909,71221,51726
46377,89389,83282,91466
48575,71695,54866,59294
63005,60240,27188,9493
53609,55754,61934,29604
59869,22727,74242,61045
58664,69372,52540,20955
53087,47656,53199,55700
26958,90369,57544,28034
81776,50359,56901,54376
38987,37744,71436,55570
51908,85471,24512,41366
43190,28957,32055,64578
50521,45199,49447,41304
66324,67797,47290,38493
46309,35242,77959,39693
48554,64256,75676,41744
63641,63443,90714,41748
40169,80968,57369,43475
69835,58324,43473,37014
43137,81763,58506,64798
62336,58416,75367,42062
51082,82077,59754,30388
81175,64511,78230,61137
47007,84200,61565,59040
41559,68168,58684,62832
46214,42886,51693,38568
53471,58305,48824,47767
38537,45138,69855,9729
36544,51105,62179,23381
52452,68070,57017,50178
21435,79435,47049,44542
42096,54567,48721,27987
43051,68435,40303,44865
43547,69000,48270,51048
63364,61919,60561,29668
50091,94527,59499,28311
62009,63657,74557,20519
50534,52463,41355,24924
80736,71578,39282,57707
59756,56046,40700,23039
64762,30187,71449,63440
50410,37248,49146,34332
41505,50975,29715,51012
58296,48550,53524,30702
63505,88772,28887,56717
57987,73722,42280,33499
11058,69651,51605,42360
77631,81204,53882,18967
57130,44724,40785,44298
59093,64335,48107,42790
73884,68464,54465,42196
43052,50697,36367,77222
49933,32082,57507,20258
57885,45386,62905,75177
38384,75202,46333,74302
22467,70690,97888,51076
42869,39031,78223,51855
20227,65921,48362,45322
31778,50219,45981,64428
52501,43095,64518,35187
28995,41855,58573,26861
49121,75615,51424,28466
48052,15155,68501,33512
76925,62884,64934,30193
45819,78008,66723,25574
59722,46967,41558,59319
58436,90130,39746,70612
46499,57848,30713,33535
86341,32807,80317,67111
30267,79691,75867,38161
67071,45158,69084,46811
24589,40322,62993,42953
67144,33269,78583,20254
15560,61064,72148,45391
67256,34930,54055,55228
