Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,t,horizontal
Tiny House,Mobile Home,Triplex
586,542,826
525,690,420
733,181,462
511,505,287
431,461,318
587,344,333
431,551,620
294,689,415
599,521,656
940,517,426
460,824,628
560,552,452
492,652,388
736,384,553
568,764,700
503,458,709
436,460,281
600,551,537
437,710,459
635,389,537
568,501,213
386,718,282
504,447,421
745,517,475
668,468,389
493,690,499
458,660,578
907,727,648
447,368,614
401,695,484
409,420,646
932,675,872
218,518,434
309,485,555
777,600,367
801,519,399
815,714,662
561,508,447
610,765,508
845,443,579
729,424,535
697,264,421
373,519,712
678,816,218
725,390,549
727,561,284
502,517,837
377,520,949
748,674,292
376,512,916
555,50,296
840,445,681
424,350,636
588,424,167
730,475,567
365,619,817
634,420,729
667,253,512
679,853,569
362,322,327
555,570,194
537,612,498
381,376,505
812,550,586
342,363,442
689,516,245
918,517,494
377,610,538
529,406,223
432,505,440
589,472,480
665,515,538
756,635,477
783,462,423
405,650,534
639,639,452
745,498,996
482,474,513
553,476,333
367,449,756
488,778,574
399,624,490
569,587,381
561,672,496
319,500,401
807,613,653
653,476,442
706,474,285
428,378,588
315,363,801
734,557,228
619,446,518
418,302,529
679,440,597
833,531,343
543,408,529
846,791,813
217,641,610
600,568,405
379,526,276
418,346,425
717,577,652
522,781,585
386,515,335
532,482,504
562,411,585
253,636,451
761,507,451
903,579,304
412,563,434
394,557,383
514,753,718
569,599,762
848,833,248
600,287,548
710,567,527
