Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,normal,vertical
Highvale,Pinehaven
1033,582
648,633
980,1230
644,688
680,1038
687,327
922,717
719,1009
497,610
879,443
1153,1073
453,621
735,971
1106,613
1081,719
581,572
671,965
979,356
993,924
855,157
1029,814
733,234
912,885
881,277
714,438
818,761
986,720
688,1177
609,551
1229,245
1272,403
684,633
748,430
1074,720
443,531
716,358
815,700
363,415
1215,558
859,774
599,445
1138,1398
479,981
985,1171
741,826
1141,808
856,891
563,418
623,377
634,1060
821,493
935,326
414,1069
588,529
1115,807
852,1304
1012,254
693,968
864,453
994,668
1078,395
915,921
808,725
1082,1198
866,1104
1074,634
990,1109
660,606
990,890
972,656
1029,733
1283,755
1120,444
659,28
646,654
619,1066
674,565
953,572
619,1044
155,1065
533,434
685,588
909,354
995,1196
1034,560
849,885
972,1432
425,1081
866,892
417,304
1080,420
1203,638
1040,804
1166,876
729,1038
771,665
952,476
952,1384
1193,907
568,799
848,100
1184,364
742,935
1048,765
1076,1057
1139,941
875,1069
829,462
742,948
1072,569
495,915
1024,692
491,632
956,789
1131,1225
1060,28
