Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t
Flax,Sorghum,Hemp,Millet,Rubber,Tea
7116,5750,5462,5089,7443,6488
5693,5940,5544,6177,7001,6822
6177,6681,5366,4132,8119,7089
4018,6781,5862,5598,7576,6636
6453,6830,5196,5353,8722,6888
5482,5548,5362,6213,7055,6438
6011,5772,6160,3887,7676,6926
5992,5508,5670,4225,9784,6667
5427,5705,5814,6020,7557,6520
6590,3950,5184,4554,6941,5797
6408,5942,5274,6368,8210,7609
5980,5227,5521,4268,8130,6417
6088,5957,5582,5964,7269,5925
6390,5568,5399,5784,7550,6743
6867,6642,5466,6118,7765,6523
3695,5595,5181,4786,7758,7403
5749,6190,5462,5208,7254,6799
6422,6096,5338,5577,6446,6605
5244,6083,5533,5138,7240,6872
6478,5052,5708,5997,7274,4152
5987,6133,5251,5170,7009,5487
5796,5759,5541,3809,7688,6458
5089,3539,5485,4808,8616,6588
6073,4975,4571,5537,7746,6025
6027,6183,5286,4458,7649,5495
6525,4806,6035,3331,7264,7149
5276,6420,5486,5094,9154,6949
6326,5956,5527,6595,7141,6497
6321,5266,6202,5600,6608,6552
6052,5371,5755,5581,7897,6459
6972,6467,5475,6706,8041,7790
7100,4387,4827,4209,7143,5767
5656,5625,5041,6204,8125,5371
5689,5880,4875,5304,8048,6246
4828,4318,6518,3573,7073,6938
5359,7019,5360,5708,8170,5904
6154,5849,5423,4929,7335,6386
6100,5142,5708,4885,6782,5593
6268,5374,5554,3791,6893,7390
5626,5038,4991,4266,8179,6391
6818,6043,5938,4992,7919,7634
6317,5993,6052,5524,7729,6280
5537,6235,5415,5425,8115,5104
6101,3939,5338,5010,7424,7094
5487,5834,5607,4656,8067,7531
7493,5572,5929,5312,7855,5736
5377,6162,5326,5789,7907,5490
5453,4184,5454,5814,7307,7398
6005,6308,6006,4562,7673,6825
7112,4649,4580,4983,6626,5837
5670,4414,6085,5606,7363,7503
6205,6222,5219,6404,7774,7135
4996,5486,5724,4882,6522,5734
5385,5854,5886,6283,8254,7031
6160,5367,5160,5482,7654,7490
5982,5029,5425,4564,6802,7129
5729,5488,4812,6423,7571,6617
5997,5089,5680,5959,7568,7434
5797,4393,4979,5800,7902,6545
6035,5546,5697,4001,8040,6002
5869,6611,5636,4586,7484,6763
5910,5561,5396,5852,7240,6834
5613,5360,5153,5196,7489,6351
6733,5586,5221,6089,7434,6112
6203,5423,4961,5041,8171,6724
5822,5942,5470,5064,7601,6268
6289,6035,5060,6065,7871,6017
6944,6368,5239,4619,7573,6862
5196,5564,5886,5186,8439,6436
5248,5771,5399,4418,7606,5852
6127,5124,5711,5258,7716,7002
6095,5983,6226,5306,7242,7178
5437,4885,5685,5766,7338,6123
6861,5717,6340,5852,8370,6718
6562,5078,5502,4465,7271,6364
6103,6634,5348,3899,7934,6234
5530,3249,5428,4745,7331,5981
5428,1987,5909,5521,7837,6741
6179,5789,5672,5077,7825,6738
6868,5805,5120,5208,7569,5669
5987,4850,5604,6826,7584,6239
5751,3692,4762,5538,7829,6433
5822,6087,4910,5027,7102,5882
5028,5143,5666,6429,8066,6989
6305,4659,6250,6613,7890,6433
6626,5895,5695,4478,7529,6666
5522,5676,4566,5116,6457,6595
6489,5289,5364,6060,7546,5404
5886,5289,5291,4668,7442,6678
6282,5521,5669,5642,7799,7088
5322,5835,5515,5968,6029,5110
5754,5116,5243,6426,7995,6456
6693,6237,5310,5150,8011,7164
5882,6041,5131,4820,7727,6766
6398,5441,6076,4098,7782,6691
5776,5520,5028,4760,5863,5755
6080,4545,5047,6277,7396,7481
5503,5715,5491,5387,6864,6413
5842,5839,5429,5324,7125,7101
5579,5463,5247,5631,7186,6397
5697,4742,5791,5890,8988,6430
5861,5954,6125,5989,7760,5201
6707,5423,5305,5253,7685,6059
3934,5517,5203,4467,7499,6920
5715,6385,5932,4653,6927,6224
5079,5039,5623,5361,6968,7295
5902,5308,5490,4537,7559,6393
6298,5982,5225,4532,8285,6043
5908,5905,5413,6105,6636,5911
6156,6072,6263,4941,8021,6513
4908,4005,5482,5379,6853,6311
6287,6533,6083,3320,8040,7055
6469,5708,5202,3576,8094,6962
6407,6308,6091,6026,7855,6358
5539,5370,5409,5292,7610,6352
5457,5910,5545,5397,7614,7246
5748,5129,5301,4851,7413,6552
5978,5587,4943,6379,7216,7606
