Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Golden Dunes,Maple Arbor,Moon Cavern,Crystal Falls,Spring Spa,Rainbow Gorge
9293,8908,7561,10229,10179,7439
9388,11082,8843,6914,5649,15452
10117,5555,4846,7230,7437,4692
9444,11143,8080,12911,2729,10494
9643,4258,8057,8746,9481,5367
12909,7784,8093,3161,9214,12034
6686,6780,7727,8690,5429,10662
9209,7362,6808,8932,11983,9937
8385,4812,10609,9570,9644,4502
9498,2195,6482,8054,4979,5297
7781,11096,10318,14813,4771,11330
8486,8154,10048,9205,11503,7543
4797,7591,6621,7758,5842,11255
6772,13235,6511,11564,10683,4952
12138,6840,3339,8209,8420,10474
7600,3349,9332,8686,11189,11075
4249,7958,7787,13158,5798,8400
6293,6472,10173,11326,5624,11016
8021,7653,6964,10937,8265,7567
8313,2338,7310,7853,8899,7907
7530,975,3669,10070,6173,9436
8932,4119,2687,10391,10166,9451
9535,10961,6655,11652,4155,9288
14078,8372,13236,7628,7376,9574
10095,8406,9781,9062,8994,8208
13698,8427,12988,12219,4305,10756
8239,1354,8227,5824,8801,3208
8451,7713,7689,7742,10532,8221
4406,10313,10487,7476,10808,7432
12389,945,8243,8303,6588,8490
8441,3954,5251,11688,7696,9652
7141,7349,8134,11123,7791,8607
10478,1829,3892,2822,1458,7092
8541,4974,11285,7134,11626,13945
3126,7788,9951,10633,6048,10054
8229,2997,4386,8779,10528,3284
12524,7879,11502,7929,5333,8220
6081,14168,4379,7358,5832,7979
4381,8277,10747,11804,6597,14394
8568,8868,11068,8257,8177,10999
7754,5332,8224,7687,7309,12409
5998,6701,3935,7783,8854,8755
3606,11192,4473,4753,4765,7617
9984,7157,10453,6823,8812,13853
8931,10522,7972,8021,7153,7926
11017,9124,7242,7724,7716,5932
6496,6887,8964,6870,8072,10347
7101,14850,8298,8777,4639,8500
3866,7010,9208,8316,4749,9947
6916,7647,10263,6121,13036,9949
6230,10346,7379,7559,11723,8628
7136,8433,4772,5801,5531,8560
7209,11750,11694,4135,15238,10668
6454,7285,6071,5765,4580,8242
7345,7231,9119,6862,10950,8673
5454,4989,10932,4901,5925,9638
10526,7470,4582,10185,8809,8929
9228,9019,5628,4586,4887,9512
8484,1149,6530,12997,8361,9271
6972,8024,5666,2618,7381,10160
7307,7568,4480,10736,8200,8452
3946,9704,11810,5839,8910,9939
6956,4680,8726,12209,6230,10229
7460,6526,6766,10360,7068,7820
10351,4399,5818,11120,9030,5953
8420,6997,8021,11891,1741,10129
5404,10435,9897,6755,9213,5710
9419,8931,12656,12147,10216,7225
7453,6510,6812,8582,5485,10355
6537,6805,10512,10072,4657,12020
4316,11404,12240,11276,7683,7202
10257,10663,7045,6367,8898,10321
10142,7983,9646,5529,6100,12981
6479,4085,9850,9111,12169,8204
6328,7608,7020,13025,4496,6284
5032,1537,9365,6040,3810,8267
11302,10864,12024,6106,6091,5425
3586,7399,12155,11783,12195,9376
11039,6373,5775,7058,5870,8609
8588,5723,4471,8024,11054,11628
8391,5107,9977,8081,3993,12195
5389,15617,6867,7351,12475,7994
7461,6625,10077,8902,7836,9695
8019,5559,9508,13812,5999,10112
9550,7655,11148,5571,7165,8687
8137,9654,8961,8057,5550,15297
3626,9340,10889,7734,6276,6125
8449,11525,10548,6798,8457,6667
9323,5486,7701,13155,7171,11113
7758,7234,8450,10132,7871,6729
3189,4715,6261,4934,8410,6107
8433,5724,7607,8484,5926,9211
9151,905,10835,6966,3879,6752
7613,12915,6764,9717,12002,7304
6280,10950,6283,10056,13026,8136
5287,15793,8389,8923,4866,9163
10857,5919,11649,8055,2082,5828
12466,6756,7063,4887,8280,13448
3852,5989,6327,8125,6683,10894
7042,7960,11713,10079,5606,6861
9489,6266,7128,11302,8626,8764
7895,7607,10595,7399,6610,14136
5452,3701,7449,10498,9107,9269
3919,3978,8852,7761,6612,10277
7581,4600,5128,6200,11356,9010
13514,9794,8030,9946,9202,7861
4399,12427,10398,11999,4074,10757
1617,944,10975,11400,8304,8875
4715,6424,11457,9891,11958,8919
4682,5995,11903,6308,2957,7229
11612,10349,7190,6742,9148,7226
4310,12415,6635,10092,8118,6557
12793,6454,3264,8381,6554,3706
6732,12758,5691,6914,4885,7758
9390,7412,7432,14891,822,11550
7532,6667,11836,3065,1473,13000
7772,8852,9753,6960,10656,3229
