Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,normal
Soybeans,Sorghum,Rice,Potatoes,Barley
4010,5747,3756,4187,2959
3626,6588,5108,4035,4529
4219,5916,4534,3253,2742
6303,2459,5777,2393,4917
6174,5958,2397,5008,4102
5204,3721,5495,9055,4342
4694,4671,7521,6761,5245
4778,5388,7015,3618,2831
5199,6045,2664,5598,2471
4582,5768,7230,8373,4825
3666,6101,4636,8127,4449
2502,5106,5091,3015,5333
3088,7096,5895,5367,7027
5431,4731,6860,4654,5757
4580,4006,6528,5546,5633
1715,4433,5889,3567,2989
3900,4870,3953,7659,2647
3449,6681,8146,6306,4921
5422,6106,6366,5962,3040
5372,6481,5754,1247,5126
6450,7098,7666,6088,2455
4070,6535,4844,5336,4535
3044,4970,7074,5689,3504
3439,5720,6726,4833,5071
4418,5343,7494,3377,2858
3949,6181,7177,8174,6861
4497,6596,7634,3935,6072
2073,4707,3777,2834,908
5488,5239,5867,5583,3609
2586,6232,7547,4097,4362
2563,6318,6129,2749,6253
4343,4732,2857,2999,1813
3888,4673,7120,5445,5081
3538,4521,7200,7781,4855
6132,4465,6745,656,3256
4469,2910,5830,3870,4216
5352,5815,6532,6231,2981
4592,6549,5772,1276,4784
6239,4778,7345,6896,4835
5074,5195,6473,5021,5255
4816,4366,3918,5817,3873
4538,6540,4569,4959,6154
5416,7954,6707,2982,6596
6611,3776,5735,6120,5135
5101,3932,6122,2301,3201
4784,5918,4241,6776,5151
5917,5994,5239,5585,5544
3771,7326,3177,6778,5740
3882,4554,4890,6182,5910
6266,6825,6802,5041,4223
3465,5019,7484,3178,6884
4046,6930,2956,6681,6984
2359,5164,4371,5165,6022
3684,5631,3920,8073,5207
5817,6113,5691,5330,2911
5398,5744,8064,3235,6673
4518,7384,3904,7948,5622
2816,4997,4952,7710,5647
5590,3355,4565,3156,5041
2970,6966,6739,4573,3449
5295,5171,7197,3789,2911
4771,6773,8659,6595,4345
5645,6365,7144,4220,3052
5539,5749,3902,3381,3377
3601,6071,8323,4838,3230
3269,8273,3103,5399,2603
5489,7511,5534,5543,4055
5800,4883,3233,7995,2589
4761,7443,2144,7433,3684
4547,6718,6912,3039,2572
3678,3462,5147,6312,550
4241,6395,4198,2658,4720
4427,4923,6568,3472,3153
6013,5738,5319,5307,4619
4273,4633,5446,5540,4842
5236,7065,2890,4192,4156
6699,5853,8006,3891,2387
3130,6763,5364,5251,4320
4258,5268,6643,3452,4033
5040,7432,5380,3828,5479
5372,5876,8258,3706,6173
5510,3851,7434,7552,4959
5468,5124,6470,3204,4950
3134,4876,2812,7105,3747
4207,5673,6257,5608,4919
4761,5301,6820,6186,5203
4750,5736,6892,4676,5964
4086,3929,4814,5645,3016
3896,6187,7020,5360,4377
5946,5310,6232,6853,3497
4513,2828,5924,2020,5220
3539,5201,5907,4105,1865
5720,4337,6135,6560,6270
5623,5130,5202,3092,4875
3125,4428,4669,7722,3360
5122,2201,6710,3258,5667
5025,5179,6625,6549,2959
3064,4963,6529,6300,6477
4093,6503,5346,3052,3746
5766,3549,7713,4416,3896
5021,6866,4103,5928,2653
6547,5759,4798,6616,3970
3677,6017,5721,5682,5861
4419,6002,3154,3879,4568
5204,6988,911,5075,5562
3564,6560,6431,5287,5678
6477,5811,5783,5596,4462
5441,3793,7700,6140,2003
5680,6465,8433,5385,4763
4432,4407,4324,4271,5960
5217,4165,6618,3034,2313
4442,7237,4840,2929,5194
4243,6295,8138,5532,3521
7085,4865,7110,5255,4705
5647,4390,5500,5363,4145
3522,5788,4861,5483,2741
4162,5788,5432,6065,5240
