Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,t,vertical
Lakeview,Highvale,Creston,Ironwood,Yorkton,Brookfield
1480,286,896,1493,765,791
1019,607,1489,166,680,1415
1071,997,1127,1068,1459,768
929,768,1107,1211,864,1215
1062,68,632,1204,1103,1019
890,958,1172,1235,465,1253
866,713,525,839,1490,1001
1002,831,860,1205,1114,467
1272,1063,1017,938,840,871
871,845,380,1429,1932,1577
441,975,1239,1176,1430,1212
932,1117,1185,736,1543,964
857,711,551,997,535,1091
864,1166,918,469,1168,915
664,667,1676,1001,1212,1363
583,38,810,950,1120,831
1420,554,1645,1280,753,790
914,548,1337,961,1282,1089
697,1069,908,193,1562,548
642,591,572,1510,1052,724
849,1336,1213,599,1623,1640
546,787,403,727,1166,723
1014,508,1099,1230,1735,993
1832,829,497,1047,745,1252
1153,836,936,353,1479,673
1379,877,402,877,1736,1318
1192,385,118,735,1368,1204
1169,933,1359,908,1225,1001
1092,721,1498,1100,1241,1001
1067,400,770,1025,1243,860
1574,210,1313,943,1257,781
1531,398,679,779,679,1226
1132,650,1033,640,1068,1206
621,1111,920,226,1122,920
933,887,962,959,979,875
679,1306,1010,1636,1201,554
245,387,1317,1189,1864,760
254,1394,1098,1128,1728,822
853,1036,995,648,1225,1208
1311,807,348,1244,1631,1454
785,681,1268,1027,1062,511
1327,296,1205,525,1162,814
1453,983,602,967,1591,629
1269,1231,10,1092,1550,982
1168,1029,791,798,836,1040
1074,880,882,1058,395,219
944,611,928,840,566,622
1065,485,914,650,950,539
1806,620,598,1176,1051,674
788,903,287,451,921,850
919,943,853,1126,1042,1244
499,916,704,806,983,1460
617,813,719,1060,1099,1018
846,710,714,1263,1102,637
874,874,740,656,1391,990
948,724,877,1005,1489,1122
1190,872,921,771,1217,1204
259,1238,1159,524,918,767
921,1345,1291,1703,1309,364
1190,1574,771,638,1395,1056
417,976,733,867,964,1099
587,819,794,1037,1161,844
655,756,850,2193,961,959
751,679,1191,578,594,1467
770,546,649,471,990,958
654,668,937,712,1298,457
800,700,461,489,1109,830
730,1281,2,624,1307,835
1418,781,868,1831,1644,716
799,264,1006,1050,1072,786
1274,1356,661,455,950,1119
687,873,1456,1213,1232,803
1590,320,849,948,1296,960
1100,0,616,838,1182,1258
731,1531,1026,165,372,566
764,1180,959,1501,1604,732
973,766,1361,625,981,1047
779,500,479,460,705,1176
978,731,1440,338,889,1027
1274,1432,1693,526,413,715
624,970,963,1170,1954,622
809,891,1094,1157,1069,847
1105,540,760,648,584,1368
1162,922,1288,904,1343,753
772,713,1177,922,1201,181
1005,256,929,951,1271,977
145,581,801,446,1580,792
1091,965,720,1018,1126,1220
871,992,1126,1393,973,897
1218,647,734,783,862,584
740,1208,1481,1008,568,540
999,863,1049,1269,1179,1411
1494,960,1117,1181,1301,574
1205,564,1689,902,901,1340
813,575,673,749,1155,1197
995,1139,966,893,1025,656
972,1276,308,752,1011,1188
935,1348,1168,470,1056,1141
685,560,1052,736,1176,435
1148,931,1067,703,1153,807
542,658,1263,1028,1244,1191
1345,782,895,1047,1033,685
1357,1115,881,732,1123,769
1078,1035,1094,703,1356,570
795,662,775,616,1288,777
1163,1245,150,1298,840,1426
1099,847,1149,1230,1219,1495
760,1094,1521,615,978,192
491,487,1637,1066,816,1319
1206,870,816,859,1472,962
