Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,normal
Barley,Rice,Tobacco,Corn,Wheat,Tea
7058,3282,4331,3639,4763,4513
6090,5431,6379,4396,6267,5079
6391,7378,3069,4060,5251,4356
6232,3644,7645,5071,3881,5717
8849,8309,3248,5237,6044,4598
8678,4649,4977,5952,4233,5325
7485,4297,4550,4201,3769,4065
8680,7578,2123,4208,6232,5405
6344,6197,3734,5102,6047,5948
7117,3294,6105,4476,3629,5025
7305,2306,5931,5256,5393,3976
8829,7769,7350,5210,5152,4156
8644,4424,4400,6757,6026,4329
8551,7256,4071,5649,3700,2727
8300,6648,3393,5325,7183,4590
6360,6991,7777,6277,5956,4145
8727,5127,4666,5051,4185,4575
6036,5413,5409,4767,7482,3969
9273,6277,4727,3729,5541,5752
6352,4387,2786,3990,3980,4220
7689,2975,4798,4290,6145,3843
9194,3801,3098,3764,6477,4180
7973,7384,7439,4623,6674,3553
7564,5860,5161,4660,6738,2130
7668,7475,4414,6233,5769,4629
7209,5093,3423,4606,5536,4982
9432,3687,3949,3749,3881,4504
6037,5269,3162,5913,5314,4684
5893,4483,6080,5389,4768,2682
9120,5770,3904,5123,6034,4468
7743,3621,5109,5645,5132,4743
8245,4976,5337,3538,5162,4254
6979,7531,2912,4537,5627,5496
7932,6212,1991,4181,5154,2481
8344,2363,6891,4962,7006,4981
6302,5852,4947,5998,6932,4634
5893,2604,5130,5025,7442,3835
8288,6266,3256,3759,6077,4603
9597,5835,3866,5159,4964,5130
8523,8049,6474,4252,4904,4972
8123,6424,6311,6298,5353,5409
8673,4014,6549,3828,6828,5433
5095,1764,6039,6019,7463,4206
5568,5132,6618,4831,5195,3679
6662,4875,4628,5301,6961,3029
9243,3259,4025,4907,5294,5526
7085,7671,2696,4810,5112,5765
9455,8584,6787,4831,4174,4019
9162,4431,6771,4304,5059,4773
8114,3174,4591,5180,5691,3724
9000,5444,5001,5454,2638,5251
8456,7041,6047,3825,5429,4886
8345,5759,4136,2774,3651,4198
7018,5613,4235,4457,6202,4136
7485,7698,5846,4572,3333,3062
7964,4397,5831,4831,2935,4858
6176,6184,7477,3450,6800,4786
7013,2473,6001,4398,7652,5124
6498,6319,4264,5955,5593,4530
7500,7944,4554,4482,2682,4280
7910,5597,4084,4471,6583,3172
7562,3914,6799,5883,7565,4422
7924,4875,1538,3957,3942,3806
8424,5092,6168,5785,3905,4341
7840,6845,4110,6070,4857,4702
9202,4056,3393,5006,6621,3831
5831,1203,6669,5963,5232,3375
7706,6020,6327,3776,4898,4237
7576,3774,5011,4691,5378,4377
8064,5992,5187,3752,5597,5363
5216,3677,5049,4339,6401,5819
6806,2835,6707,6040,5764,3267
6601,6646,3265,5529,6577,4740
6331,4474,5878,5483,5749,4321
8611,6265,2200,3676,5922,5134
9547,3208,5299,4245,5461,4518
7519,5387,3200,5213,5940,3770
8022,6888,4206,5160,4414,4502
7493,2640,2829,4266,6103,4711
6499,7413,4345,4404,3241,4094
7953,423,5803,3955,5776,6380
6298,6272,5032,5399,3807,5817
6530,1522,7185,3410,7774,4866
8276,6569,5610,5307,3056,5021
6470,6182,4914,4025,3995,5899
8484,5769,4573,4710,254,6454
7513,5647,4351,4942,4330,4375
7279,3286,4168,3543,4128,5071
8153,8860,4114,3684,4944,4067
6949,4371,3443,5209,3542,4893
7741,4404,4186,2391,7750,6367
7339,4080,3604,4171,5506,4694
8529,5155,3768,3781,7161,6028
8081,5790,4032,3160,6649,4070
8065,6536,4826,3477,3168,4593
6989,6155,4336,6847,7152,5490
7304,5291,4806,5079,5912,6779
7484,7815,3940,6053,6728,5990
8691,7453,5345,3623,8299,4503
7831,5896,5178,2904,3470,3729
7095,6691,3897,5666,6346,4683
8278,5438,6588,4260,2348,6847
7196,4966,4848,3830,6145,4438
7086,4158,2697,2803,3677,5463
7686,7603,4606,3310,4420,6304
8659,3162,6339,6592,5045,3300
5775,4292,3454,4343,6908,3448
8643,5408,5987,3550,3650,2667
8239,7821,7766,4113,5086,3737
7137,6739,3528,4064,3253,5964
6439,5347,4676,4302,4422,3294
6602,6961,2860,5068,6884,6246
8840,5919,4333,3811,8527,4355
9199,5463,4305,3126,5976,4985
8398,2980,3298,3764,4208,3728
7819,3369,6894,3692,6974,6091
8723,5312,5145,3963,4663,4955
8118,6471,6399,4227,4435,5083
