Education and Academics,Data on employment rates in different schools,%,normal,vertical
Hillcrest High,Redwood Prep,Eastwood Prep,Sunnyvale Prep,Riverdale High
88.57,78.12,89.89,99.31,88.51
86.11,99.37,89.71,90.17,87.32
97.67,86.9,90.78,91.96,91.31
83.22,83.54,89.15,98.77,89.41
82.48,91.17,90.25,90.67,89.64
86.56,83.64,84.62,84.92,94.28
83.38,77.9,90.09,90.65,92.96
83.08,86.38,88.94,89.7,85.87
84.32,89.25,94.1,87.56,89.14
87.32,87.67,92.03,86.28,83.42
82.84,74.25,96.55,85.62,87.68
89.65,81.44,94.89,88.42,90.29
83.12,81.28,92.63,80.68,89.0
91.39,90.84,87.58,90.24,83.26
81.36,82.75,95.06,94.08,91.74
85.64,97.04,89.74,86.38,84.44
84.83,83.02,97.78,89.16,87.87
84.31,89.22,92.11,95.54,89.71
79.1,83.16,85.79,88.96,92.84
80.28,79.44,88.9,85.26,91.42
91.56,84.78,90.54,95.76,93.78
91.96,91.27,88.3,90.03,86.73
86.66,93.71,94.1,81.94,91.68
81.21,91.82,89.67,86.86,90.53
91.02,77.31,90.06,95.27,85.74
84.0,90.5,88.53,102.16,89.97
86.06,85.63,83.89,86.84,88.53
84.02,91.34,81.55,87.33,88.24
83.99,78.84,93.14,91.18,87.72
76.57,77.56,88.04,86.25,91.69
86.87,83.77,88.3,96.44,91.0
86.69,90.18,89.91,80.31,86.52
81.3,88.28,89.38,88.3,88.23
91.39,91.81,84.95,89.92,86.83
91.15,90.41,95.27,84.93,88.95
83.04,96.41,89.69,90.03,83.37
89.06,79.37,84.52,89.62,81.5
89.55,88.27,85.33,91.95,89.12
74.21,84.44,97.63,93.01,91.41
84.09,80.8,89.37,87.53,87.67
81.5,91.72,90.1,86.23,87.3
93.61,97.21,88.69,85.56,95.66
84.68,88.23,88.95,91.05,94.07
95.25,85.81,92.03,94.0,93.11
88.37,94.8,93.08,91.96,87.92
88.24,87.37,91.47,97.0,91.57
91.3,95.45,92.4,86.53,90.98
88.97,85.28,89.16,89.34,91.25
78.02,84.61,84.02,86.26,90.36
93.37,88.5,90.39,84.71,87.9
89.8,86.08,87.59,95.3,93.09
81.19,94.77,88.67,82.52,88.16
84.26,77.15,89.06,88.88,85.34
83.76,84.02,90.48,84.43,89.0
83.41,86.72,91.57,99.5,87.2
90.89,81.57,87.85,96.23,87.88
87.83,80.15,95.91,92.5,88.62
90.33,79.96,84.09,97.65,86.84
79.86,81.53,94.92,89.79,95.25
81.56,89.65,89.19,88.88,88.63
87.62,75.44,83.67,84.49,88.18
83.54,92.64,83.63,89.16,90.41
85.83,82.85,92.04,93.21,91.55
88.0,74.0,86.49,87.92,92.18
82.01,95.15,85.79,86.02,92.28
84.39,91.99,81.55,97.23,91.42
86.57,83.25,84.82,91.48,88.08
86.57,94.93,85.55,88.71,84.61
86.47,82.75,87.82,80.07,87.78
91.57,86.8,87.41,87.52,85.92
78.3,82.55,87.77,93.51,86.96
91.63,93.13,86.63,89.51,90.23
87.36,91.88,90.4,89.43,90.17
86.48,89.11,83.91,84.5,85.91
89.15,85.61,85.58,90.11,92.35
97.05,85.96,83.74,88.02,91.41
85.73,82.12,86.44,84.02,87.91
84.45,90.7,82.31,84.54,91.44
81.45,89.72,90.89,96.67,87.07
86.93,87.34,93.28,89.76,87.3
85.74,77.68,90.2,92.31,89.83
84.84,79.51,88.89,88.41,92.44
93.94,86.59,87.84,84.35,92.42
79.26,95.35,80.91,88.08,86.86
84.04,83.13,80.23,92.92,89.9
90.96,85.37,83.76,88.24,85.22
88.6,85.28,88.21,88.47,88.18
85.73,70.25,91.86,91.96,89.37
89.66,83.31,78.26,87.29,84.19
85.03,78.73,93.02,88.72,82.18
82.64,75.37,93.36,92.87,96.5
94.21,85.27,88.63,87.46,85.48
87.01,87.97,88.67,94.59,89.13
93.97,72.26,95.49,95.55,93.16
87.91,90.09,87.12,93.69,90.7
88.59,92.58,91.36,100.71,87.73
90.53,82.0,88.58,84.42,92.03
90.8,90.22,86.19,88.77,87.24
79.99,86.08,90.77,84.52,86.13
76.26,83.91,88.17,90.23,91.64
84.7,88.58,97.5,86.27,88.24
79.74,86.21,82.86,93.51,87.27
83.6,91.81,86.22,97.53,93.7
87.99,77.07,85.33,88.63,83.75
85.7,88.56,90.88,93.64,87.43
87.66,86.15,79.83,92.68,88.15
84.09,88.44,87.89,83.63,89.78
98.73,86.75,89.49,92.07,94.89
82.06,81.76,88.16,94.86,85.46
84.14,93.01,89.73,94.23,89.01
82.09,87.1,97.33,85.25,92.8
81.09,84.62,88.12,94.47,82.64
83.54,82.6,88.68,94.99,88.24
78.8,79.04,91.85,83.29,90.04
84.89,99.26,91.31,84.61,86.9
93.83,84.78,80.22,94.34,90.78
100.68,71.03,97.5,88.74,89.72
87.0,96.21,88.25,94.81,89.36
89.49,89.71,87.65,94.85,90.05
77.55,84.36,86.11,81.39,80.47
