Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,t,vertical
Loft,Co-op,Farmhouse,Mansion,Triplex,Mountain Cabin
512,695,405,319,390,544
504,242,422,566,747,658
577,564,364,529,483,434
532,574,280,382,417,491
140,579,260,630,267,747
627,600,633,682,554,681
683,353,359,703,538,503
411,289,485,416,131,466
476,230,259,881,438,454
526,509,363,593,298,660
854,518,612,354,561,604
667,569,403,690,688,705
662,400,679,811,484,650
713,633,407,425,579,562
900,717,700,249,719,518
467,289,576,343,485,674
595,684,871,413,364,611
879,524,171,488,505,844
138,232,310,477,576,821
513,473,468,518,442,453
443,312,171,522,273,700
502,504,545,487,437,478
434,426,566,643,301,686
588,613,372,676,558,284
572,515,764,467,559,331
516,549,741,251,207,771
486,528,283,370,633,374
365,483,580,609,414,480
599,669,707,318,504,501
470,247,397,469,607,659
656,397,347,492,512,507
587,473,497,495,524,667
546,551,281,640,476,462
550,401,467,405,441,581
370,539,501,599,611,406
125,620,466,281,316,810
631,553,593,338,495,750
471,534,345,378,426,831
450,645,683,501,328,708
885,277,535,417,557,805
575,366,806,567,404,501
531,523,622,629,151,405
392,900,589,510,490,716
466,568,491,516,638,632
700,368,251,394,431,657
782,770,485,455,424,614
669,442,293,741,663,207
273,937,758,606,542,501
702,636,151,629,744,410
488,523,661,511,270,484
628,572,428,810,360,505
265,235,697,608,537,841
497,631,176,591,516,499
465,610,666,392,483,591
339,693,524,883,436,656
697,377,548,591,546,627
486,333,542,387,711,494
422,715,575,620,194,777
273,373,698,581,463,711
733,285,461,488,511,625
400,490,626,605,572,523
517,530,460,674,257,624
475,215,632,507,473,482
575,516,670,599,600,513
525,475,379,595,500,556
906,540,533,523,412,397
953,355,519,433,439,828
343,598,903,468,550,789
520,667,323,723,612,401
587,615,529,136,324,425
654,545,463,412,596,493
476,655,437,407,655,503
866,596,643,651,520,498
532,600,504,466,465,543
644,810,689,246,332,301
601,416,428,773,730,696
723,368,654,511,716,604
723,448,483,645,533,714
308,473,544,294,259,607
751,524,738,521,645,619
958,455,246,370,738,689
316,554,610,307,494,754
197,319,305,268,564,745
142,360,826,530,498,441
804,638,525,597,199,168
840,639,493,674,595,647
523,467,740,966,500,535
406,548,697,389,356,358
737,684,203,561,605,524
702,784,60,425,481,783
789,952,403,519,548,618
378,724,262,523,545,353
314,541,658,561,672,605
464,493,388,565,379,577
403,521,545,624,482,682
135,462,811,466,399,796
230,629,322,420,445,533
473,584,436,458,451,645
494,469,427,268,389,701
501,518,368,572,395,520
705,560,671,592,558,743
783,600,470,342,485,538
719,328,334,782,373,767
574,759,292,577,450,464
544,711,450,780,484,547
486,356,506,447,156,652
85,549,486,757,576,834
708,487,588,535,331,595
500,740,693,722,333,414
774,644,471,440,507,483
685,537,515,251,284,622
610,690,637,799,548,550
610,651,626,397,477,654
642,324,836,425,463,520
234,513,924,298,381,794
