Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Casual Dining,Coffee Shops,Mexican Restaurants,Ice Cream Parlors,Food Courts,Buffet Restaurants
363,399,406,653,782,273
839,802,157,1249,447,354
177,360,407,401,646,1038
1237,1062,656,764,1485,893
236,2076,542,751,734,1452
512,721,1040,652,843,549
1199,1276,764,665,468,609
514,1155,902,1211,284,982
479,786,906,1445,1125,207
1085,586,702,612,488,698
666,800,524,356,288,704
456,1500,484,653,502,520
333,773,545,601,548,414
738,1034,230,413,385,272
496,660,1011,775,211,664
495,552,804,667,542,546
658,689,555,877,595,591
153,1328,495,446,641,964
156,526,1073,282,425,421
205,802,537,657,403,190
806,379,517,1159,335,390
276,805,1669,520,349,477
276,1293,617,767,395,906
780,1306,331,1082,359,578
125,405,472,907,175,415
426,890,763,1291,182,655
706,1362,691,577,777,361
174,647,743,894,739,581
551,746,583,688,632,444
133,1325,387,874,530,610
808,1336,582,786,575,404
366,1153,738,550,323,892
1156,1180,691,485,489,344
1266,1166,1656,1079,662,254
601,632,1146,168,767,548
253,516,882,845,367,454
270,587,676,881,822,229
1027,1506,1116,438,348,415
521,1283,291,935,504,834
348,1204,519,665,1435,775
1042,573,487,1165,709,926
174,729,341,578,673,1351
443,603,449,381,476,554
322,374,290,223,539,340
279,897,233,1359,298,464
806,754,358,837,503,1117
618,405,641,483,677,603
333,1014,324,1000,628,416
181,838,325,661,542,371
803,596,442,1065,840,329
339,356,603,593,616,582
1016,551,407,713,515,296
562,720,1679,359,804,873
292,1236,481,589,654,469
487,991,344,685,503,612
664,524,179,535,330,443
749,1250,675,1419,222,1057
165,876,245,434,614,727
195,831,296,501,694,985
549,913,733,844,692,573
683,1430,1152,673,541,483
285,1056,192,532,262,740
546,1175,203,1167,345,599
331,737,668,903,886,586
117,438,1198,864,256,641
859,1149,385,247,1195,587
991,904,942,1364,567,1164
542,856,298,276,330,356
752,494,1038,1193,634,639
504,835,1313,464,519,671
162,703,213,670,513,759
245,1012,342,1094,457,597
495,416,470,480,335,663
413,961,1416,1019,1031,850
697,1092,354,1055,597,285
411,510,1125,217,498,684
248,1940,249,599,151,1080
730,481,585,919,557,136
543,1671,1177,553,196,772
208,925,230,337,287,564
604,474,728,572,899,1166
543,1072,1007,1503,196,641
359,590,456,683,234,530
184,765,908,384,501,462
221,1203,755,216,570,1126
113,1136,1055,1389,178,405
380,478,716,189,732,1001
257,593,602,956,854,515
443,827,216,1042,442,952
938,665,453,1730,225,550
571,964,594,1500,351,249
587,850,181,1762,513,589
314,740,578,1088,462,497
441,1406,358,631,465,360
826,269,388,917,430,511
485,1418,450,747,562,526
323,483,732,1708,588,941
290,867,576,756,544,1573
674,931,905,1049,464,272
321,823,534,518,217,828
631,901,896,490,709,1406
297,302,705,839,815,870
541,1184,566,420,356,1776
360,776,256,908,591,556
351,484,460,258,411,958
221,2187,1106,660,254,685
1140,758,578,1066,1071,451
706,558,276,836,876,289
586,628,291,737,328,1134
286,750,584,775,1099,548
549,776,806,698,418,1135
390,549,338,576,474,462
259,558,262,503,745,1230
494,284,1439,979,466,259
583,1297,180,785,895,822
356,965,217,943,685,638
385,1403,482,475,484,402
315,985,628,636,339,423
