Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,skewed,vertical
Duplex,Studio,Penthouse,Mobile Home,Co-op
746,670,512,644,605
437,392,996,597,440
405,1092,404,702,540
348,525,668,552,509
1075,481,784,665,834
1195,390,548,977,698
828,589,1106,637,943
505,902,812,703,362
814,610,697,618,434
537,463,795,1019,667
666,701,757,635,516
1232,571,612,488,520
878,630,987,1152,396
867,354,1337,1034,635
620,917,912,602,566
733,689,987,764,829
438,686,550,589,410
556,463,457,1296,507
1033,386,492,670,618
511,894,723,894,369
421,700,819,375,324
435,561,752,480,675
457,340,1016,366,580
555,317,432,431,396
462,1111,1207,396,752
829,447,410,411,382
309,390,1082,614,376
987,416,1184,494,440
959,476,754,736,583
443,392,422,518,639
440,503,613,578,393
549,1245,490,444,534
857,653,675,697,1099
452,491,580,340,1149
840,750,1137,646,790
1002,517,705,369,624
329,496,326,429,334
433,880,345,375,467
689,775,351,924,777
744,518,833,951,769
568,434,1461,972,747
396,463,637,983,705
507,733,374,422,799
655,362,439,680,611
769,915,763,518,406
512,626,592,460,875
521,403,604,416,521
466,817,986,618,482
485,393,643,529,896
1567,618,604,1167,475
847,711,1032,845,695
352,571,349,1361,787
700,625,527,427,510
301,707,1018,596,1135
372,607,570,831,1141
366,1158,495,699,377
779,715,956,568,883
381,571,647,729,1017
1162,775,754,721,419
317,371,1328,645,512
692,557,744,582,584
750,545,975,481,1052
572,607,543,838,652
738,502,601,425,846
1367,720,1217,777,476
373,858,637,698,512
371,655,732,665,290
1232,483,528,383,927
435,701,1107,1203,567
429,689,466,469,916
449,890,333,470,321
679,512,355,699,546
1155,396,371,1302,594
476,356,729,491,494
642,785,411,499,615
362,777,603,621,503
458,535,754,1062,567
357,754,606,421,540
1197,595,334,570,461
495,416,807,553,494
924,538,360,763,451
932,558,933,928,642
420,486,371,490,831
682,649,694,516,298
487,511,434,802,378
818,384,425,667,763
499,524,806,382,501
598,849,406,740,726
372,463,524,694,473
1075,430,770,660,511
697,737,688,478,514
351,427,854,436,537
877,387,487,338,326
1235,566,831,947,895
429,478,418,740,891
1025,730,1131,1301,400
407,592,514,771,797
440,586,605,1083,347
929,596,699,461,917
901,367,790,640,339
583,309,540,839,417
751,404,479,950,869
826,400,919,597,753
476,804,896,402,766
506,747,355,563,541
709,729,1378,826,968
687,508,1267,1253,674
503,643,651,498,539
475,868,940,518,789
483,537,976,756,447
695,1541,604,706,1286
748,1221,477,1334,370
512,686,508,772,320
783,552,328,438,532
516,638,891,707,822
532,757,1288,842,478
738,454,733,902,487
836,328,1108,639,468
