Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Ashford,Quarryville,Glenhaven,Mapleton,Elmhurst,Zephyr
79479,53343,36612,64831,82936,36283
88462,35709,59817,63554,36064,31726
51311,63807,46402,63589,85872,26957
28951,40259,59188,117082,39048,79405
50470,40445,41205,53745,41872,51839
28331,52331,56079,53809,61713,47534
67819,67219,20866,50380,36848,82936
91764,35835,20674,69826,54966,61631
47639,55799,45409,42269,45970,94415
29023,33240,38127,66271,51186,53568
54067,41192,46409,68524,47203,106383
62078,43208,41862,60088,66289,31345
28720,47553,39487,72104,58873,47549
103250,69082,19304,110855,38827,37518
40393,28546,74206,74310,33020,57148
63159,89339,50044,104221,52450,50382
36866,20179,32640,55901,84436,57513
50649,84612,27378,96624,29573,53608
34761,36686,64703,70638,35041,41884
59999,81366,41395,84294,82969,40250
54101,32610,76971,84019,51288,43630
31069,90914,17415,65879,56024,46955
84982,37027,23774,98088,58352,68856
85060,82018,45349,91213,29937,49058
103206,32652,53303,70754,55524,36444
60934,46810,40898,37164,73713,58663
122509,25821,24576,50520,102685,43841
60617,49822,24241,31244,62348,34700
111105,51377,78895,46571,44306,65062
111122,26356,25374,47663,41181,55997
51134,59267,48897,50860,30684,75795
87367,46565,29368,57803,35499,84708
69395,42902,34823,77447,44000,60032
52167,69822,34851,95562,76212,66124
57952,38537,40708,64541,48228,25444
51192,89351,31940,54114,91188,36311
57181,70575,50164,51341,60929,40543
100340,38293,31337,69966,39420,35673
32674,44140,59968,55160,65311,28036
54499,91694,59751,42268,23534,38121
80790,63006,43696,47330,47468,33592
57913,83766,19195,74041,32986,58809
73975,62443,40136,49098,56475,83800
34540,33985,47122,73348,51935,85561
87131,83294,45031,42162,76097,36105
100102,40703,43815,146876,93031,40589
32579,43069,28010,87690,66663,38800
38848,30232,50950,85467,52409,71017
29578,30459,24204,62643,28160,56877
34163,52086,71120,70683,35547,51021
23980,39183,37488,62252,102193,34527
68919,36353,46599,165566,38331,38617
52183,33380,39861,145763,56538,50937
34209,34201,68706,85829,65373,60360
51870,33177,25927,85508,56057,93953
67171,29172,24414,64967,38208,62387
63357,45539,22272,60563,89898,59293
73036,72104,72377,70206,56474,42777
58633,52638,66732,56254,101483,31204
76827,32373,66565,55248,78205,23091
82461,52154,17801,98114,46737,33826
73385,46746,37006,61650,57935,51392
37759,42337,27855,94170,46702,27947
79166,29652,22099,78572,32902,29715
35085,49099,91415,91952,80622,32981
83070,54974,65148,55540,80148,73960
45174,37450,66051,83941,47862,37306
86301,97748,21919,61032,52482,48513
81072,64936,31163,57500,51302,34584
68571,46517,41660,106317,47283,55287
31489,48467,23599,77489,79657,38708
61893,47936,26794,59456,74810,32716
33635,61541,26956,116041,72505,55907
56353,46068,50300,65101,69644,45165
29965,44751,46966,49568,34282,28685
38518,75651,30578,98846,75912,47279
58488,57370,18211,104757,46122,71515
72942,70376,49591,116655,39261,43522
46724,82217,31058,88126,77787,36938
52719,46585,28702,69678,40939,40769
67676,60322,35306,114668,50054,67212
70161,24672,41393,80433,32700,65705
87662,30761,61611,43124,70309,79303
61138,37406,37431,83380,25149,38216
48382,82238,57261,51257,23943,69999
73274,26854,47059,53962,70572,41044
97657,58801,27477,104261,66835,39114
60362,58044,63708,110417,36137,42349
46532,51281,50499,69741,39837,71490
46362,25399,85219,74757,51722,41788
85807,21818,24160,48384,39295,36349
57235,50949,60463,36383,41275,56328
23332,44168,87732,63237,53070,61588
45140,33822,45415,46408,38067,29740
87879,69673,59556,95675,25068,36282
89604,17321,50870,156720,73161,28793
67633,63612,24727,62481,63477,93190
52718,46224,51936,107667,38120,65078
107753,38577,23755,52486,59124,52992
85925,41326,41926,141706,46099,87510
62174,31319,37436,67547,46027,26810
33603,56819,37478,86604,83804,85510
45832,104161,41076,72093,65291,24571
32791,43412,40322,73249,57111,46900
58575,42484,54978,54808,41503,48923
49281,37565,35854,43585,47255,45021
118250,37208,85533,63957,44262,105323
65963,43973,40885,42832,30726,31808
27094,33689,52921,90908,91680,69787
76155,33807,48698,52763,48547,70018
40695,29986,39432,64659,46336,63537
94931,53904,83198,55779,75263,32372
57480,49457,35611,59409,66894,65106
74203,28543,35520,69521,60740,54487
45814,32605,34558,96237,89860,35418
102538,47686,39645,63777,78888,43919
88763,76243,26713,42687,34817,30741
37562,39929,44467,72241,50031,78197
