Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,t,vertical
Flicksy,Vido,SceneX,PlayBit,Viewly,Zoomo,Glimpr
18550,8840,23148,21822,6676,28796,26497
17094,8295,30601,24130,4446,20697,27441
15912,9299,25135,19579,7249,30454,26777
13582,6661,31498,19289,4499,21982,29672
17629,8665,22479,21270,6622,29022,26204
17089,7748,27855,23717,3370,30918,30122
15003,4870,17040,21381,5502,26061,28856
17412,8289,28771,23584,4844,28789,26765
16437,10554,29769,24423,6259,20500,27959
14866,7712,21762,22944,8038,24731,26461
16399,8991,28023,23415,6992,31341,29487
17281,9197,25035,18392,8076,30688,26915
14710,8606,22034,19356,7473,25985,28681
17244,9450,34372,20519,6733,26887,26306
18193,7646,18992,21892,5403,29423,28857
18723,6759,19706,17487,8898,29064,25364
15503,9925,23094,12222,7078,28811,27710
15962,9166,20872,19852,4761,31188,28078
22569,7421,25003,22764,6791,25250,29434
23027,7373,18625,21584,6026,24751,24698
17736,8712,24379,23759,5598,28454,29552
17327,8605,25974,22926,3094,31019,27814
17571,8027,18922,20219,6576,32030,27666
19510,8108,19030,21300,6132,25518,29469
14918,9230,27019,20226,8185,27629,29195
17527,9024,21438,23054,6904,26217,25797
16020,8047,26663,21573,8022,32990,25442
15081,4071,24618,21993,5942,21627,25680
16891,6707,20583,18989,6364,27384,24316
13618,9269,23511,15713,4601,34176,26436
15778,8644,26089,18724,4556,26643,26121
20076,9014,22702,17010,8572,25809,28485
13800,6098,12320,23944,5659,29199,29153
18170,10098,22512,22190,7577,32116,25484
16037,6836,17575,22292,7454,28560,27133
18213,9895,26089,21666,7761,28860,27002
14595,7443,28017,22573,6796,28692,27235
18282,10634,17037,18065,6285,30391,28031
15331,7473,14791,21662,3872,24395,28436
12096,7822,20188,21743,6412,25136,26451
15561,8785,26168,18051,7872,25109,24549
22151,8819,25126,19409,7237,31241,27688
18391,11106,17516,20118,6016,28543,26795
10233,8992,22100,19129,5590,30838,25621
16912,6827,21328,21433,6339,26778,27951
15756,8102,20750,19177,6955,29334,26287
18339,8613,21890,22864,8315,30438,26859
20875,8526,19814,21856,6714,26943,25511
15026,9493,25232,24918,5373,23966,26593
14897,8237,23178,20496,8001,29003,26608
19656,7123,18308,20575,4731,25543,29659
19679,10012,15805,17949,7283,32441,27175
15807,7595,14965,20186,4611,28353,27151
16884,7812,20701,21275,6106,27041,25966
20451,8089,28929,23559,5618,26839,25253
19959,6342,19848,23183,4158,29190,26846
22930,8821,29762,20039,7762,27153,28105
19999,9322,22777,18830,7929,25138,28147
14408,5852,27698,23699,8121,23649,27912
17896,9060,17042,19492,6865,23258,26079
15538,10069,26890,22305,6394,29589,27596
17698,10809,25095,18538,6369,29540,26222
16051,6262,20035,18144,7361,24107,28564
18327,8733,21877,24146,7604,25405,29238
23786,3408,18839,29129,6202,27606,26924
22619,8756,27084,24493,6211,29628,26814
17266,8552,20900,23046,6787,29413,27004
23393,9478,33886,23254,7226,25326,26911
18524,8727,24455,17948,6756,27193,29743
20903,9209,28141,19557,4310,33112,27322
15086,10209,30637,21282,4941,30616,26262
14931,7365,9098,26466,5234,30535,24883
15262,8154,18408,20322,7584,25461,28822
16661,7997,20494,17550,6916,32822,25512
13762,7961,25166,23534,7320,30154,26534
17949,7101,22770,16674,5748,30078,27071
19620,8230,11129,21779,4440,26917,25703
20657,8363,18085,24483,5312,22524,27992
22006,5907,29028,19191,7178,29459,26079
16302,9465,20407,20627,5790,29062,28950
18941,8745,21730,21400,5222,25710,25075
18236,9048,20363,24918,8125,32734,26585
16795,9318,22275,20997,5762,29421,28974
6424,8063,27888,24590,5308,26191,26175
21244,8606,12169,24963,6841,28440,27976
15706,7527,18261,21056,4400,26639,27717
18761,9576,21850,20538,7249,24027,26879
21558,8853,17922,27323,6827,23201,23290
16440,10722,26092,25291,8031,29374,25321
15644,8280,25249,22537,5522,24977,27633
17537,10372,23038,19223,6179,27907,25527
17347,8979,17703,22724,6600,28071,29193
12893,9514,17206,24732,5110,19148,26836
14000,8440,14408,25550,5668,29308,29324
16019,4961,17724,26921,7723,28848,26693
16570,6902,24516,19490,5261,32124,26599
17942,8213,18303,20889,7706,26345,26908
19373,6033,26641,21919,5215,28521,28262
14793,10903,17669,23968,7492,25931,25658
10208,8756,27076,24798,5811,29844,26007
14852,9252,21498,16530,6468,30302,26477
17634,10588,18518,25065,5797,28362,28127
18112,9433,18883,21906,6561,30497,28992
14834,10289,12717,23106,7045,23390,24219
15963,8919,34348,27784,6717,25536,27377
17312,9708,23826,23118,6056,26981,27364
24639,6689,25595,19640,6044,31533,26889
14106,7458,24185,20655,5832,31833,27099
21166,8216,24629,21781,7362,27638,28686
11347,9656,20715,22157,6116,28485,25234
17881,8550,19692,17112,6770,26992,28520
18851,9661,24554,20921,6871,25623,28308
14712,9033,22119,21030,8346,29631,27826
16421,11833,21169,22498,6521,28092,27570
22612,9648,26997,21990,6567,28361,26268
13260,8678,24510,20161,6141,28903,25640
17548,8645,402,23133,6910,26126,27017
15930,8930,20016,22642,6050,23854,26305
