Science and Engineering,Research and Development Investment by Country,million USD,normal,vertical
Quarryville,Yorkton
507,243
373,322
546,557
782,312
705,131
472,527
389,448
639,551
338,304
655,703
247,397
674,697
273,453
266,468
25,536
284,516
820,550
415,499
461,642
541,170
376,386
378,240
540,424
682,352
883,166
526,442
508,283
744,235
224,585
305,241
440,734
161,472
370,671
240,595
693,252
419,704
515,248
628,265
391,124
552,668
416,810
413,396
189,334
257,226
377,454
336,357
566,587
336,510
850,492
758,472
387,306
320,553
441,497
946,564
635,569
218,533
317,541
315,802
461,228
904,658
758,649
544,372
652,528
270,552
40,753
251,346
185,575
372,451
435,408
585,555
695,159
433,360
434,609
171,370
481,226
750,597
744,321
393,406
860,676
890,608
392,610
937,362
470,469
81,297
662,543
467,429
115,272
403,710
698,250
178,163
866,392
549,427
227,411
503,716
374,77
299,358
225,488
602,493
421,477
277,362
425,401
202,525
523,426
535,516
240,868
597,268
460,230
266,483
624,325
658,271
219,346
199,504
618,466
