Education and Academics,Data on employment rates in different schools,%,normal,vertical
Northgate School,Riverdale High,Brookfield Academy,Pinecrest Institute,Meadowbrook High,Lakewood Institute
74.36,83.38,87.35,86.74,81.01,82.95
95.54,73.4,89.24,87.23,79.17,80.81
76.0,79.53,89.87,76.02,88.41,84.81
83.46,81.42,79.88,88.34,85.11,80.84
82.74,78.32,85.0,78.49,87.85,82.24
88.22,88.3,73.57,83.79,86.9,83.92
82.86,78.36,94.85,86.13,79.26,81.13
76.87,76.86,92.36,82.11,81.51,81.5
93.23,86.59,100.96,76.76,83.51,84.22
74.86,69.12,88.46,76.34,88.7,82.84
82.87,85.16,95.57,77.59,84.94,84.64
78.71,88.13,78.54,71.16,88.13,85.9
82.86,77.09,86.57,79.51,75.7,92.18
81.48,78.46,77.06,87.29,79.4,83.8
92.59,81.38,82.98,82.63,86.43,80.67
92.9,88.67,83.31,70.19,90.38,84.61
76.03,71.26,81.08,87.0,88.42,83.16
74.49,77.44,90.34,73.26,88.71,87.67
77.62,80.93,82.55,78.42,81.38,85.72
91.71,74.31,98.02,81.89,78.93,86.21
82.57,79.65,88.07,79.69,69.94,80.54
70.97,81.72,76.24,82.32,91.63,82.86
84.79,93.03,82.31,91.34,82.64,86.97
80.3,86.41,103.33,63.87,85.3,86.59
93.71,82.95,89.85,71.42,85.08,84.02
84.19,80.37,81.17,84.94,85.72,85.7
82.15,76.54,78.07,61.71,81.73,85.67
86.67,89.8,90.01,84.43,85.04,82.85
97.38,76.66,86.44,73.29,89.24,84.34
83.7,77.33,75.61,85.33,88.57,86.89
82.15,90.19,92.76,72.33,89.07,82.82
85.45,82.65,86.64,85.62,87.64,86.65
79.52,81.4,94.97,85.41,86.33,82.22
85.26,88.53,90.87,78.75,86.15,88.22
71.88,74.91,88.93,81.42,81.06,86.27
80.38,70.49,85.57,77.69,84.07,85.23
85.18,73.34,87.34,82.22,88.81,81.71
86.0,79.37,76.7,77.02,77.13,85.48
77.79,84.04,94.46,85.47,92.29,83.76
77.36,78.68,87.71,69.78,79.78,88.82
89.59,83.52,75.04,86.24,84.19,82.8
80.81,73.81,80.64,76.11,88.02,80.15
92.27,76.01,86.38,77.8,71.7,85.56
76.77,86.09,87.75,79.39,87.95,84.91
82.76,85.84,81.57,71.91,88.85,80.66
82.11,80.49,84.56,78.8,84.93,85.8
88.08,87.26,82.68,78.58,79.14,86.08
87.11,77.58,85.04,76.09,92.26,85.84
85.2,87.52,80.79,71.95,90.86,79.56
87.98,77.79,95.42,81.9,82.6,80.02
78.13,78.46,80.4,71.92,85.18,85.27
84.73,76.37,96.68,81.24,90.82,85.63
85.52,82.04,97.25,79.05,74.13,82.25
86.49,88.92,86.73,73.08,84.66,82.01
76.91,78.78,87.9,75.0,89.82,80.3
84.0,84.99,85.04,84.1,87.88,82.05
82.89,80.03,97.37,80.01,74.31,80.34
84.66,76.64,97.05,85.22,94.86,85.93
84.68,80.61,90.8,80.22,89.11,82.1
91.2,73.62,90.78,81.23,84.13,83.06
77.04,71.32,92.48,75.52,95.4,83.09
71.67,92.59,75.52,79.37,85.7,86.91
83.5,86.22,81.46,90.51,84.48,81.72
90.44,99.85,81.29,83.41,93.01,83.01
84.98,76.56,87.82,80.87,78.45,84.8
98.45,74.64,82.83,76.28,78.23,83.65
74.17,81.26,78.13,82.85,87.28,79.64
79.55,76.34,93.49,92.87,79.27,83.75
87.37,74.96,91.29,83.98,96.01,82.47
91.6,78.49,95.67,89.33,91.93,83.78
82.95,70.4,96.94,73.89,76.63,82.76
84.47,75.07,90.43,88.77,95.93,80.77
97.2,95.01,90.77,80.7,84.77,83.45
86.24,79.9,101.0,71.96,88.76,87.04
69.53,85.35,87.79,81.45,78.5,81.06
83.61,75.9,101.22,86.69,80.5,80.86
87.7,77.85,79.32,77.4,84.02,85.3
80.86,84.21,84.71,74.23,69.25,81.75
93.33,88.52,78.74,87.33,81.63,80.8
81.01,78.08,93.54,86.1,74.18,80.83
87.56,78.93,83.55,85.78,85.03,84.23
88.85,83.8,88.98,81.67,73.7,84.33
88.35,67.85,79.22,65.97,76.23,83.98
