Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t,vertical
Cotton,Jute,Sugarcane,Hemp,Potatoes,Corn
7435,8166,6961,6225,4535,7221
6886,7554,7259,5861,4624,7024
8407,7093,7027,6223,4706,6828
7039,7432,7148,5135,5042,8342
8441,6595,7242,7551,3785,6745
8193,7801,7185,4617,4432,6930
8644,7691,7248,5750,2703,6229
7965,7524,6912,6422,4176,8416
7958,7741,6996,6497,3874,7331
7056,6293,7069,5046,3839,6969
8684,7056,7273,6187,5100,7396
8787,7087,7350,4591,4472,7280
7903,7219,6828,7767,4929,6963
7957,6019,6474,4469,3608,7222
7394,7251,7123,6345,4446,6595
7051,7471,7783,5121,4399,7060
6978,7736,6601,6772,4484,8197
7723,7115,7235,6352,3405,7016
8279,6947,7197,6173,4299,6706
7571,7903,6999,6411,3902,6776
7199,6850,6713,6975,2130,7212
7897,7097,7420,6430,2889,8302
6278,7961,7523,5568,5192,7157
7345,7758,7326,6072,4192,7475
8693,6912,6868,7540,3492,6786
8085,6416,7286,4694,3947,6946
8665,5858,7015,6301,2571,7349
8005,7277,7133,6569,3483,7116
7815,6913,6861,5048,4614,7766
8906,7292,7362,6017,3982,6945
8275,7200,6584,6040,4080,7221
7425,7076,7242,6532,4527,6584
7642,6762,7650,6230,4387,8099
6847,7501,6837,6026,4926,7630
7442,7146,7065,6652,5013,8110
8212,7005,7099,5966,4519,7307
9419,7829,7465,6893,4893,8241
8164,7397,7666,5828,4182,6668
7522,8154,6929,4737,3864,6815
8179,7599,6744,6420,4287,5399
8297,7204,7112,5748,3670,7341
7334,6900,6997,5056,3684,7257
8825,7112,7359,6344,3858,6913
9421,7135,7508,6044,3689,6280
7806,7057,7054,6148,4678,5745
7828,6907,7461,5098,3817,6341
7301,7445,7131,6677,4031,7362
8497,6735,7476,6322,2695,8304
9196,7599,6882,5874,3343,6933
7255,6849,7022,4651,2794,6222
8354,7038,6792,6746,5138,6716
8246,6712,7038,6040,3522,7043
8829,7791,7526,4760,3827,7016
7166,6723,6936,4509,5027,7116
6758,6347,6402,5448,4673,7579
9022,6592,6895,6792,4258,6221
7877,4968,6415,5406,3352,6974
6785,7208,7302,4825,3637,6624
8050,7335,6792,6609,3828,8299
8852,7106,6408,7020,2937,7554
7893,7525,7567,5340,4934,8427
8408,6759,7124,7165,3435,7519
7194,6839,6873,5091,4938,8180
7481,6697,6950,5318,3363,7565
7329,6205,6969,6865,3271,6605
8352,7195,7346,5414,3796,6602
8928,7091,6455,6332,4098,6723
6780,7537,7524,5924,3900,8963
7072,7317,7522,6258,3265,7029
8874,7527,6657,5712,4606,7443
7543,7343,7369,6527,4251,6805
8297,7105,7179,6488,3493,7510
8622,7455,6998,5828,5213,6297
7008,6695,7086,6578,3745,7193
8120,7050,6713,6460,3734,7728
8777,6878,7483,5747,3736,6294
9021,5983,6726,4170,3994,8162
8493,8068,7400,5362,4323,8101
8590,7495,7397,4591,5065,7955
8316,7697,7055,5349,2808,7630
8710,7918,6623,5833,3619,6993
9006,4376,6400,6472,4443,6730
7662,7300,7105,5999,3893,7913
7871,7313,6753,5197,4463,7641
7665,6786,6796,6633,3833,7305
7427,7671,7163,5979,4105,6081
9473,7302,6578,6634,4806,7743
8672,6536,6729,5860,4590,6553
7959,7491,6193,5289,4727,4882
8202,7093,6863,6236,4961,8555
9089,6816,7300,6601,3775,6248
8998,7506,7420,7213,3506,5839
8567,7205,7242,5428,4719,7301
7160,6660,6859,6194,4612,7680
8464,7049,6715,5983,4582,8532
7248,6991,7004,5693,4342,7338
8026,7846,6393,5940,2817,6297
8467,7179,6723,5966,4626,6857
6527,7915,7499,6934,4329,5861
7015,7442,7662,5466,4266,7864
8911,6776,6908,4271,3773,7628
7995,7376,6222,5438,2274,7187
7367,6740,7077,6515,3448,7376
7802,5669,7184,7330,4049,7207
7920,7727,6205,3695,4176,7842
7494,7739,7693,5895,3049,6878
8265,7080,7350,6354,5025,7359
9051,6490,6905,5133,5716,7532
8195,7316,6731,6788,5104,7526
7975,6354,6356,6759,3688,6663
6981,6790,7109,5526,4962,7268
8581,7262,6494,6050,3816,6862
7148,6706,7433,5657,3860,6450
7243,7317,6525,5503,3912,7724
8360,7394,7343,7170,2898,7915
7541,7730,7464,6104,3569,6841
6773,6636,7202,5542,4024,7186
7314,7883,7583,4939,5218,8776
