Education and Academics,Data on employment rates in different schools,%,skewed,vertical
Fairview School,Maplewood School,Northgate School,Greenwood Academy
84.15,80.65,97.0,76.0
94.44,78.16,87.45,78.28
84.55,98.74,80.44,83.1
84.77,94.18,93.69,81.63
87.79,85.78,79.53,93.73
94.32,83.46,93.15,74.52
84.6,86.15,86.91,77.15
112.2,80.95,111.76,86.35
88.67,86.6,77.67,77.43
83.03,106.42,97.9,78.64
86.37,81.61,82.47,82.73
80.84,112.14,86.48,88.71
79.35,73.23,81.14,82.6
84.07,84.78,93.06,78.16
91.81,83.95,80.95,83.29
98.55,83.66,79.27,79.39
88.82,90.94,77.21,81.47
82.63,86.55,90.53,81.46
89.73,88.53,108.77,90.12
81.17,85.52,85.0,89.64
102.57,72.67,79.87,76.03
77.82,81.7,80.95,80.0
89.4,80.23,78.75,79.24
87.35,78.94,104.96,77.33
108.8,93.87,84.65,99.79
90.03,102.43,93.47,79.47
83.39,93.78,85.02,85.11
88.35,82.79,82.63,79.73
100.86,94.25,86.9,77.16
85.53,80.19,75.88,77.61
99.93,77.73,79.94,102.65
86.56,90.11,82.71,75.68
101.63,77.75,94.43,79.21
85.52,85.35,97.85,90.06
83.58,86.85,76.06,91.53
85.17,76.5,78.03,78.03
77.28,80.42,84.18,77.63
80.26,88.13,94.73,82.89
81.99,86.2,107.17,81.91
83.33,87.22,88.0,85.44
81.86,85.08,105.59,79.3
81.41,82.43,94.53,94.02
95.6,77.51,94.41,79.6
78.68,77.41,83.79,80.65
80.24,91.15,86.89,96.28
82.88,82.05,79.3,97.26
93.89,87.2,94.98,109.63
97.29,78.25,91.41,90.94
86.91,77.94,114.04,78.9
88.63,84.66,86.66,105.81
84.07,92.84,87.02,97.15
90.16,83.11,77.64,85.28
75.79,73.92,86.55,80.33
99.33,78.89,86.42,94.73
92.76,82.98,96.03,96.17
83.18,84.63,96.47,78.58
83.17,85.74,79.32,86.64
86.0,86.78,93.64,82.83
87.49,84.32,83.86,78.74
81.24,80.9,80.31,76.11
101.55,91.18,78.85,77.84
83.16,88.54,77.57,88.11
97.74,79.95,90.98,81.89
107.24,82.17,95.37,76.67
96.08,78.67,82.41,79.4
79.15,78.97,87.59,84.93
86.25,80.86,84.32,86.12
101.8,82.74,88.17,81.42
87.75,96.32,75.44,89.58
91.88,95.17,94.44,77.45
77.91,80.05,101.59,79.18
102.56,82.01,103.18,78.04
84.22,84.66,80.77,88.05
106.18,93.66,88.4,77.67
86.68,90.36,89.82,84.59
117.38,81.27,95.96,94.73
87.37,80.68,99.12,75.83
83.27,81.95,88.79,79.75
75.02,83.52,87.28,82.81
77.21,78.5,92.72,85.59
89.76,76.37,82.0,88.8
83.04,83.94,77.47,94.7
82.33,89.67,95.77,79.8
80.12,79.9,98.21,80.65
100.15,89.49,82.89,96.55
76.71,76.73,88.42,74.36
80.12,89.52,86.81,87.27
87.07,84.39,89.49,78.41
89.38,74.28,87.78,87.13
91.43,82.32,89.35,78.34
86.68,83.11,82.9,90.77
83.08,90.74,97.45,97.36
90.49,81.34,81.6,80.99
76.32,82.49,82.72,79.49
89.41,74.34,88.31,76.65
81.11,82.45,84.99,74.62
92.82,88.68,90.26,74.98
90.65,74.12,81.41,82.25
84.01,102.93,89.85,79.06
90.07,79.33,94.73,86.35
77.42,93.98,81.08,88.23
90.77,82.69,85.09,76.82
85.28,79.6,105.96,75.61
109.61,79.71,94.01,79.25
83.53,77.57,87.79,79.21
88.02,79.32,82.5,84.0
83.42,90.34,102.04,78.27
98.42,92.67,74.75,84.39
83.74,76.36,81.7,81.71
98.22,91.01,81.64,75.01
82.51,94.74,79.0,95.74
82.68,87.21,99.32,78.39
81.14,97.79,80.71,83.03
80.08,83.74,87.82,75.15
94.5,79.05,80.46,90.69
89.62,81.91,84.71,82.34
104.4,78.66,85.86,77.09
87.89,86.94,93.92,84.15
86.76,86.89,79.78,78.71
88.9,85.47,86.17,78.72
