Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,skewed,horizontal
Videx,Vido,FlowVid
20352,4642,26782
25180,3702,21705
25207,7482,19110
26559,4760,17726
23898,6252,18221
25272,4860,21095
29426,4685,20911
25764,4390,18200
18449,5122,20988
20246,5098,22072
21198,5845,21324
26654,6072,19575
24763,4235,20418
23841,7597,19389
22034,5257,20286
23444,6523,21288
23352,4190,18632
37081,3897,19035
24567,3660,21831
21998,5502,27324
33934,3947,18846
24416,4440,17693
22431,5455,20645
22492,6164,22039
26283,4590,23128
25718,3680,20394
20412,6361,23077
19981,4154,18664
24310,3772,20932
41237,6310,20081
23117,4724,19693
21672,3547,20344
20296,3883,30526
22527,4030,19939
24671,5692,22173
23795,3662,21357
20952,6475,18073
26050,4724,24773
34017,5934,24003
21469,5145,23222
19665,8028,24076
19476,4803,30460
28408,4497,22080
20164,4635,32860
20309,4905,20240
19006,5409,31345
24417,5532,22721
22573,4532,17543
23981,4412,22000
18772,6090,21118
19158,5083,19960
20078,4252,19506
25131,5139,21442
21010,4560,18898
23254,6256,20999
18705,5108,21708
19087,3931,20091
24419,6087,23202
33923,3660,18974
28799,4087,20187
18053,4961,24621
23473,5132,17874
27865,3850,20606
30513,4062,20057
21531,4506,20299
28205,4635,18830
18876,5080,23027
25063,4159,21762
22059,4304,22192
29458,7374,28956
25735,7879,19259
20078,3540,22191
26700,4434,22615
20611,3899,23744
23465,4365,22395
18123,4451,17491
22690,3967,17521
21548,6010,17790
37904,4743,19429
20855,7637,19193
25312,4154,20844
23748,5707,20870
26869,6723,22718
28001,4205,21347
25436,5186,22990
26501,7975,18144
24328,4377,24177
19214,7362,18309
19226,6849,28904
25134,4518,20370
40684,4808,21481
21241,3600,23584
21320,4044,22800
22239,6064,19656
21724,6023,19774
24858,5186,19579
26211,5517,18226
36680,7876,17910
20683,4330,22708
40127,7517,21103
31913,4253,31487
26975,5984,20823
25807,4234,23387
40408,4834,21350
26899,4004,17524
22463,5831,19450
27132,3726,23236
25208,6006,19119
20881,5182,23211
31322,4765,21314
22529,3966,19008
20655,4555,28083
29476,4758,21885
28005,6255,18080
23649,6225,18275
25747,3891,29745
21572,3679,18856
24976,6454,20942
