Science and Engineering,Research and Development Investment by Country,million USD,t,vertical
Brookfield,Springfield,Glenhaven,Northgate
536,558,455,513
579,518,496,528
453,312,515,456
577,533,566,538
688,494,527,401
606,518,558,535
558,309,636,566
836,549,882,400
692,565,414,492
645,330,517,599
633,400,574,635
733,333,570,506
590,523,566,283
564,426,314,530
549,348,589,398
493,507,432,515
658,301,594,697
613,330,545,330
716,504,688,568
774,551,530,557
729,268,586,429
825,257,550,481
626,522,514,558
374,460,703,597
492,590,401,625
805,471,252,747
442,556,451,613
314,472,727,413
527,469,656,411
567,327,485,508
598,487,730,574
789,508,658,758
552,548,576,578
569,478,529,489
666,456,553,944
723,605,629,470
587,715,864,482
531,683,432,442
569,598,476,531
633,756,479,378
673,363,493,1042
667,474,604,558
521,589,662,511
703,375,482,873
474,479,741,201
552,398,576,428
489,570,454,562
565,243,295,856
645,371,748,368
600,553,537,399
558,596,606,486
747,379,588,586
576,349,421,819
643,539,622,771
661,765,639,558
544,556,559,496
653,375,549,316
505,459,588,753
512,357,606,478
462,534,498,452
572,91,729,552
689,621,591,478
660,715,596,649
632,364,501,607
648,435,594,591
740,494,609,580
495,313,459,813
588,359,606,571
635,415,491,525
381,322,493,537
689,436,561,562
574,437,645,371
302,412,511,480
573,539,492,565
512,578,544,490
537,564,592,137
411,463,453,452
627,490,598,697
548,512,548,639
470,524,542,401
371,388,664,799
545,652,410,97
482,206,506,573
716,727,460,848
603,257,671,641
484,489,627,586
622,472,534,415
526,583,439,650
759,665,514,600
601,580,437,532
598,442,586,703
534,454,678,400
587,504,542,601
610,300,543,432
509,283,721,565
758,508,608,486
795,327,426,570
754,361,472,621
554,562,564,633
563,423,691,602
620,625,592,596
620,200,577,453
278,340,696,649
754,337,516,358
654,466,587,889
679,479,556,692
529,504,488,525
390,345,217,710
489,595,573,508
484,428,512,573
603,696,689,612
620,496,463,597
598,635,547,529
557,309,552,550
607,538,625,487
586,497,432,711
691,735,657,592
481,350,376,408
