Education and Academics,Data on employment rates in different schools,%,skewed,vertical
Silverton High,Redwood Prep
79.9,85.35
81.2,87.99
83.01,90.0
77.76,89.15
86.06,80.11
81.74,99.97
90.63,90.67
79.82,77.64
79.24,80.4
80.54,77.89
75.84,91.21
94.24,101.18
81.99,94.26
86.13,83.91
100.85,91.19
81.87,83.65
75.72,126.85
79.68,78.53
79.9,80.45
117.35,82.69
80.15,83.12
104.53,97.94
79.41,86.51
84.58,90.07
81.81,82.68
86.62,84.77
91.42,91.14
79.52,76.17
85.15,86.05
81.23,78.58
96.94,101.88
84.78,79.35
84.09,84.28
79.24,85.39
82.88,82.86
80.36,79.89
74.55,87.59
85.81,88.08
93.93,79.31
88.1,95.09
81.5,77.13
87.98,87.9
78.11,79.77
84.27,94.96
89.84,80.48
89.38,82.89
84.98,87.48
77.06,82.44
85.95,75.36
83.5,81.26
94.93,79.74
79.37,78.81
95.03,80.0
83.22,97.11
81.84,93.65
78.98,90.31
76.26,75.43
82.89,81.49
88.75,83.85
86.8,92.27
74.15,79.3
83.01,84.88
89.47,97.65
74.36,82.58
80.25,96.6
84.65,84.0
93.99,89.05
92.4,86.01
92.52,78.03
91.64,78.35
105.83,97.19
74.62,83.71
81.88,99.16
75.7,91.68
78.34,88.38
77.44,82.17
84.7,84.87
77.59,80.46
93.17,87.13
89.69,92.5
83.8,88.55
81.15,90.35
85.2,81.54
88.97,77.09
79.92,85.45
83.75,82.46
83.18,94.71
74.95,80.22
80.96,85.8
77.91,79.01
84.2,86.41
93.65,104.41
84.41,84.3
81.57,97.34
78.56,92.06
83.95,79.21
83.34,101.91
77.03,77.77
80.4,82.23
92.5,84.5
82.16,75.58
90.52,91.45
79.7,85.36
84.31,82.17
84.18,83.31
78.12,88.79
75.86,85.83
94.08,80.55
91.11,84.62
87.0,88.44
80.2,85.68
101.69,83.16
88.15,82.09
88.27,81.91
87.13,78.67
78.69,103.33
79.51,79.15
78.87,92.96
78.29,89.49
85.26,81.9
