Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,skewed,vertical
Fading Light,Wild Bloom,Starlight,Lost Signal,Nightfall,Plain Sight,Hidden Truth
378,280,711,455,319,318,235
1036,549,265,174,465,1150,490
913,505,707,841,369,739,258
1255,563,383,358,989,1029,736
436,359,716,768,789,933,499
570,439,617,297,590,569,443
644,977,322,534,469,564,266
751,247,440,483,502,408,185
517,206,1343,600,970,334,291
214,188,585,845,513,849,396
1003,1203,533,626,393,940,1003
250,392,456,601,633,1176,418
754,298,959,488,334,636,323
309,890,243,104,582,367,205
229,471,1020,868,617,853,395
981,336,785,664,328,563,346
1160,430,811,904,327,1089,151
862,458,1439,422,653,853,234
316,684,435,362,776,1237,406
1207,1319,629,979,316,593,315
230,925,291,176,529,647,533
299,640,492,489,294,262,625
843,552,347,318,809,576,232
382,1335,462,413,228,1249,886
484,566,603,545,566,971,464
540,244,408,688,176,600,259
535,351,560,524,424,642,343
852,395,588,258,503,321,511
484,609,312,683,1325,432,692
678,192,319,520,721,1082,728
327,702,764,248,654,1133,784
1678,707,411,482,196,1385,293
681,600,503,362,737,337,473
230,772,908,834,673,446,572
951,1072,271,770,479,573,705
594,453,476,408,533,1349,942
631,398,389,497,516,498,560
281,466,573,885,1803,1011,566
578,684,523,246,1071,996,750
638,326,301,346,599,1006,619
318,198,209,594,809,720,256
246,342,335,241,309,2207,733
1055,578,648,363,386,817,255
533,741,804,221,1296,856,292
1494,627,577,797,765,1152,397
477,384,436,184,262,1741,235
224,443,1067,457,340,1365,339
540,303,470,790,302,251,397
426,726,440,884,788,861,290
613,175,493,361,899,369,718
482,870,249,603,1179,468,296
1337,919,815,1181,482,227,293
273,812,346,335,1161,1035,592
726,401,1382,808,387,711,663
474,385,573,532,1261,292,437
273,394,559,593,635,382,345
510,239,292,569,461,1784,247
454,365,898,765,833,656,539
645,327,1211,264,408,1128,519
1357,267,598,653,567,755,245
511,807,305,893,428,283,549
622,519,341,480,579,715,926
843,778,425,351,1130,740,247
184,1199,981,531,532,444,569
981,972,1328,437,859,701,567
957,153,1239,353,1474,1074,266
501,475,284,847,275,962,786
1079,610,286,871,636,1592,226
417,427,1059,502,1087,1088,468
339,266,271,247,844,692,190
345,490,385,922,975,479,176
335,798,514,573,1744,804,347
466,272,166,370,1161,676,228
985,158,745,835,142,465,308
1171,490,721,412,643,808,478
956,1158,869,540,888,658,188
806,640,649,548,607,220,478
541,492,654,340,932,541,220
249,654,972,654,635,1078,371
496,1252,709,753,537,388,353
660,353,766,694,346,1125,416
744,342,968,1022,784,402,380
957,487,1352,433,765,903,569
631,796,302,390,508,386,430
612,405,778,222,508,261,348
745,539,552,229,349,434,175
575,128,512,414,685,1191,279
387,361,475,323,519,701,511
964,412,375,112,389,187,276
1008,224,575,443,968,1263,466
156,273,319,221,1032,996,339
306,260,514,584,186,343,296
562,763,568,124,688,328,704
494,444,753,466,578,785,371
555,687,431,1261,606,739,481
159,363,344,572,848,1128,431
440,457,331,727,307,316,182
717,231,556,356,540,207,161
725,703,423,676,319,1245,672
412,628,759,594,233,621,494
1528,403,637,269,900,208,414
669,360,525,904,611,724,491
1237,695,240,657,1103,742,495
764,373,412,1227,719,352,246
818,277,738,355,1394,830,380
461,305,675,307,226,647,166
809,676,1065,257,346,521,531
589,160,880,354,363,778,332
490,1020,1196,910,370,1066,376
633,546,474,681,324,685,563
217,219,588,821,448,1105,330
295,958,686,405,780,325,568
979,606,1104,306,335,525,449
181,574,714,254,1182,751,522
1482,806,396,559,1606,1085,512
860,746,547,689,1236,573,205
1477,291,821,303,1321,438,759
411,991,639,248,1123,248,576
