Science and Engineering,Research and Development Investment by Country,million USD,skewed,horizontal
Dunvale,Lakeview,Mapleton,Highvale,Zephyr,Creston
325,312,376,777,860,737
507,259,253,792,760,258
643,496,422,197,640,580
177,295,208,300,861,465
428,373,404,947,466,304
605,520,473,876,732,172
1121,338,597,607,568,294
277,325,685,1124,871,279
337,142,777,735,645,344
628,973,364,263,448,216
751,168,406,826,263,473
536,304,449,514,1093,202
878,344,1037,823,177,396
755,490,506,366,570,587
298,356,210,586,941,307
296,753,388,563,413,283
981,250,895,697,534,612
1090,757,666,597,820,906
479,685,781,946,658,418
471,417,329,839,308,259
228,277,233,345,300,405
471,472,389,1276,440,399
594,912,599,653,510,178
671,136,559,705,646,386
266,416,410,371,889,698
566,136,417,308,640,202
560,272,730,290,278,229
287,200,509,299,363,430
690,741,533,484,604,695
243,416,432,269,498,291
446,381,301,184,924,246
230,585,467,815,762,278
164,706,622,360,635,269
619,1140,799,418,830,311
306,361,408,366,931,528
288,549,602,656,375,278
464,282,959,286,350,461
342,398,494,833,380,259
658,810,455,636,236,270
758,752,484,555,381,151
290,358,875,587,457,239
328,888,659,524,376,266
302,569,533,1309,468,221
178,395,261,218,744,304
385,966,302,965,575,245
269,336,680,367,384,493
457,236,839,1422,631,449
378,348,482,620,127,679
649,527,642,387,163,325
495,243,283,1194,368,616
217,594,568,574,428,731
295,456,735,245,930,339
276,970,528,401,445,404
739,445,537,524,403,346
871,439,387,601,693,600
675,652,413,234,373,188
576,466,798,601,815,366
278,271,196,317,401,710
200,119,1091,372,1187,363
248,297,501,334,919,554
221,449,486,498,333,453
346,125,775,319,776,1031
552,384,575,1022,390,346
513,1047,731,288,578,146
166,433,666,270,189,296
223,540,363,830,711,247
343,409,312,428,731,517
881,213,325,237,1299,532
405,1070,627,540,220,647
633,433,540,185,639,362
814,409,498,821,296,370
394,490,462,374,704,544
616,365,541,738,497,344
246,398,732,992,595,200
507,311,452,255,402,750
449,223,651,424,1174,704
572,465,654,837,1313,554
405,412,294,395,295,330
435,261,446,555,500,295
1004,492,452,1316,701,375
138,794,266,440,547,237
178,882,809,553,154,501
573,351,702,297,619,229
800,196,968,787,869,193
689,244,460,242,512,508
289,270,421,190,539,665
499,510,544,1341,314,343
754,374,471,358,223,282
348,533,430,192,510,411
440,299,233,153,376,179
614,459,176,657,435,629
388,366,727,1029,226,229
540,332,626,811,249,437
273,349,544,277,585,547
752,361,444,1030,367,879
390,300,390,439,413,395
903,318,298,456,655,316
464,267,727,726,741,269
1108,237,370,939,841,331
353,682,356,537,287,328
474,170,479,398,546,285
180,148,813,417,462,834
375,234,408,454,220,400
238,358,830,305,492,804
476,616,452,831,352,302
654,224,702,468,598,524
394,256,540,515,819,268
237,820,919,468,557,608
214,212,569,921,581,519
520,454,570,300,932,558
258,465,249,569,362,1129
453,394,432,1050,482,174
891,839,513,299,258,391
391,179,663,954,219,327
1051,310,180,658,353,615
440,305,196,577,542,379
234,330,289,306,541,252
297,551,1059,252,482,463
