Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t
Corn,Rubber,Coffee
8036,5691,5295
7412,5520,4541
7190,6361,4347
7232,5546,3105
7622,5734,2962
8453,6140,4315
8215,5559,4707
8689,5918,2846
7910,5685,4524
7798,6797,3995
7192,5255,4061
8097,5361,4098
7996,4431,2856
7919,6482,4423
7726,6439,4872
8409,5512,3971
8745,5477,4763
8690,5919,4118
7441,6413,5775
7814,5352,4455
8178,6178,5019
6316,5064,4603
7687,5908,5088
8364,5640,5434
7440,6450,4601
8314,6504,4568
7790,6384,4010
7527,5327,4350
6852,5980,4256
8214,3609,4771
7693,5356,4136
7570,6371,5648
7075,4563,4198
7623,6881,4948
7849,5460,4874
8417,5890,3243
7893,6402,4185
8285,6799,4853
7479,5238,4241
8340,5108,3938
7565,5926,4010
8169,5355,4254
7075,5725,4175
8365,5407,5586
8896,4748,5323
6717,6520,4033
7902,6628,4708
7213,6619,4337
8029,6101,2978
6715,5417,4295
8256,6125,5807
6950,5736,4819
8342,4743,4368
7387,4275,4827
8306,5289,3989
8498,4936,4139
8353,5165,3515
7320,5710,4744
7486,4813,4550
8367,5367,3150
6605,6665,4142
7463,6083,4340
6404,3629,4088
8623,5860,4564
7865,6086,4668
7363,5570,3925
7262,5497,4398
8588,6126,4032
8141,6418,3784
7687,6144,4692
7323,5521,5077
7244,5724,3955
6809,5213,4362
8239,5902,4699
7070,5399,4303
8045,5647,4096
8388,5586,5286
7458,4187,4411
6898,5021,2021
8104,6182,3254
7381,6229,4772
8362,5921,4238
7001,5210,4335
7384,4870,2916
8067,5183,3978
7197,6826,4225
7895,6473,4480
8168,6592,5704
7693,6085,4345
8098,4681,4316
7146,6296,4802
7945,6452,2284
8175,5507,4660
7553,6004,4911
7842,5116,3945
7696,4671,4589
7413,5068,5484
8573,5840,4930
7462,5233,4132
8134,5908,4407
8442,6754,4246
6978,6041,4679
7665,5644,3708
6749,4920,4699
6205,6748,4705
8504,6430,3726
8823,6048,3666
7221,6445,4370
8228,5611,5604
7138,4351,4646
7839,6175,4199
6807,6356,3818
7104,5413,4222
7549,5860,4372
6650,5172,3969
6778,5441,3210
8039,5290,3061
7578,5301,5284
