Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,normal,vertical
True Edge,Broken Mirror
432,824
636,586
532,823
656,545
383,857
542,463
637,250
292,340
509,426
795,614
668,576
420,755
513,834
357,718
569,944
73,857
829,525
469,775
674,662
563,718
583,508
448,507
310,422
521,625
208,712
593,684
696,435
462,711
410,395
508,717
200,571
689,914
625,340
442,743
133,607
77,416
327,586
464,666
761,687
519,508
751,546
427,626
134,613
596,959
863,386
197,725
492,868
616,469
466,546
488,724
147,792
549,543
327,325
654,486
401,648
489,499
481,530
366,572
403,663
278,779
555,604
427,487
437,511
354,508
475,767
520,750
793,764
712,745
549,878
375,517
655,401
499,692
424,561
436,443
135,488
79,736
701,801
530,710
597,653
282,335
570,359
451,473
179,260
694,807
721,717
734,556
176,543
484,681
362,531
551,522
359,250
617,643
671,517
273,295
548,297
253,648
577,818
303,644
325,508
703,446
600,868
480,830
147,367
540,779
160,647
667,788
250,1044
474,668
540,946
598,372
793,481
546,707
864,305
442,366
