Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,horizontal
Health,Music,Automotive
345,413,352
223,357,395
239,325,382
346,329,439
304,331,331
288,277,194
243,328,359
273,359,266
319,314,285
203,254,297
330,315,204
261,276,423
219,318,454
311,322,455
284,374,481
207,368,324
376,297,357
314,386,189
221,343,308
278,310,450
265,369,378
382,305,357
276,214,155
272,91,366
314,180,384
372,324,307
300,230,259
214,268,315
352,283,252
286,284,374
293,288,257
279,303,312
315,463,360
247,348,397
279,347,447
320,299,424
167,338,344
290,348,216
233,290,412
329,321,404
221,295,492
332,374,393
288,335,412
233,432,330
239,471,387
249,354,319
168,384,338
183,379,300
335,247,412
115,274,456
219,279,319
329,242,406
306,393,406
303,218,358
242,285,319
234,307,375
300,372,393
304,253,342
336,240,326
194,301,307
201,262,517
316,453,442
304,352,465
362,148,371
318,300,379
325,314,250
335,334,413
294,370,290
402,368,238
290,376,345
268,313,382
372,313,415
326,356,385
286,248,325
171,320,389
270,383,346
327,263,489
222,403,165
280,276,330
280,333,431
382,255,377
259,325,163
332,230,359
267,323,357
310,225,314
290,291,486
328,301,336
358,311,379
339,273,388
257,366,332
327,357,430
396,227,339
246,376,325
249,382,379
261,295,344
289,326,376
249,348,298
266,227,228
267,461,176
315,313,429
258,336,517
240,249,418
299,413,424
319,394,450
203,315,118
331,309,358
298,384,482
388,357,325
264,331,406
295,297,388
206,338,335
327,314,356
335,213,429
220,252,406
388,358,307
265,408,390
275,211,319
339,265,379
