Business and Finance,Data on the monthly revenue of different companies,USD,normal,vertical
SmartHub,NovaEdge,SwiftLink,NextGen
58308,65536,60869,51165
47237,39316,66613,51925
95690,62052,45565,49911
71023,58702,50664,69103
60831,68270,59278,65411
62783,52601,60681,27131
55108,55712,59316,32426
48960,63614,47508,70546
64177,64789,59055,54012
47414,50813,63214,65378
83516,77001,62408,64090
38010,41624,56810,52150
41981,61554,62881,25050
43498,63670,67008,54977
48297,69867,95908,74675
67458,55923,53072,65982
80385,74890,63914,66188
55902,81108,43175,81266
56677,60616,77279,68220
38265,74446,35736,60076
67137,55870,63352,66017
46241,30772,49547,47549
52446,63722,46087,27611
35683,65053,49718,56284
49269,62644,74145,58835
44581,67215,45743,68099
55436,68632,42435,44817
36110,62329,54806,74014
35470,52455,50972,63765
62608,40008,56988,61605
79690,27302,63041,27248
61461,67982,58474,82095
34606,79710,73542,62248
33046,87460,69790,76281
44296,29131,39895,68984
57049,63901,81196,51544
51246,40685,82836,62377
47632,58391,42897,48646
60172,67579,43283,51377
55832,57437,67276,60356
53339,73206,79277,57667
64192,56432,70920,37673
46673,86598,56828,53302
58559,50771,63205,44816
39073,33671,48809,79198
61251,55121,70245,20735
42144,70464,46953,62574
52582,52474,77733,48756
65569,68691,65932,55978
50017,64737,59133,70840
65526,50247,57290,34008
3994,73636,82198,51882
67439,64520,56252,66984
87758,65513,63516,63364
84895,46946,68859,56312
74325,51567,67697,81746
32059,73325,68157,43486
42291,32742,49340,47618
58624,53329,49599,51758
54655,49638,38622,61632
50408,38537,72088,67306
48009,89343,68668,51484
67219,53871,48889,54135
42903,63051,57993,52355
52560,89022,56373,54290
32492,48912,49706,62548
65485,47754,49295,73419
36967,86238,82895,57330
47553,70662,54870,46155
33340,76245,67208,45461
43401,64183,60291,43831
54114,76136,62615,47490
33093,41217,70490,58199
54143,73334,68995,47918
44882,64981,39745,67250
55150,49595,63565,53615
54202,58203,63155,65461
82522,84306,62666,45390
50448,70662,62027,52020
35240,32312,52260,48792
29267,51180,79808,66809
36863,62879,51723,36319
22006,51289,86029,65447
56753,33717,52999,37158
53722,49854,50194,70552
53034,41555,54200,27339
58679,75953,71866,54990
59692,67514,67509,53386
34631,63544,44671,60556
76316,41236,55927,37763
31287,55693,29513,38294
11412,51069,40784,41265
54328,70177,43522,42758
21811,73349,71717,46501
75767,41777,49806,20889
59942,53842,58732,74248
56980,52709,71304,82802
64014,45393,50221,50415
26248,61345,73238,49401
69499,54501,57698,51930
41641,49881,64617,38923
72850,73060,48541,72884
66720,70734,60984,21378
23701,60162,61189,42888
71346,54834,35530,44191
47685,61566,76183,73746
80081,47424,55851,55791
54697,54879,71739,64837
59075,92817,60268,51224
51438,36443,69641,48146
72884,46940,69021,64711
80026,73828,70057,59438
39188,52578,65727,64085
53755,57327,60015,69710
60407,74922,56607,65086
59679,84331,65671,73459
25742,63729,37068,74414
37427,40828,65627,59347
52268,62843,52573,64317
44210,67306,71442,64269
