Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,vertical
Music,Toys,Garden,Art
326,242,400,339
254,150,299,354
245,217,325,375
56,147,327,319
302,295,230,334
419,289,255,357
280,259,400,313
318,230,345,268
381,174,276,283
313,340,243,283
254,355,287,324
71,178,185,265
280,111,272,326
344,129,359,266
302,120,348,333
313,107,323,318
318,110,330,380
292,266,278,351
289,149,343,267
210,252,314,265
293,35,230,286
168,418,257,310
388,110,260,337
268,29,271,330
295,125,317,328
296,310,274,305
274,309,302,297
130,347,333,249
340,293,238,329
375,189,314,362
299,272,354,275
309,269,366,334
307,212,370,295
193,263,293,234
353,329,275,313
335,171,294,283
88,244,352,307
343,246,288,277
267,228,333,185
311,198,395,240
346,105,285,277
318,234,322,267
325,106,227,365
343,71,328,351
351,264,309,270
370,274,331,219
356,109,321,304
336,68,342,276
245,173,317,308
260,152,355,293
259,290,410,360
341,174,322,365
324,312,365,232
270,216,307,258
293,475,349,301
230,230,300,281
232,98,260,360
346,237,414,324
287,308,294,327
444,168,217,305
340,342,325,254
283,155,316,254
317,292,396,286
304,39,299,299
317,231,337,367
308,254,289,245
361,148,211,290
296,283,290,302
353,205,327,292
366,222,349,301
340,226,298,319
434,256,270,308
276,148,302,336
179,250,369,309
378,166,276,301
305,274,394,234
438,243,323,366
327,256,457,375
322,263,298,272
374,280,235,406
338,289,371,299
264,261,417,320
332,65,352,268
342,256,294,288
165,342,250,270
290,272,246,265
271,159,291,306
317,229,382,253
185,266,316,332
341,160,249,293
313,196,273,248
285,141,321,244
265,351,350,249
239,144,282,284
419,325,253,235
359,474,301,245
106,281,275,320
257,145,296,279
290,168,245,294
322,227,308,271
327,315,328,320
249,343,353,241
242,288,286,314
194,176,370,233
253,305,334,288
272,328,304,253
223,236,273,285
343,294,448,344
290,430,369,200
280,229,273,290
306,251,243,280
300,112,304,333
289,225,260,303
339,59,268,210
