Education and Academics,Data on employment rates in different schools,%,skewed,horizontal
Sunnyvale Prep,Brookfield Academy,Pinecrest Institute
104.65,94.63,77.59
74.17,76.56,82.04
76.12,75.52,80.18
75.23,82.53,81.82
73.69,82.33,74.83
77.51,108.05,76.68
79.33,94.39,79.39
75.22,82.65,78.84
76.2,79.86,76.18
87.06,75.41,84.3
81.07,79.4,75.19
93.32,76.48,92.73
78.0,82.48,88.05
73.89,125.48,76.14
79.81,75.69,75.17
76.38,77.39,91.79
77.49,77.98,81.09
86.52,75.64,99.26
78.63,83.11,74.98
73.2,88.03,79.82
76.65,78.58,83.55
79.83,79.22,90.18
80.9,82.35,83.69
83.04,78.47,80.89
84.65,85.62,76.95
77.85,79.78,84.8
72.61,83.52,77.93
77.02,82.23,76.9
88.59,80.02,77.34
73.45,80.04,87.94
78.37,96.02,83.74
76.67,75.1,75.54
71.47,76.39,86.4
83.21,84.29,80.99
87.46,75.87,79.05
72.91,78.66,82.16
94.14,79.9,95.62
87.05,85.08,78.45
95.45,83.31,80.77
82.9,98.52,77.52
99.27,89.02,77.72
76.22,82.93,84.6
74.9,75.55,80.18
79.38,78.42,76.81
77.3,88.11,78.01
77.36,92.87,92.79
80.63,92.76,81.6
85.84,85.12,87.18
73.87,94.07,77.22
72.05,81.81,91.44
85.47,84.57,77.75
79.46,85.05,79.18
80.49,84.46,84.86
75.52,84.4,78.05
93.18,77.11,81.37
78.06,86.87,77.87
89.51,99.78,88.81
74.14,84.1,91.46
74.04,82.28,75.78
78.1,83.17,85.7
79.18,84.11,88.68
87.49,76.56,76.27
84.81,87.11,88.8
84.91,83.12,77.9
95.26,88.47,88.13
113.18,80.08,76.71
93.15,93.36,82.28
82.13,78.87,82.96
100.77,76.52,80.82
90.01,84.25,77.49
76.05,82.8,78.34
86.21,77.59,90.94
81.22,80.74,74.01
75.35,84.27,76.57
71.44,82.53,83.84
83.89,80.38,81.13
85.89,78.33,73.17
91.33,86.0,81.53
72.8,85.76,79.34
83.25,82.55,83.98
76.85,79.17,99.04
73.78,78.1,79.92
100.24,80.15,74.47
82.87,81.15,82.53
74.38,89.36,87.38
83.72,80.82,84.26
77.45,81.73,91.44
75.2,80.1,84.56
84.36,84.74,87.93
92.23,89.67,95.32
81.77,74.85,82.31
73.5,99.18,83.06
99.99,86.88,80.29
78.75,76.27,82.27
79.45,81.76,79.27
80.85,94.56,76.09
109.29,86.87,79.74
74.97,80.31,78.82
76.51,80.53,86.46
74.67,87.21,94.18
107.48,78.83,88.86
103.67,75.62,78.5
84.86,81.57,83.3
84.9,80.33,73.83
78.57,82.89,84.55
80.59,83.21,78.0
86.53,79.27,75.52
71.76,84.25,80.2
79.79,90.06,89.23
72.66,81.48,84.19
75.12,74.59,76.13
75.01,83.47,80.47
90.23,97.46,81.48
74.99,77.26,79.83
79.58,87.61,77.3
95.6,83.26,78.83
73.75,87.28,90.53
76.22,87.51,100.13
81.83,81.8,74.28
80.31,80.74,82.43
