Business and Finance,Data on the monthly revenue of different companies,USD,skewed,vertical
SkyBound,QuantumX,PureSync,BrightWave,PeakPoint
76598,68365,47731,33499,37985
102334,56577,65738,54292,37986
46618,148797,34141,66195,30474
45769,30765,42125,96415,46913
57782,27172,25766,53926,126958
44043,116818,37074,75001,58709
57253,130042,48359,158889,99472
44914,48975,54276,79587,37471
131384,113647,62494,32376,36852
48356,92616,70167,54617,49490
40790,89759,36708,136422,47008
52680,51110,102904,104021,83022
28640,102994,31058,44128,127513
38736,66962,56270,64092,31895
94535,43499,64852,83143,75999
45761,63908,59023,58608,54011
28890,103191,108091,72433,118453
70558,71306,48984,69646,107320
62910,47346,32816,56133,47937
61768,80144,55463,113176,73977
59042,86883,57986,60405,34436
64895,144526,31002,51319,19031
63337,79344,76061,108807,61618
28168,115299,70601,78220,34258
107992,124900,42413,63743,54521
37786,50168,35777,37291,37354
164864,86063,55195,47327,92607
74809,39235,102416,26855,23290
128508,56911,54918,113647,84146
66773,65793,100181,89665,88564
47915,86534,56578,128889,63058
54534,174455,195059,105664,109328
44407,104949,29611,37084,37312
44192,91764,34235,37467,46561
98398,76733,66615,78913,36255
41110,28097,66137,39413,107908
121949,80059,64263,73745,37361
25035,47909,51421,127665,135075
82494,61619,32808,54909,160829
65969,145416,47924,43214,88026
147660,67577,34363,52460,57686
41066,74541,42425,42032,29993
54283,56000,56836,77458,110171
38527,26328,73497,75224,46305
46585,141930,50768,92566,21687
50777,80890,45990,50560,49571
51787,63399,59616,47143,36607
53114,86755,70414,31251,73356
26338,42590,73797,39776,34836
91331,61307,48452,93174,30119
32176,99079,38781,38162,109895
44564,76396,85944,44621,52316
57967,55962,36727,68142,33720
59146,134083,54655,61131,30699
91551,38924,46606,43503,123610
47334,51353,98115,67938,64677
33837,260104,106639,83460,51335
29992,267806,96175,81331,23859
47221,28640,84797,37026,49892
53739,73795,37650,53575,65821
72291,53167,71336,54383,72402
68557,120465,64364,50861,41563
38570,67107,72421,68845,48948
92365,35315,52626,56357,108846
49338,130784,40605,55145,65033
33393,45182,87518,26621,46166
24410,109967,35426,42036,52884
169196,60303,108586,46130,16492
57485,55636,37300,111333,82533
131565,74480,83755,129764,107486
42379,83090,49127,65333,65386
129381,68793,40381,68219,80353
51141,60323,42528,56965,30684
109926,36805,37649,31095,46144
150158,52945,38226,55861,81491
43101,37713,38884,112897,116608
46412,110509,41113,88793,60261
33876,148921,71142,51291,30916
51224,53781,27367,57344,82839
77894,93010,118445,67452,76164
95811,102678,57647,116568,55390
94597,57372,117308,49203,40632
44145,65629,107810,67794,47169
50736,97744,28695,78099,62913
40494,114858,69574,61072,36752
33411,64814,54729,88470,53836
69022,86225,31071,52139,37664
126283,96508,51485,41795,25477
78701,39822,137976,66406,53927
49692,46867,44742,39001,60548
124962,69947,35332,37102,33559
51203,72574,148632,47544,64300
26228,71506,46892,34855,37050
63174,78532,24432,35387,65196
24209,42932,118740,30186,63925
130847,39897,79653,44497,103615
83702,59359,60139,61871,28144
54542,43545,72560,113259,98847
25486,67914,40220,61794,57135
65958,46187,59434,50959,74563
65752,62397,35184,42368,26096
63279,61022,62796,59080,60397
106069,27243,53071,38443,84363
68272,30869,67147,105853,80196
31589,92626,48295,64585,89236
37385,37472,53152,62111,86943
79540,80040,66204,51705,63729
64769,58216,56353,99461,16875
58563,57000,52015,55146,27289
41145,94156,47421,78579,163115
115946,119410,99078,114507,103969
91299,203819,26853,48186,19614
44047,184271,76819,100878,26719
41928,60084,29495,51134,26257
112963,92205,25757,28540,40313
154654,96833,77493,46371,107654
98502,37414,101335,54937,145663
76946,37051,36453,38028,138025
54504,53270,52484,48513,84234
59211,77052,99278,53592,61185
