Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,normal,vertical
Hidden Truth,Dark Horizon,Lost Signal,Last Ember
564,391,445,731
409,750,582,864
319,453,367,373
325,659,536,200
405,820,477,327
290,396,159,612
593,546,551,729
188,616,394,614
266,617,445,446
621,952,542,406
688,464,416,464
598,613,437,666
123,534,183,346
430,449,1032,422
917,672,254,662
912,688,643,528
143,736,331,692
900,793,462,771
197,945,636,601
466,939,894,803
519,609,655,754
357,756,680,340
258,842,381,694
704,804,579,483
94,492,64,690
773,807,674,457
371,632,554,609
325,1043,643,319
932,581,179,486
765,814,420,782
213,866,981,478
478,645,368,471
460,253,794,449
319,667,673,280
123,464,544,692
899,806,390,452
321,723,370,480
419,337,654,673
307,615,543,620
730,602,819,371
520,510,675,470
629,670,853,517
181,550,354,635
497,300,334,803
1004,743,430,442
502,462,629,640
610,456,486,512
618,306,574,563
237,586,715,771
377,437,444,497
367,680,237,649
371,254,724,599
739,674,827,330
893,407,478,203
705,955,378,419
934,533,619,727
339,564,565,703
534,961,428,774
720,800,978,724
602,712,553,569
584,852,344,788
25,300,371,640
906,766,538,676
307,383,621,690
797,658,704,555
289,501,459,631
508,410,799,513
707,770,277,677
314,371,46,758
294,461,369,689
322,704,457,581
443,776,311,420
142,274,336,673
450,281,524,376
175,479,470,519
424,752,852,343
505,438,675,426
253,425,764,450
491,439,122,516
213,901,8,757
555,748,433,432
384,1016,489,649
383,627,390,872
410,945,599,809
517,919,427,270
412,536,560,517
663,804,496,413
329,447,583,659
461,412,531,400
886,928,758,546
345,835,563,456
441,786,681,449
567,866,405,746
224,744,424,375
274,782,530,579
442,767,499,585
316,690,467,559
720,622,940,512
529,909,792,517
939,712,473,862
410,919,679,499
378,618,454,864
353,589,450,321
642,648,325,298
487,421,384,581
712,434,631,560
1039,768,106,701
836,618,565,600
242,562,529,779
1070,721,528,602
771,204,239,350
677,816,589,582
641,465,794,676
435,896,92,832
279,471,712,492
