Transportation and Logistics,Data on the volume of fruit transportation in cities,tons,skewed,vertical
Creston,Lakeview,Quarryville,Ashford,Ironwood,Dunvale
50324,46772,33573,31950,61082,57901
43063,47242,81983,34390,59356,86577
59023,47747,46346,30884,55892,72282
63483,57920,57409,43765,119416,37817
59352,55947,121707,70607,63500,45481
43830,74675,38225,48490,46886,42544
82512,78393,126145,50372,107826,29516
42543,67188,36335,55372,100666,64980
42523,74429,137603,48439,91291,72913
114379,49547,70227,47505,60598,67647
48921,41536,64314,32321,45276,64942
63007,82388,38613,32892,39645,84977
69732,67332,54476,49057,65628,48833
76499,66613,63474,43661,47720,64911
45181,54778,43733,72354,35491,90165
126557,41312,111507,64514,50751,50053
53591,40840,72895,43515,65642,90445
59598,95580,52442,46249,77412,74611
78965,41105,54395,36568,68523,94516
76973,55606,104346,40346,45433,45493
65801,97904,35625,54761,42734,28780
48735,42450,66360,37049,56215,41752
121370,51673,52721,47359,38328,52601
49971,114860,76022,47834,88418,120746
36224,73931,70954,41684,47692,72517
47877,77458,75515,51318,52359,36409
37654,47567,58186,45875,51305,86503
49066,78373,97263,80530,49694,42914
48906,56358,48088,32041,41998,54817
73365,42503,33136,73945,63010,58103
86634,57173,45843,51679,82783,36979
37620,79194,54588,40592,56529,42303
36357,101605,160311,37710,54600,36399
54303,55559,64676,34125,65364,29519
106403,48680,60099,43038,55371,72007
41075,66283,64326,59776,55725,53944
54171,68433,46683,54806,41192,31735
55155,108105,131385,70464,98851,42777
45559,50391,88555,73104,56080,42125
48747,47243,43514,68406,51746,106739
39820,89271,35758,45203,55691,41814
72046,42834,86335,35766,64302,76481
44684,47651,63210,41255,88646,52066
68287,36131,66050,86998,67164,38531
87081,32958,65692,42034,58857,77768
53628,66978,58179,38092,65014,54091
63858,64740,43589,64899,94436,60454
82631,76710,78701,34752,43758,31123
48773,82064,84829,56187,44931,41209
54574,51451,45950,33276,55689,82228
55843,36128,45837,57363,38791,59544
71597,42640,48944,45973,108906,102947
76607,44283,53965,42440,84664,54500
96774,36432,77731,40794,61507,41883
49649,71519,71838,60200,35736,40090
95402,44411,38711,36346,41230,45676
69062,32249,50683,89361,95006,61000
77514,105473,54004,72097,48190,73206
41846,42721,64574,39432,68352,48832
56758,41183,71156,57655,58198,33173
75889,36120,55700,51414,79246,42910
65369,65622,114048,75767,65993,39858
109451,53099,81442,42493,83071,78367
48431,48611,70429,43069,65385,37220
55664,48449,81874,64666,57865,41154
51374,41058,51961,31414,87621,35163
71253,126264,66377,88341,77021,88806
56321,64582,69465,78584,115558,38558
66391,57256,59038,29856,57232,49420
63631,70651,58038,31990,45589,67211
101701,124552,67093,68376,58952,30336
88718,43009,75033,61484,96241,84110
57658,66486,62534,49613,35535,117072
40316,46678,50604,60050,49272,56935
50536,32769,56600,42098,60834,61239
80987,77718,40503,40117,73676,31832
49929,90711,59076,68259,135644,48943
55515,80360,46345,56824,72202,52909
76996,55469,86758,78305,53166,32523
68008,60877,76507,56099,49334,64583
50600,54102,39593,81897,42019,67890
46757,38046,46485,34142,72570,43628
75726,60693,50854,46166,42830,60394
53755,63951,43761,67698,65021,80356
53830,62816,56922,69073,42423,78370
52541,94754,80562,84780,54597,31859
72562,35563,44548,32059,45287,65414
61479,97895,45100,40871,50503,34957
52396,67248,59345,34928,50167,57078
74154,51966,96010,54085,39094,74272
44140,39848,60415,47270,49264,45425
117006,39570,50362,49806,69002,57517
47194,36039,45490,37567,51759,37778
64418,50882,50559,79605,39748,75634
77869,55960,67996,43424,68590,69467
47445,51109,44544,56876,36130,67438
78144,49656,53561,71863,41594,34921
35602,59384,47033,34202,74481,98558
87426,66939,105753,46158,57882,74480
50036,40672,37858,46213,50038,35968
67602,47837,69741,133711,75836,48278
61412,66122,109634,53746,76758,89816
52894,48946,58501,41752,65092,93409
65413,73856,58189,43435,48946,58603
61365,52227,37735,57747,135500,60398
65199,48940,48504,59337,57588,46190
104530,56566,37459,40452,55252,45353
60126,103955,60122,70338,78912,38309
53345,82374,63697,48681,88917,101353
55736,64661,42411,83525,101547,41940
52622,48299,38610,58291,66097,48190
84083,31906,57589,83202,36900,32805
47036,51989,57792,32335,83410,74735
137010,60380,44350,42865,69393,49327
42998,67163,52618,50418,86563,111268
76582,111667,47446,92383,51680,67501
40794,38149,50245,35670,70673,46383
51489,37256,65892,62668,40545,58819
67455,39619,49662,37620,78018,47789
46345,62977,58760,48054,48872,59827
