Retail and E-commerce,Daily sales statistics by product category,thousand USD,normal,vertical
Clothing,Art
248,289
193,278
247,370
167,296
248,405
228,351
144,370
197,353
237,346
216,367
268,395
179,309
249,333
184,318
245,326
219,363
227,351
243,385
170,334
183,331
265,306
212,397
220,270
190,285
224,273
175,273
245,366
204,315
288,297
245,337
196,324
157,220
185,301
194,341
235,356
182,257
266,343
175,361
209,354
269,392
167,259
215,349
286,344
221,307
282,354
217,401
246,333
249,339
189,358
276,345
205,360
218,406
306,308
124,344
203,257
221,261
243,405
270,238
189,262
216,380
263,265
214,293
262,268
225,322
237,338
215,259
232,251
154,272
225,357
158,334
270,376
262,314
202,372
177,184
238,129
224,315
229,385
227,338
188,409
222,294
280,311
295,429
267,329
229,363
289,219
209,345
273,307
190,342
207,271
288,279
245,260
233,222
305,255
255,318
224,332
171,323
290,321
319,261
198,397
234,397
248,314
225,242
304,347
292,259
301,284
197,442
241,264
177,379
242,389
263,264
266,309
239,218
179,398
252,353
311,311
224,232
153,338
190,382
