Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,t,horizontal
Final Reckoning,Lost Signal,Starlight,Deep Waters,Fading Light,Plain Sight,Last Ember
389,610,575,646,832,515,722
696,601,454,416,544,328,522
562,694,475,533,634,472,805
597,547,515,489,506,453,664
493,890,473,568,665,411,604
523,681,485,642,578,461,722
500,843,508,565,651,196,757
633,847,504,501,417,419,710
702,612,472,746,659,339,764
589,621,685,755,739,642,538
563,615,463,494,634,330,519
486,563,419,571,523,653,701
575,684,649,855,567,253,765
528,693,706,516,589,338,528
523,734,589,482,687,460,671
611,639,398,575,430,296,576
485,509,518,502,696,466,515
365,724,527,632,739,321,623
413,628,534,631,583,479,412
603,639,543,771,625,473,753
319,794,447,679,607,322,842
496,690,575,712,604,416,588
703,689,307,526,548,454,810
495,542,569,583,493,458,807
488,671,522,691,580,335,781
634,550,602,599,605,452,637
538,627,548,231,486,344,508
392,618,267,541,682,305,637
699,862,639,461,629,341,808
626,518,480,74,580,372,554
525,714,522,662,515,404,724
526,674,706,529,519,539,592
474,634,407,489,481,532,863
619,657,589,515,569,573,766
654,541,601,645,720,311,717
702,655,516,551,637,262,520
495,783,468,611,866,518,429
537,634,293,678,545,65,714
535,717,353,532,395,249,707
628,616,442,587,752,333,692
587,648,477,490,621,635,637
632,445,510,752,518,556,708
658,616,330,308,584,358,690
376,801,556,548,518,595,570
576,535,415,526,340,466,564
558,791,793,513,496,353,779
498,519,431,853,522,443,689
469,670,544,640,612,469,738
529,685,436,773,458,494,566
594,679,550,453,595,592,469
559,318,417,601,471,382,542
470,548,588,563,643,172,431
593,701,330,554,641,328,658
509,511,502,542,721,203,705
645,711,660,636,468,479,458
472,627,391,607,579,412,459
585,654,522,513,751,395,811
665,584,375,615,777,450,585
397,671,701,585,80,340,595
618,575,476,572,610,242,679
462,625,504,759,688,499,659
427,606,573,579,467,545,845
591,616,505,598,699,404,613
569,459,391,600,553,400,617
635,668,418,405,311,518,768
604,620,248,903,711,430,629
544,462,491,315,444,368,487
545,590,574,500,630,510,710
549,733,637,699,767,185,697
579,540,539,418,735,414,829
242,567,486,640,451,610,453
507,635,452,562,556,563,565
444,548,436,593,461,409,580
581,436,317,600,731,401,537
717,474,456,595,446,547,646
390,736,673,562,665,341,249
569,625,500,382,572,407,692
542,565,437,501,513,687,319
593,545,445,751,705,444,693
522,662,534,747,736,243,731
580,533,452,724,568,329,530
634,715,483,677,612,422,651
348,509,507,435,656,393,689
506,584,592,912,495,537,585
557,665,609,424,744,485,590
558,354,534,604,583,386,279
523,603,404,840,497,438,588
620,690,609,643,689,313,676
553,804,186,463,664,582,625
440,587,592,659,444,672,674
605,693,405,482,265,197,575
411,752,477,783,714,452,621
582,605,275,539,621,248,787
485,647,465,431,610,506,677
539,693,611,648,552,551,559
557,697,501,407,618,396,629
511,721,462,676,565,316,486
646,847,418,701,750,401,780
564,413,526,517,727,579,530
589,561,476,517,481,611,689
545,708,415,540,692,448,761
578,524,565,494,603,455,672
715,643,128,730,457,633,727
580,603,397,585,592,400,634
465,706,543,464,559,558,593
627,751,440,814,732,342,776
657,466,548,733,700,409,625
566,671,518,544,820,421,593
497,605,582,675,589,431,582
480,683,567,599,672,317,548
544,634,583,759,584,487,444
380,551,541,801,608,369,603
477,650,331,331,743,421,652
569,497,561,525,755,716,668
684,610,563,514,605,428,779
513,628,500,703,826,423,500
563,507,562,622,627,323,514
