Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Emerald Beach,Misty Trail,Willow Grove
22619,7987,16162
17431,15820,5399
13525,8463,4315
12509,13630,18781
10668,6319,16178
4985,10396,11056
4923,6885,5348
3275,18873,4457
10624,8518,9938
18131,5349,3367
15758,9647,4325
29064,6728,9497
12135,7630,5665
9408,11485,18439
12802,8439,5811
11865,10454,13638
6176,18271,26162
7925,12716,5271
12326,4825,7563
7714,6626,9958
8481,8028,14036
15014,12783,11255
4177,23340,3749
12934,5934,6520
30350,9706,20849
11637,14932,7224
10736,7459,9638
14188,18887,12296
7500,5866,6510
28528,10208,11492
17132,7670,10555
8435,7785,7002
29352,8552,9076
7736,7435,5973
9797,12583,12151
10770,8539,16822
6947,6573,3793
8362,14345,11547
12686,8808,8254
11693,11237,12725
17420,7877,16654
4626,5011,5635
8809,10884,6533
8943,8740,4514
20832,33742,10779
15546,8024,8587
15517,10543,6054
6535,9240,6000
6999,19847,17141
16643,8542,22444
4226,13144,22300
10702,4682,18457
6165,14227,10941
7939,6451,5456
17673,7640,11834
10525,11826,28760
12035,4975,5715
24315,9990,3684
20332,11631,5669
7742,13937,12567
8107,14514,9168
30153,14411,17973
27749,6579,11012
6362,7876,42092
4259,4557,7092
20225,7921,5817
14171,8563,7031
22024,8331,5411
6370,9441,7349
3803,3970,9161
15381,9118,9029
15652,12483,4581
18913,11739,9274
6160,14208,20016
24485,5884,17991
7845,9208,19548
23653,6018,6150
3082,12942,7156
13014,4576,12341
7984,7246,8045
16840,4854,4555
33631,6853,9212
2927,14335,7334
6190,10540,4971
18350,15753,8346
7629,4503,9646
17972,18252,12790
3710,5233,12023
22957,7797,10366
9201,15754,15751
12425,7955,13768
13477,6947,8096
17868,5209,6098
17435,6235,6055
17130,5456,7413
10069,21606,12920
5459,5467,8438
6908,19053,4833
20106,8752,12518
8758,9756,8641
5689,7939,15623
11706,6501,6307
9594,7705,7860
12168,4299,4559
15152,5666,3760
5328,6904,3228
42581,24139,8482
10167,8881,17984
6733,16126,12300
4962,12482,3683
6822,5517,14262
7616,13816,5067
8504,13044,18594
6829,21893,13677
12072,6132,4580
20923,13733,22489
7926,13638,13230
6281,18024,11298
11644,15484,5419
22182,10535,5978
