Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,normal,horizontal
Italian Restaurants,Coffee Shops,Food Trucks
605,684,421
638,478,465
707,349,518
284,633,684
567,516,795
450,778,703
639,887,452
475,551,540
1137,413,774
457,331,231
720,344,747
802,864,538
790,472,323
477,128,639
791,226,521
757,549,377
694,788,574
895,499,468
491,391,541
940,646,206
272,837,584
863,623,861
601,584,90
804,475,341
862,845,324
954,374,586
400,604,491
619,441,660
509,510,589
547,632,153
648,713,484
592,537,627
501,979,871
729,507,623
718,748,680
476,560,189
952,447,27
980,597,384
988,639,535
790,720,490
383,837,428
428,599,837
682,509,265
458,614,441
676,464,340
483,645,659
1018,604,728
508,666,709
472,621,515
548,284,191
698,440,256
798,416,586
746,732,491
522,343,387
911,772,624
594,708,662
676,485,181
662,857,421
448,687,307
859,827,795
199,612,630
353,790,584
570,397,238
463,377,560
711,584,426
753,678,243
663,462,368
430,408,521
957,470,289
445,264,675
418,367,514
206,378,331
436,923,593
666,365,373
567,668,605
405,515,604
568,579,415
589,362,551
381,314,467
698,725,501
903,675,424
543,483,818
530,297,718
1108,744,28
641,662,583
696,478,651
841,635,633
815,658,572
825,695,340
329,462,833
577,484,630
611,732,472
751,501,483
984,251,525
554,391,342
169,327,685
449,677,481
750,921,268
832,842,221
977,682,368
562,768,555
650,298,590
600,707,537
845,282,531
861,439,576
749,615,544
490,528,640
889,856,353
855,748,603
462,463,711
1212,605,723
527,590,549
375,394,415
749,727,441
593,563,828
672,723,171
409,716,232
881,560,849
