Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,t,vertical
Flicksy,Tubeo,FlowVid,Clipio,Zoomo,Videx
26596,7050,28960,14798,18177,26419
26382,5968,28805,12355,18159,20791
27099,4906,28258,11819,19556,14177
27936,4074,31476,15207,13688,21769
28153,6799,28770,14428,19238,25401
31781,6623,32876,15658,19455,26502
28064,4886,31372,11372,18903,17562
32177,5872,30117,13172,14946,22528
30366,7205,29130,12368,19164,27777
32206,7203,28272,12717,23189,27667
27009,5334,30897,14117,20892,29673
34628,6641,24260,14796,18633,26282
27335,4846,28742,13282,18932,26058
26350,8691,22701,10015,17104,27962
30596,6473,28006,14429,17205,20582
30285,7653,26705,12349,19550,14560
22155,3267,27918,12177,19353,26831
29123,5634,27628,13331,20645,27941
24859,5178,26908,12366,16217,26429
34749,8200,30238,10882,16241,17047
27894,7437,28833,14287,20472,30634
27481,5018,21812,12512,14463,27354
27591,6107,26139,13479,20204,22027
25018,4003,28013,11007,17002,26049
29846,5642,26058,11712,18717,22544
25753,4456,27634,10212,17137,18066
28922,8335,27979,9469,19098,22880
28850,6093,29363,11225,20207,19166
25860,4782,19340,14648,20146,18042
27442,4319,24369,10257,16613,28144
22632,5129,28143,11933,17429,27077
26274,6021,31379,12500,17426,21730
27805,5301,29831,19811,17321,25374
28618,6126,29014,11669,20678,27330
27647,5572,28874,14199,18511,28411
29203,5154,29189,13896,16167,26200
26977,6215,24990,14647,19347,28049
20788,7396,28325,12868,21812,31428
23991,3664,30805,13361,17302,33283
25666,7454,26146,14770,21202,32514
24596,2065,30662,9226,16950,24651
27944,7615,26591,13918,12808,31711
29145,4088,24592,14586,17368,25162
23025,6064,29781,11186,23148,27231
28281,5598,31793,16287,17600,17955
35157,5087,27600,10541,17411,30988
29279,6553,29184,12616,20273,18767
28612,5178,28370,13455,19146,26479
31806,5937,33964,8387,16310,25085
25199,4730,23103,13101,19393,26748
23228,6596,27409,13191,18430,28387
25833,3256,30800,11616,17101,22231
25958,3669,24061,12916,18186,24894
22696,4001,31305,12544,13176,29042
26810,5759,27518,12033,19834,22173
22543,4274,24267,11691,20653,17756
27314,6247,26184,15883,16721,29393
29863,5040,25970,11660,20374,23973
23952,6047,30290,17228,20388,18435
33380,4209,31314,11822,17754,20354
28824,6033,32403,14395,18851,33742
22456,6041,28421,14983,16541,19991
24076,5512,31175,13383,17931,30127
28601,6197,24311,10169,17124,22721
28312,6971,25546,13639,18596,25176
33526,6573,26833,11119,17483,24240
30111,6715,29056,9483,18469,26076
35107,5891,27881,13954,17015,25565
34437,6798,30053,13221,20676,30311
20399,6524,29671,13067,20286,25564
28937,5464,34720,15016,18311,24512
23605,5329,23863,10047,10229,21459
28671,4742,28268,17872,17121,18448
26740,4625,27249,12381,18965,37450
27432,6169,29413,12836,18558,32919
28980,5738,24003,13184,18783,24871
29975,5482,28397,11450,18057,20671
30383,6434,29073,13945,14793,27851
26030,4320,29716,9896,22551,21614
28973,7823,27036,11399,14528,13717
30030,6563,24875,14538,21850,31029
30325,5470,24521,15142,17281,17941
27550,5592,29937,15911,18646,23780
22330,4690,27019,13354,20082,20925
26615,6639,28823,9508,21707,26200
28942,4851,24932,15706,15807,24897
31966,5521,24658,17099,17812,24237
29879,4733,29454,13444,12389,24853
27985,6820,26257,15452,22884,18294
15911,5757,28782,16329,22856,25661
23228,6859,27495,12116,21130,25486
32425,5387,29459,10436,20075,29310
25524,4968,31212,11144,19812,30845
25771,4919,29835,11760,16881,25986
31043,5832,21145,10375,14664,26262
27448,5309,31753,8241,19627,26137
33593,5609,29926,10112,20448,21322
26623,7394,26735,12684,17073,23879
25643,5826,25850,17531,19375,26698
29102,4348,32691,14529,13986,23339
25679,7172,27621,14757,15798,36565
22226,4673,22988,15682,19195,26482
25428,5341,25483,13927,14702,23503
27529,5365,27550,13751,13833,23917
27509,4331,28166,13366,22028,29809
26666,5874,31439,14915,13783,27522
28513,6267,29517,7086,19237,26785
26927,6417,26529,13505,17304,23650
25972,5936,27786,13741,20311,26523
25658,6491,26987,9603,19125,27070
31265,3766,27514,14525,18516,25640
21905,3341,29323,15938,18738,24929
33300,5399,24320,15060,18630,28618
25989,8492,29219,13903,22402,20062
26887,4978,25313,13331,18061,23355
29052,4427,23852,11461,16200,24621
29229,4670,29447,12464,20219,23871
24966,7662,27524,12209,20257,17295
