Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,vertical
Art,Automotive
329,150
345,137
262,211
424,204
260,192
270,242
271,284
304,113
282,135
476,217
226,121
410,182
432,178
275,273
344,127
379,218
321,99
326,105
284,164
282,174
234,130
337,228
460,205
308,152
153,171
241,153
142,254
342,189
294,212
232,257
222,180
221,199
322,73
271,160
188,168
254,195
282,114
325,202
211,309
223,200
258,191
201,184
273,139
325,272
305,193
336,125
267,172
298,137
209,194
290,212
299,207
321,133
278,273
290,255
413,112
405,153
379,139
386,214
257,233
426,197
367,161
311,253
345,153
344,218
295,215
320,216
245,167
274,191
232,167
218,257
377,172
384,183
134,216
174,130
301,205
297,193
299,241
244,43
364,210
146,184
437,151
284,221
377,156
228,252
289,218
283,197
275,145
299,216
193,313
265,124
298,273
178,114
364,163
277,255
218,77
144,205
249,166
158,232
345,148
58,236
359,141
312,185
95,153
217,170
226,24
301,212
352,160
270,74
263,233
285,198
439,160
344,184
289,174
209,226
297,240
364,295
