Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,normal
Sorghum,Rye,Corn,Oats
7309,3678,5795,4922
8977,1687,5746,7533
6693,4244,4825,6189
8373,3109,7530,4033
7145,2364,4817,4826
8126,6296,6245,7100
7483,3466,9353,4559
6582,5121,4087,5653
8488,5183,5225,4074
6923,3620,7194,6081
5319,3691,4696,3280
8711,7107,3981,6240
6764,3800,4006,7210
6348,305,2188,5880
7121,5522,3711,4389
8153,7328,7330,6498
6037,5176,3149,7134
8401,1331,6583,4500
6128,2694,5135,4959
9046,20,5035,7943
7270,4821,4979,5488
7735,1149,5438,4539
10137,5643,1523,3238
7699,2025,6951,4155
8760,7601,5725,7180
6170,4127,1820,6900
8001,6229,7008,6514
9779,4108,7397,6006
6297,6226,7137,7380
8122,3321,3148,5247
7963,4535,5892,8144
7772,5639,6621,5436
7082,8093,5558,4553
8107,5590,3897,4840
6819,4681,7559,4230
7153,3267,8576,5711
6760,3869,8650,5183
9615,4519,5148,2933
6292,5556,4493,7469
6864,3644,6103,5973
10011,3178,7204,7214
9328,4257,4191,7314
6216,4101,4969,5038
6539,6800,5514,5706
8314,4823,5206,2504
6655,5845,7061,5877
8177,2613,4495,7334
9058,5352,4116,8192
9268,5464,4316,5662
7563,4468,3854,4833
9494,5116,3438,3733
8527,1412,6606,4656
5996,3682,7851,6744
6576,4745,777,7511
7805,4897,7692,5553
7912,1622,3389,6333
6087,3060,5449,5913
7227,4565,8628,6890
9059,4644,5076,4588
7538,4685,5221,8152
7019,7514,4178,7347
6933,2630,4114,6142
6939,2001,4381,6691
8122,408,4116,6607
7769,2996,5258,5194
9786,5334,6225,6279
8142,4533,6688,2737
6274,3308,4248,7066
7492,4856,4261,6982
5731,2196,5437,7952
7865,2722,5513,6384
8074,3056,6520,5109
6363,2582,4987,5925
7677,5450,7843,5488
7638,5060,3971,5679
7441,5487,9047,3921
9222,5326,4620,5101
6772,4178,5803,5962
9467,1740,7506,7962
5912,6209,3900,3471
6329,4318,4288,8090
6917,6827,3830,5378
6189,3991,4298,6343
6888,3943,6416,4116
6918,2685,4576,3593
6711,5582,8072,7276
8827,3991,7115,5189
8037,2439,5761,4060
5596,1325,5307,3800
7732,6672,9097,7329
8793,3667,6680,7178
7751,3166,3133,5607
5733,5307,7076,4813
7262,2988,3060,4353
8101,5264,3554,5539
9628,3777,5827,5574
8974,1796,3897,3314
6041,3581,7206,4503
8239,4523,9470,6085
8506,3157,2830,6193
7488,2928,6578,6154
7873,5256,5884,5125
9779,2336,6492,2535
7476,4774,7586,3692
8921,3002,4658,6822
8908,3802,319,4499
6287,2739,6294,4173
9457,4095,5799,7222
9823,2900,2014,7757
6483,5677,4844,6298
9371,6211,5039,7120
9823,5365,5267,5092
8854,6773,6341,2713
7090,4624,5004,3868
9216,2476,5725,2983
7201,3176,8764,6752
9284,5124,5070,7249
